-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,QV2M,Scaling Factor,,2018 QV2M Avg
42,-79.375,2018,179,13.31,1.526618781,,8.718614082
42,-78.75,2018,179,13.56,1.555293063,,
42,-78.125,2018,179,13.66,1.566762776,,
42.5,-79.375,2018,179,13.78,1.580526431,,
42.5,-78.75,2018,179,13.65,1.565615804,,
42.5,-78.125,2018,179,13.66,1.566762776,,
43,-79.375,2018,179,13.25,1.519736953,,
43,-78.75,2018,179,13.34,1.530059695,,
43,-78.125,2018,179,13.34,1.530059695,,
43.5,-79.375,2018,179,12.26,1.406186796,,
43.5,-78.75,2018,179,12.42,1.424538336,,
43.5,-78.125,2018,179,12.26,1.406186796,,
42,-79.375,2018,180,12.03,1.379806456,,
42,-78.75,2018,180,11.98,1.3740716,,
42,-78.125,2018,180,12.09,1.386688284,,
42.5,-79.375,2018,180,12.73,1.460094446,,
42.5,-78.75,2018,180,12.18,1.397011026,,
42.5,-78.125,2018,180,12.25,1.405039825,,
43,-79.375,2018,180,12.5,1.433714107,,
43,-78.75,2018,180,12.13,1.391276169,,
43,-78.125,2018,180,11.97,1.372924629,,
43.5,-79.375,2018,180,11.76,1.348838232,,
43.5,-78.75,2018,180,11.84,1.358014002,,
43.5,-78.125,2018,180,11.66,1.337368519,,
42,-79.375,2018,181,15.4,1.766335779,,
42,-78.75,2018,181,15.03,1.723897842,,
42,-78.125,2018,181,14.64,1.679165962,,
42.5,-79.375,2018,181,15.77,1.808773717,,
42.5,-78.75,2018,181,15.76,1.807626746,,
42.5,-78.125,2018,181,15.14,1.736514526,,
43,-79.375,2018,181,15.71,1.801891889,,
43,-78.75,2018,181,15.64,1.79386309,,
43,-78.125,2018,181,15.44,1.770923665,,
43.5,-79.375,2018,181,15.13,1.735367555,,
43.5,-78.75,2018,181,14.68,1.683753847,,
43.5,-78.125,2018,181,14.07,1.613788598,,
42,-79.375,2018,182,14.97,1.717016014,,
42,-78.75,2018,182,14.86,1.70439933,,
42,-78.125,2018,182,14.38,1.649344708,,
42.5,-79.375,2018,182,15.34,1.759453952,,
42.5,-78.75,2018,182,15.31,1.756013038,,
42.5,-78.125,2018,182,14.67,1.682606876,,
43,-79.375,2018,182,15.22,1.745690296,,
43,-78.75,2018,182,15.28,1.752572124,,
43,-78.125,2018,182,14.9,1.708987215,,
43.5,-79.375,2018,182,14.86,1.70439933,,
43.5,-78.75,2018,182,15.03,1.723897842,,
43.5,-78.125,2018,182,14.83,1.700958416,,
42,-79.375,2018,183,17.45,2.001464893,,
42,-78.75,2018,183,17.29,1.983113352,,
42,-78.125,2018,183,17.09,1.960173927,,
42.5,-79.375,2018,183,17.21,1.973937582,,
42.5,-78.75,2018,183,17.29,1.983113352,,
42.5,-78.125,2018,183,17.11,1.962467869,,
43,-79.375,2018,183,16.74,1.920029932,,
43,-78.75,2018,183,17.08,1.959026955,,
43,-78.125,2018,183,17.16,1.968202726,,
43.5,-79.375,2018,183,15.75,1.806479774,,
43.5,-78.75,2018,183,16.08,1.844329827,,
43.5,-78.125,2018,183,16.12,1.848917712,,
42,-79.375,2018,184,17,1.949851185,,
42,-78.75,2018,184,16.66,1.910854161,,
42,-78.125,2018,184,15.84,1.816802516,,
42.5,-79.375,2018,184,14.58,1.672284134,,
42.5,-78.75,2018,184,13.88,1.591996144,,
42.5,-78.125,2018,184,13.3,1.52547181,,
43,-79.375,2018,184,11.33,1.299518466,,
43,-78.75,2018,184,11.05,1.26740327,,
43,-78.125,2018,184,10.74,1.23184716,,
43.5,-79.375,2018,184,11.61,1.331633662,,
43.5,-78.75,2018,184,12.26,1.406186796,,
43.5,-78.125,2018,184,12.54,1.438301992,,
42,-79.375,2018,185,17.16,1.968202726,,
42,-78.75,2018,185,16.44,1.885620793,,
42,-78.125,2018,185,15.2,1.743396354,,
42.5,-79.375,2018,185,16.25,1.863828339,,
42.5,-78.75,2018,185,14.91,1.710134186,,
42.5,-78.125,2018,185,13.8,1.582820374,,
43,-79.375,2018,185,13.9,1.594290087,,
43,-78.75,2018,185,12.66,1.452065647,,
43,-78.125,2018,185,12.06,1.38324737,,
43.5,-79.375,2018,185,12.86,1.475005073,,
43.5,-78.75,2018,185,13.45,1.542676379,,
43.5,-78.125,2018,185,13.73,1.574791575,,
42,-79.375,2018,186,17.35,1.98999518,,
42,-78.75,2018,186,17.25,1.978525467,,
42,-78.125,2018,186,17.2,1.972790611,,
42.5,-79.375,2018,186,17.65,2.024404319,,
42.5,-78.75,2018,186,17.23,1.976231525,,
42.5,-78.125,2018,186,16.97,1.946410271,,
43,-79.375,2018,186,17.04,1.95443907,,
43,-78.75,2018,186,16.93,1.941822386,,
43,-78.125,2018,186,16.8,1.926911759,,
43.5,-79.375,2018,186,15.97,1.831713143,,
43.5,-78.75,2018,186,16.42,1.883326851,,
43.5,-78.125,2018,186,16.72,1.917735989,,
42,-79.375,2018,187,10.79,1.237582017,,
42,-78.75,2018,187,10.98,1.259374471,,
42,-78.125,2018,187,10.92,1.252492644,,
42.5,-79.375,2018,187,10.59,1.214642591,,
42.5,-78.75,2018,187,10.23,1.173351625,,
42.5,-78.125,2018,187,9.99,1.145824314,,
43,-79.375,2018,187,9.44,1.082740893,,
43,-78.75,2018,187,9.63,1.104533348,,
