-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
T2M     MERRA-2 Temperature at 2 Meters (C),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,T2M,Scaling Facotor,,2018 T2M Avg
41,-81.875,2018,179,22.84,1.634083645,,13.97725267
41,-81.25,2018,179,22.7,1.624067371,,
41,-80.625,2018,179,22.61,1.617628337,,
41,-80,2018,179,21.74,1.555384345,,
41.5,-81.875,2018,179,21.92,1.568262413,,
41.5,-81.25,2018,179,21.81,1.560392483,,
41.5,-80.625,2018,179,21.78,1.558246138,,
41.5,-80,2018,179,21.09,1.508880214,,
42,-81.875,2018,179,20.88,1.493855802,,
42,-81.25,2018,179,20.19,1.444489877,,
42,-80.625,2018,179,20.62,1.475254149,,
42,-80,2018,179,20.45,1.46309153,,
42.5,-81.875,2018,179,21.58,1.543937174,,
42.5,-81.25,2018,179,20.48,1.465237875,,
42.5,-80.625,2018,179,21.22,1.51818104,,
42.5,-80,2018,179,20.82,1.489563113,,
41,-81.875,2018,180,24.68,1.765726111,,
41,-81.25,2018,180,24.96,1.78575866,,
41,-80.625,2018,180,25.27,1.807937553,,
41,-80,2018,180,23.93,1.712067497,,
41.5,-81.875,2018,180,24.58,1.758571629,,
41.5,-81.25,2018,180,25.1,1.795774934,,
41.5,-80.625,2018,180,25.02,1.790051349,,
41.5,-80,2018,180,23.48,1.679872329,,
42,-81.875,2018,180,23.49,1.680587777,,
42,-81.25,2018,180,23.52,1.682734122,,
42,-80.625,2018,180,24.28,1.737108183,,
42,-80,2018,180,23.42,1.67557964,,
42.5,-81.875,2018,180,24.32,1.739969976,,
42.5,-81.25,2018,180,22.78,1.629790956,,
42.5,-80.625,2018,180,23.47,1.679156881,,
42.5,-80,2018,180,22.99,1.644815368,,
41,-81.875,2018,181,25.36,1.814376587,,
41,-81.25,2018,181,25.58,1.830116447,,
41,-80.625,2018,181,25.57,1.829400999,,
41,-80,2018,181,24.3,1.73853908,,
41.5,-81.875,2018,181,25.38,1.815807483,,
41.5,-81.25,2018,181,25.71,1.839417273,,
41.5,-80.625,2018,181,25.67,1.83655548,,
41.5,-80,2018,181,23.9,1.709921152,,
42,-81.875,2018,181,24.35,1.742116321,,
42,-81.25,2018,181,24.16,1.728522805,,
42,-80.625,2018,181,24.83,1.776457833,,
42,-80,2018,181,23.97,1.71492929,,
42.5,-81.875,2018,181,24.92,1.782896867,,
42.5,-81.25,2018,181,23.56,1.685595914,,
42.5,-80.625,2018,181,24.1,1.724230116,,
42.5,-80,2018,181,23.61,1.689173155,,
41,-81.875,2018,182,26.04,1.863027063,,
41,-81.25,2018,182,26.53,1.898084024,,
41,-80.625,2018,182,26.35,1.885205957,,
41,-80,2018,182,24.84,1.777173281,,
41.5,-81.875,2018,182,26.22,1.87590513,,
41.5,-81.25,2018,182,27.23,1.948165397,,
41.5,-80.625,2018,182,26.6,1.903092161,,
41.5,-80,2018,182,24.45,1.749270802,,
42,-81.875,2018,182,25.03,1.790766797,,
42,-81.25,2018,182,25.87,1.850864444,,
42,-80.625,2018,182,26.07,1.865173408,,
42,-80,2018,182,24.95,1.785043211,,
42.5,-81.875,2018,182,26.01,1.860880719,,
42.5,-81.25,2018,182,24.6,1.760002525,,
42.5,-80.625,2018,182,25.6,1.831547343,,
42.5,-80,2018,182,25,1.788620452,,
41,-81.875,2018,183,25.58,1.830116447,,
41,-81.25,2018,183,25.73,1.84084817,,
41,-80.625,2018,183,25.57,1.829400999,,
41,-80,2018,183,24.42,1.747124458,,
41.5,-81.875,2018,183,25.77,1.843709962,,
41.5,-81.25,2018,183,26.28,1.88019782,,
41.5,-80.625,2018,183,26.02,1.861596167,,
41.5,-80,2018,183,24.1,1.724230116,,
42,-81.875,2018,183,25.01,1.789335901,,
42,-81.25,2018,183,24.33,1.740685424,,
42,-80.625,2018,183,25.62,1.83297824,,
42,-80,2018,183,24.4,1.745693561,,
42.5,-81.875,2018,183,25.43,1.819384724,,
42.5,-81.25,2018,183,24.47,1.750701699,,
42.5,-80.625,2018,183,24.98,1.787189556,,
42.5,-80,2018,183,24.43,1.747839906,,
41,-81.875,2018,184,25.7,1.838701825,,
41,-81.25,2018,184,26.18,1.873043338,,
41,-80.625,2018,184,26.51,1.896653128,,
41,-80,2018,184,26.95,1.928132848,,
41.5,-81.875,2018,184,25.65,1.835124584,,
41.5,-81.25,2018,184,26.07,1.865173408,,
41.5,-80.625,2018,184,26.44,1.89164499,,
41.5,-80,2018,184,26.2,1.874474234,,
42,-81.875,2018,184,24.51,1.753563491,,
42,-81.25,2018,184,24.77,1.772165144,,
42,-80.625,2018,184,25.55,1.827970102,,
42,-80,2018,184,25.24,1.805791209,,
42.5,-81.875,2018,184,24.06,1.721368323,,
42.5,-81.25,2018,184,24.22,1.732815494,,
42.5,-80.625,2018,184,24.97,1.786474108,,
42.5,-80,2018,184,24.66,1.764295214,,
41,-81.875,2018,185,27.06,1.936002778,,
41,-81.25,2018,185,27.67,1.979645117,,
41,-80.625,2018,185,28.65,2.049759038,,
41,-80,2018,185,27.16,1.943157259,,
41.5,-81.875,2018,185,26.9,1.924555607,,
41.5,-81.25,2018,185,27.56,1.971775187,,
41.5,-80.625,2018,185,27.85,1.992523184,,
41.5,-80,2018,185,26.48,1.894506783,,
42,-81.875,2018,185,26.09,1.866604304,,
42,-81.25,2018,185,25.7,1.838701825,,
42,-80.625,2018,185,26.91,1.925271055,,
42,-80,2018,185,26.79,1.916685677,,
42.5,-81.875,2018,185,26.66,1.90738485,,
42.5,-81.25,2018,185,25.31,1.810799346,,
42.5,-80.625,2018,185,26.53,1.898084024,,
42.5,-80,2018,185,26.85,1.920978366,,
41,-81.875,2018,186,26.11,1.8680352,,
41,-81.25,2018,186,26.31,1.882344164,,
41,-80.625,2018,186,26.16,1.871612441,,
41,-80,2018,186,24.97,1.786474108,,
41.5,-81.875,2018,186,26.3,1.881628716,,
41.5,-81.25,2018,186,26.03,1.862311615,,
41.5,-80.625,2018,186,25.75,1.842279066,,
41.5,-80,2018,186,24.59,1.759287077,,
42,-81.875,2018,186,26.01,1.860880719,,
42,-81.25,2018,186,25.64,1.834409136,,
42,-80.625,2018,186,25.87,1.850864444,,
42,-80,2018,186,25.18,1.80149852,,
42.5,-81.875,2018,186,26.4,1.888783198,,
42.5,-81.25,2018,186,25.55,1.827970102,,
42.5,-80.625,2018,186,26.17,1.87232789,,
42.5,-80,2018,186,25.82,1.847287203,,
41,-81.875,2018,187,20.33,1.454506152,,
41,-81.25,2018,187,20.82,1.489563113,,
41,-80.625,2018,187,20.94,1.498148491,,
41,-80,2018,187,20.46,1.463806978,,
41.5,-81.875,2018,187,21.43,1.533205452,,
41.5,-81.25,2018,187,20.55,1.470246012,,
41.5,-80.625,2018,187,20.4,1.459514289,,
41.5,-80,2018,187,19.65,1.405855676,,
42,-81.875,2018,187,21.47,1.536067244,,
42,-81.25,2018,187,22.26,1.592587651,,
42,-80.625,2018,187,21.69,1.551807104,,
42,-80,2018,187,20.62,1.475254149,,
42.5,-81.875,2018,187,19.66,1.406571124,,
42.5,-81.25,2018,187,21.29,1.523189177,,
42.5,-80.625,2018,187,22,1.573985998,,
42.5,-80,2018,187,22.22,1.589725858,,
41,-81.875,2018,188,18.98,1.357920647,,
41,-81.25,2018,188,19.04,1.362213337,,
41,-80.625,2018,188,18.29,1.308554723,,
41,-80,2018,188,17.18,1.229139975,,
41.5,-81.875,2018,188,20.74,1.483839527,,
41.5,-81.25,2018,188,19.29,1.380099541,,
41.5,-80.625,2018,188,18.38,1.314993757,,
41.5,-80,2018,188,17.07,1.221270045,,
42,-81.875,2018,188,21.1,1.509595662,,
42,-81.25,2018,188,21.82,1.561107931,,
42,-80.625,2018,188,20.69,1.480262286,,
42,-80,2018,188,19.25,1.377237748,,
42.5,-81.875,2018,188,18.82,1.346473477,,
42.5,-81.25,2018,188,20.58,1.472392356,,
42.5,-80.625,2018,188,21.29,1.523189177,,
42.5,-80,2018,188,21.53,1.540359934,,
41,-81.875,2018,189,20.96,1.499579387,,
41,-81.25,2018,189,21.29,1.523189177,,
41,-80.625,2018,189,20.54,1.469530564,,
41,-80,2018,189,18.94,1.355058855,,
41.5,-81.875,2018,189,22.33,1.597595788,,
41.5,-81.25,2018,189,21.94,1.569693309,,
41.5,-80.625,2018,189,20.56,1.47096146,,
41.5,-80,2018,189,18.63,1.332879961,,
42,-81.875,2018,189,22.42,1.604034822,,
42,-81.25,2018,189,22.67,1.621921026,,
42,-80.625,2018,189,22.14,1.584002273,,
42,-80,2018,189,20.3,1.452359807,,
42.5,-81.875,2018,189,21.45,1.534636348,,
42.5,-81.25,2018,189,22.1,1.58114048,,
42.5,-80.625,2018,189,22.94,1.641238127,,
42.5,-80,2018,189,22.8,1.631221853,,
41,-81.875,2018,190,22.72,1.625498267,,
41,-81.25,2018,190,22.91,1.639091783,,
41,-80.625,2018,190,23,1.645530816,,
41,-80,2018,190,21.24,1.519611936,,
41.5,-81.875,2018,190,23.75,1.69918943,,
41.5,-81.25,2018,190,22.82,1.632652749,,
41.5,-80.625,2018,190,22.27,1.593303099,,
41.5,-80,2018,190,20.58,1.472392356,,
42,-81.875,2018,190,23.8,1.702766671,,
42,-81.25,2018,190,23.42,1.67557964,,
42,-80.625,2018,190,22.7,1.624067371,,
42,-80,2018,190,21.39,1.530343659,,
42.5,-81.875,2018,190,23.16,1.656977987,,
42.5,-81.25,2018,190,23.42,1.67557964,,
42.5,-80.625,2018,190,23.51,1.682018673,,
42.5,-80,2018,190,23.1,1.652685298,,
41,-81.875,2018,191,23.47,1.679156881,,
41,-81.25,2018,191,24.02,1.718506531,,
41,-80.625,2018,191,24.51,1.753563491,,
41,-80,2018,191,22.95,1.641953575,,
41.5,-81.875,2018,191,23.7,1.695612189,,
41.5,-81.25,2018,191,23.72,1.697043085,,
41.5,-80.625,2018,191,23.36,1.671286951,,
41.5,-80,2018,191,21.97,1.571839654,,
42,-81.875,2018,191,23.25,1.663417021,,
42,-81.25,2018,191,23.45,1.677725984,,
42,-80.625,2018,191,23.49,1.680587777,,
42,-80,2018,191,22.56,1.614051096,,
42.5,-81.875,2018,191,22.12,1.582571376,,
42.5,-81.25,2018,191,23.23,1.661986124,,
42.5,-80.625,2018,191,24.03,1.719221979,,
42.5,-80,2018,191,23.97,1.71492929,,
41,-81.875,2018,192,21.01,1.503156628,,
41,-81.25,2018,192,21.62,1.546798967,,
41,-80.625,2018,192,21.52,1.539644485,,
41,-80,2018,192,20.36,1.456652496,,
41.5,-81.875,2018,192,22.41,1.603319373,,
41.5,-81.25,2018,192,21.6,1.545368071,,
41.5,-80.625,2018,192,20.88,1.493855802,,
41.5,-80,2018,192,19.47,1.392977608,,
42,-81.875,2018,192,22.34,1.598311236,,
42,-81.25,2018,192,22.66,1.621205578,,
42,-80.625,2018,192,22.23,1.590441306,,
42,-80,2018,192,20.8,1.488132216,,
42.5,-81.875,2018,192,20.98,1.501010284,,
42.5,-81.25,2018,192,22.02,1.575416894,,
42.5,-80.625,2018,192,22.8,1.631221853,,
42.5,-80,2018,192,22.47,1.607612063,,
41,-81.875,2018,193,21.99,1.57327055,,
41,-81.25,2018,193,22,1.573985998,,
41,-80.625,2018,193,21.21,1.517465592,,
41,-80,2018,193,19.91,1.424457328,,
41.5,-81.875,2018,193,22.87,1.63622999,,
41.5,-81.25,2018,193,21.73,1.554668897,,
41.5,-80.625,2018,193,20.58,1.472392356,,
41.5,-80,2018,193,19.26,1.377953196,,
42,-81.875,2018,193,22.55,1.613335648,,
42,-81.25,2018,193,23.02,1.646961713,,
42,-80.625,2018,193,22.33,1.597595788,,
42,-80,2018,193,21.15,1.513172903,,
42.5,-81.875,2018,193,21.54,1.541075382,,
42.5,-81.25,2018,193,22.56,1.614051096,,
42.5,-80.625,2018,193,23.47,1.679156881,,
42.5,-80,2018,193,23,1.645530816,,
41,-81.875,2018,194,24.54,1.755709836,,
41,-81.25,2018,194,25.26,1.807222105,,
41,-80.625,2018,194,25.02,1.790051349,,
41,-80,2018,194,22.98,1.64409992,,
