-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD10M
41,-83.75,2018,179,298.8
41,-83.125,2018,179,298.9
41,-82.5,2018,179,302.2
41.5,-83.75,2018,179,294.1
41.5,-83.125,2018,179,291.8
41.5,-82.5,2018,179,295.2
42,-83.75,2018,179,297.6
42,-83.125,2018,179,291.3
42,-82.5,2018,179,288.3
42.5,-83.75,2018,179,297.4
42.5,-83.125,2018,179,298.5
42.5,-82.5,2018,179,297.4
41,-83.75,2018,180,200.6
41,-83.125,2018,180,203.7
41,-82.5,2018,180,213.2
41.5,-83.75,2018,180,208
41.5,-83.125,2018,180,212
41.5,-82.5,2018,180,220.5
42,-83.75,2018,180,208.8
42,-83.125,2018,180,212.8
42,-82.5,2018,180,218.9
42.5,-83.75,2018,180,210.3
42.5,-83.125,2018,180,214.1
42.5,-82.5,2018,180,215.1
41,-83.75,2018,181,202.9
41,-83.125,2018,181,202.6
41,-82.5,2018,181,206
41.5,-83.75,2018,181,208.2
41.5,-83.125,2018,181,208.2
41.5,-82.5,2018,181,209
42,-83.75,2018,181,212
42,-83.125,2018,181,211.3
42,-82.5,2018,181,211.2
42.5,-83.75,2018,181,215.3
42.5,-83.125,2018,181,215.4
42.5,-82.5,2018,181,212.8
41,-83.75,2018,182,192.9
41,-83.125,2018,182,190.9
41,-82.5,2018,182,190.4
41.5,-83.75,2018,182,196.7
41.5,-83.125,2018,182,194
41.5,-82.5,2018,182,193.3
42,-83.75,2018,182,199.2
42,-83.125,2018,182,195.3
42,-82.5,2018,182,194
42.5,-83.75,2018,182,200.2
42.5,-83.125,2018,182,196.7
42.5,-82.5,2018,182,193.7
41,-83.75,2018,183,238
41,-83.125,2018,183,217.8
41,-82.5,2018,183,211.8
41.5,-83.75,2018,183,278.8
41.5,-83.125,2018,183,236.7
41.5,-82.5,2018,183,216.4
42,-83.75,2018,183,296.2
42,-83.125,2018,183,269.2
42,-82.5,2018,183,235.9
42.5,-83.75,2018,183,297
42.5,-83.125,2018,183,284.2
42.5,-82.5,2018,183,262.5
41,-83.75,2018,184,113.1
41,-83.125,2018,184,111.7
41,-82.5,2018,184,101.9
41.5,-83.75,2018,184,88.7
41.5,-83.125,2018,184,83
41.5,-82.5,2018,184,77.8
42,-83.75,2018,184,93.3
42,-83.125,2018,184,83.9
42,-82.5,2018,184,76.5
42.5,-83.75,2018,184,109.5
42.5,-83.125,2018,184,99.4
42.5,-82.5,2018,184,93
41,-83.75,2018,185,218.6
41,-83.125,2018,185,229.5
41,-82.5,2018,185,222.5
41.5,-83.75,2018,185,193.9
41.5,-83.125,2018,185,185
41.5,-82.5,2018,185,173.4
42,-83.75,2018,185,168.9
42,-83.125,2018,185,150.1
42,-82.5,2018,185,133.4
42.5,-83.75,2018,185,164.3
42.5,-83.125,2018,185,147.3
42.5,-82.5,2018,185,125.9
41,-83.75,2018,186,262.2
41,-83.125,2018,186,254.1
41,-82.5,2018,186,244.8
41.5,-83.75,2018,186,266.4
41.5,-83.125,2018,186,258.9
41.5,-82.5,2018,186,246.9
42,-83.75,2018,186,275.5
42,-83.125,2018,186,269.9
42,-82.5,2018,186,253.3
42.5,-83.75,2018,186,283.5
42.5,-83.125,2018,186,280.7
42.5,-82.5,2018,186,263.6
41,-83.75,2018,187,30
41,-83.125,2018,187,24.6
41,-82.5,2018,187,13.7
41.5,-83.75,2018,187,28.8
41.5,-83.125,2018,187,24
41.5,-82.5,2018,187,14.1
42,-83.75,2018,187,23.8
42,-83.125,2018,187,20.3
42,-82.5,2018,187,11.1
42.5,-83.75,2018,187,20.7
42.5,-83.125,2018,187,15
42.5,-82.5,2018,187,6.7
41,-83.75,2018,188,71.5
41,-83.125,2018,188,68.5
41,-82.5,2018,188,66.7
41.5,-83.75,2018,188,79.8
41.5,-83.125,2018,188,75.8
41.5,-82.5,2018,188,68
42,-83.75,2018,188,90.5
42,-83.125,2018,188,84.4
42,-82.5,2018,188,74.5
42.5,-83.75,2018,188,101.5
42.5,-83.125,2018,188,95.9
42.5,-82.5,2018,188,89.9
41,-83.75,2018,189,138
41,-83.125,2018,189,140.5
41,-82.5,2018,189,139.1
41.5,-83.75,2018,189,151.5
41.5,-83.125,2018,189,146.7
41.5,-82.5,2018,189,141.1
42,-83.75,2018,189,165
42,-83.125,2018,189,155.9
42,-82.5,2018,189,150.4
42.5,-83.75,2018,189,180.9
42.5,-83.125,2018,189,172.6
42.5,-82.5,2018,189,167.5
41,-83.75,2018,190,261.4
41,-83.125,2018,190,260.4
41,-82.5,2018,190,253.9
41.5,-83.75,2018,190,259.6
41.5,-83.125,2018,190,256.4
41.5,-82.5,2018,190,249.9
42,-83.75,2018,190,259.8
42,-83.125,2018,190,257.7
42,-82.5,2018,190,249.4
42.5,-83.75,2018,190,258.1
42.5,-83.125,2018,190,259.1
42.5,-82.5,2018,190,252.5
41,-83.75,2018,191,316
41,-83.125,2018,191,324.2
41,-82.5,2018,191,319.2
41.5,-83.75,2018,191,345.8
41.5,-83.125,2018,191,354.4
41.5,-82.5,2018,191,336.9
42,-83.75,2018,191,4.3
42,-83.125,2018,191,6
42,-82.5,2018,191,348.9
42.5,-83.75,2018,191,9.3
42.5,-83.125,2018,191,4.5
42.5,-82.5,2018,191,353.3
41,-83.75,2018,192,56.2
41,-83.125,2018,192,42.3
41,-82.5,2018,192,28.2
41.5,-83.75,2018,192,63.4
41.5,-83.125,2018,192,49.5
41.5,-82.5,2018,192,32.9
42,-83.75,2018,192,57.5
42,-83.125,2018,192,47.8
42,-82.5,2018,192,28.7
42.5,-83.75,2018,192,47.2
42.5,-83.125,2018,192,36.1
42.5,-82.5,2018,192,19.2
41,-83.75,2018,193,91.8
41,-83.125,2018,193,76.7
41,-82.5,2018,193,65.9
41.5,-83.75,2018,193,109.8
41.5,-83.125,2018,193,92.1
