-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD2M     MERRA-2 Wind Direction at 2 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD2M
41,-81.875,2018,179,307.8
41,-81.25,2018,179,306.1
41,-80.625,2018,179,333.8
41,-80,2018,179,344.8
41.5,-81.875,2018,179,301.6
41.5,-81.25,2018,179,290
41.5,-80.625,2018,179,278.6
41.5,-80,2018,179,302.2
42,-81.875,2018,179,287.1
42,-81.25,2018,179,278.3
42,-80.625,2018,179,265.3
42,-80,2018,179,258.7
42.5,-81.875,2018,179,296.4
42.5,-81.25,2018,179,279.3
42.5,-80.625,2018,179,266.8
42.5,-80,2018,179,256.5
41,-81.875,2018,180,218.1
41,-81.25,2018,180,226.8
41,-80.625,2018,180,211.1
41,-80,2018,180,194.2
41.5,-81.875,2018,180,227.4
41.5,-81.25,2018,180,233
41.5,-80.625,2018,180,215.1
41.5,-80,2018,180,211.4
42,-81.875,2018,180,223.4
42,-81.25,2018,180,233.7
42,-80.625,2018,180,229.5
42,-80,2018,180,227.6
42.5,-81.875,2018,180,212.2
42.5,-81.25,2018,180,217.9
42.5,-80.625,2018,180,225.4
42.5,-80,2018,180,228.9
41,-81.875,2018,181,206.9
41,-81.25,2018,181,207.4
41,-80.625,2018,181,190.4
41,-80,2018,181,192.5
41.5,-81.875,2018,181,209
41.5,-81.25,2018,181,209.1
41.5,-80.625,2018,181,208.3
41.5,-80,2018,181,193.2
42,-81.875,2018,181,212.1
42,-81.25,2018,181,214.3
42,-80.625,2018,181,214.5
42,-80,2018,181,209.2
42.5,-81.875,2018,181,215
42.5,-81.25,2018,181,218.1
42.5,-80.625,2018,181,222.9
42.5,-80,2018,181,216.6
41,-81.875,2018,182,186
41,-81.25,2018,182,183.8
41,-80.625,2018,182,198.4
41,-80,2018,182,202.2
41.5,-81.875,2018,182,191.7
41.5,-81.25,2018,182,190.5
41.5,-80.625,2018,182,186.7
41.5,-80,2018,182,201.7
42,-81.875,2018,182,197.2
42,-81.25,2018,182,199
42,-80.625,2018,182,192.9
42,-80,2018,182,188.4
42.5,-81.875,2018,182,196.3
42.5,-81.25,2018,182,203.9
42.5,-80.625,2018,182,203.7
42.5,-80,2018,182,198.8
41,-81.875,2018,183,207.3
41,-81.25,2018,183,205.8
41,-80.625,2018,183,180
41,-80,2018,183,180
41.5,-81.875,2018,183,212.8
41.5,-81.25,2018,183,209.2
41.5,-80.625,2018,183,204.2
41.5,-80,2018,183,203.2
42,-81.875,2018,183,221.2
42,-81.25,2018,183,222.1
42,-80.625,2018,183,218
42,-80,2018,183,207.6
42.5,-81.875,2018,183,246.5
42.5,-81.25,2018,183,232.1
42.5,-80.625,2018,183,231.3
42.5,-80,2018,183,217.8
41,-81.875,2018,184,107.2
41,-81.25,2018,184,120.5
41,-80.625,2018,184,135
41,-80,2018,184,151.1
41.5,-81.875,2018,184,76.4
41.5,-81.25,2018,184,94.6
41.5,-80.625,2018,184,96.8
41.5,-80,2018,184,128.2
42,-81.875,2018,184,69.4
42,-81.25,2018,184,63.6
42,-80.625,2018,184,67.6
42,-80,2018,184,69.5
42.5,-81.875,2018,184,89
42.5,-81.25,2018,184,74.7
42.5,-80.625,2018,184,71.1
42.5,-80,2018,184,65.2
41,-81.875,2018,185,249.4
41,-81.25,2018,185,255.5
41,-80.625,2018,185,240.5
41,-80,2018,185,193.4
41.5,-81.875,2018,185,208
41.5,-81.25,2018,185,251.9
41.5,-80.625,2018,185,52.4
41.5,-80,2018,185,139.5
42,-81.875,2018,185,128.4
42,-81.25,2018,185,127.1
42,-80.625,2018,185,108.1
42,-80,2018,185,117.4
42.5,-81.875,2018,185,118.1
42.5,-81.25,2018,185,117.1
42.5,-80.625,2018,185,103.6
42.5,-80,2018,185,107.8
41,-81.875,2018,186,242.3
41,-81.25,2018,186,241.8
41,-80.625,2018,186,269.1
41,-80,2018,186,213.1
41.5,-81.875,2018,186,237
41.5,-81.25,2018,186,226.1
41.5,-80.625,2018,186,193.1
41.5,-80,2018,186,176
42,-81.875,2018,186,239.1
42,-81.25,2018,186,227.8
42,-80.625,2018,186,226.3
42,-80,2018,186,218.9
42.5,-81.875,2018,186,249.8
42.5,-81.25,2018,186,235
42.5,-80.625,2018,186,236.1
42.5,-80,2018,186,229.5
41,-81.875,2018,187,3
41,-81.25,2018,187,357.3
41,-80.625,2018,187,180
41,-80,2018,187,180
41.5,-81.875,2018,187,6.8
41.5,-81.25,2018,187,1.3
41.5,-80.625,2018,187,358.6
41.5,-80,2018,187,351
42,-81.875,2018,187,3.5
42,-81.25,2018,187,1.8
42,-80.625,2018,187,359.9
42,-80,2018,187,359.5
42.5,-81.875,2018,187,356.2
42.5,-81.25,2018,187,356.2
42.5,-80.625,2018,187,357.4
42.5,-80,2018,187,356.5
41,-81.875,2018,188,72.5
41,-81.25,2018,188,78.8
41,-80.625,2018,188,90
41,-80,2018,188,90
41.5,-81.875,2018,188,65.8
41.5,-81.25,2018,188,72
41.5,-80.625,2018,188,80.6
41.5,-80,2018,188,91.3
42,-81.875,2018,188,68.5
42,-81.25,2018,188,68.3
42,-80.625,2018,188,72.3
42,-80,2018,188,73.7
42.5,-81.875,2018,188,91.5
42.5,-81.25,2018,188,79.6
42.5,-80.625,2018,188,75.9
42.5,-80,2018,188,71.7
41,-81.875,2018,189,147
41,-81.25,2018,189,148.8
41,-80.625,2018,189,149
41,-80,2018,189,150.7
41.5,-81.875,2018,189,143.5
41.5,-81.25,2018,189,148.3
41.5,-80.625,2018,189,151
41.5,-80,2018,189,155.3
42,-81.875,2018,189,147.6
42,-81.25,2018,189,148.9
42,-80.625,2018,189,160.8
42,-80,2018,189,165.9
42.5,-81.875,2018,189,170.4
42.5,-81.25,2018,189,169.8
42.5,-80.625,2018,189,177.7
42.5,-80,2018,189,183.1
41,-81.875,2018,190,256.4
41,-81.25,2018,190,256
41,-80.625,2018,190,239.7
41,-80,2018,190,227.4
41.5,-81.875,2018,190,246
41.5,-81.25,2018,190,243.5
41.5,-80.625,2018,190,227.8
41.5,-80,2018,190,234.8
42,-81.875,2018,190,242.4
42,-81.25,2018,190,234.5
42,-80.625,2018,190,226.5
42,-80,2018,190,220
42.5,-81.875,2018,190,246
42.5,-81.25,2018,190,237.5
42.5,-80.625,2018,190,232.5
42.5,-80,2018,190,224.3
41,-81.875,2018,191,312.9
41,-81.25,2018,191,301.9
41,-80.625,2018,191,180
41,-80,2018,191,270
41.5,-81.875,2018,191,322.7
41.5,-81.25,2018,191,307.4
41.5,-80.625,2018,191,299.4
41.5,-80,2018,191,291.8
42,-81.875,2018,191,330.7
42,-81.25,2018,191,311.5
42,-80.625,2018,191,298.3
42,-80,2018,191,282.8
42.5,-81.875,2018,191,337.5
42.5,-81.25,2018,191,321.6
42.5,-80.625,2018,191,307.2
42.5,-80,2018,191,293.6
41,-81.875,2018,192,16.6
41,-81.25,2018,192,15.9
