-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,WS2M,Scaling Factor,,2018 WS2M Avg
41,-83.75,2018,179,1.7,0.1247254422,,3.130147059
41,-83.125,2018,179,1.77,0.1431241989,,
41,-82.5,2018,179,2.01,0.2208120584,,
41.5,-83.75,2018,179,1.9,0.1822527163,,
41.5,-83.125,2018,179,2.02,0.224580684,,
41.5,-82.5,2018,179,2.39,0.3985300491,,
42,-83.75,2018,179,2.16,0.2822354238,,
42,-83.125,2018,179,2.27,0.334327733,,
42,-82.5,2018,179,2.66,0.5740776131,,
42.5,-83.75,2018,179,2.23,0.3146616484,,
42.5,-83.125,2018,179,2.14,0.2734230966,,
42.5,-82.5,2018,179,2.38,0.3928725213,,
41,-83.75,2018,180,2.11,0.260571794,,
41,-83.125,2018,180,2.09,0.2522452902,,
41,-82.5,2018,180,1.86,0.1694975286,,
41.5,-83.75,2018,180,2.15,0.2778045655,,
41.5,-83.125,2018,180,2.36,0.3817281263,,
41.5,-82.5,2018,180,2.3,0.3496360066,,
42,-83.75,2018,180,2.25,0.3243893722,,
42,-83.125,2018,180,2.44,0.4276845269,,
42,-82.5,2018,180,2.24,0.3194993456,,
42.5,-83.75,2018,180,2.35,0.3762405848,,
42.5,-83.125,2018,180,2.35,0.3762405848,,
42.5,-82.5,2018,180,2.21,0.3051419264,,
41,-83.75,2018,181,2.25,0.3243893722,,
41,-83.125,2018,181,2.34,0.3708090322,,
41,-82.5,2018,181,2.32,0.3601125517,,
41.5,-83.75,2018,181,2.47,0.4458829246,,
41.5,-83.125,2018,181,2.93,0.7982571475,,
41.5,-82.5,2018,181,3.38,1.29936205,,
42,-83.75,2018,181,2.73,0.6272473813,,
42,-83.125,2018,181,3.25,1.136701653,,
42,-82.5,2018,181,3.6,1.611074998,,
42.5,-83.75,2018,181,2.77,0.6591439086,,
42.5,-83.125,2018,181,2.85,0.726348766,,
42.5,-82.5,2018,181,3.05,0.9153489393,,
41,-83.75,2018,182,2.82,0.7006057379,,
41,-83.125,2018,182,2.72,0.6194470559,,
41,-82.5,2018,182,2.43,0.4217369214,,
41.5,-83.75,2018,182,2.89,0.7617033651,,
41.5,-83.125,2018,182,3.16,1.032897395,,
41.5,-82.5,2018,182,3.31,1.209867162,,
42,-83.75,2018,182,3.05,0.9153489393,,
42,-83.125,2018,182,3.36,1.273330572,,
42,-82.5,2018,182,3.36,1.273330572,,
42.5,-83.75,2018,182,3.14,1.010774624,,
42.5,-83.125,2018,182,3.06,0.9256233352,,
42.5,-82.5,2018,182,2.99,0.8553876637,,
41,-83.75,2018,183,1.57,0.09509157598,,
41,-83.125,2018,183,1.72,0.1298004608,,
41,-82.5,2018,183,1.98,0.2097744201,,
41.5,-83.75,2018,183,1.98,0.2097744201,,
41.5,-83.125,2018,183,2.03,0.2283945412,,
