-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,ALLSKY_SFC_UV_INDEX
42.5,-79.5,2025,179,2.15
42.5,-78.5,2025,179,2
43.5,-79.5,2025,179,1.98
43.5,-78.5,2025,179,2.07
42.5,-79.5,2025,180,2.45
42.5,-78.5,2025,180,2.42
43.5,-79.5,2025,180,2.35
43.5,-78.5,2025,180,2.16
42.5,-79.5,2025,181,1.25
42.5,-78.5,2025,181,1.39
43.5,-79.5,2025,181,1.21
43.5,-78.5,2025,181,1.58
42.5,-79.5,2025,182,1.5
42.5,-78.5,2025,182,1.53
43.5,-79.5,2025,182,1.76
43.5,-78.5,2025,182,1.56
42.5,-79.5,2025,183,2.35
42.5,-78.5,2025,183,2.34
43.5,-79.5,2025,183,2.06
43.5,-78.5,2025,183,1.79
42.5,-79.5,2025,184,2.06
42.5,-78.5,2025,184,1.89
43.5,-79.5,2025,184,1.9
43.5,-78.5,2025,184,1.61
42.5,-79.5,2025,185,2.16
42.5,-78.5,2025,185,2.07
43.5,-79.5,2025,185,2.02
43.5,-78.5,2025,185,1.66
42.5,-79.5,2025,186,2.25
42.5,-78.5,2025,186,2.17
43.5,-79.5,2025,186,2.03
43.5,-78.5,2025,186,1.88
42.5,-79.5,2025,187,2.42
42.5,-78.5,2025,187,2.46
43.5,-79.5,2025,187,2.32
43.5,-78.5,2025,187,1.85
42.5,-79.5,2025,188,2.04
42.5,-78.5,2025,188,1.93
43.5,-79.5,2025,188,2.06
43.5,-78.5,2025,188,2.01
42.5,-79.5,2025,189,1.18
42.5,-78.5,2025,189,1.03
43.5,-79.5,2025,189,1.39
43.5,-78.5,2025,189,1.52
42.5,-79.5,2025,190,1.37
42.5,-78.5,2025,190,1.49
43.5,-79.5,2025,190,1.33
43.5,-78.5,2025,190,1.46
42.5,-79.5,2025,191,2.06
42.5,-78.5,2025,191,2.01
43.5,-79.5,2025,191,1.86
43.5,-78.5,2025,191,1.85
42.5,-79.5,2025,192,1.94
42.5,-78.5,2025,192,1.8
43.5,-79.5,2025,192,1.78
43.5,-78.5,2025,192,1.76
42.5,-79.5,2025,193,2.53
42.5,-78.5,2025,193,2.43
43.5,-79.5,2025,193,2.34
43.5,-78.5,2025,193,1.87
42.5,-79.5,2025,194,2.15
42.5,-78.5,2025,194,2
43.5,-79.5,2025,194,1.85
43.5,-78.5,2025,194,1.88
42.5,-79.5,2025,195,1.32
42.5,-78.5,2025,195,1.11
43.5,-79.5,2025,195,1.65
43.5,-78.5,2025,195,1.26
42.5,-79.5,2025,196,2.13
42.5,-78.5,2025,196,2.01
43.5,-79.5,2025,196,2.01
43.5,-78.5,2025,196,1.41
42.5,-79.5,2025,197,1.55
42.5,-78.5,2025,197,1.51
43.5,-79.5,2025,197,1.8
43.5,-78.5,2025,197,1.84
