-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WS2M
41,-81.875,2025,179,2.02
41,-81.25,2025,179,0.72
41,-80.625,2025,179,0.07
41,-80,2025,179,0.05
41.5,-81.875,2025,179,2.78
41.5,-81.25,2025,179,0.58
41.5,-80.625,2025,179,0.19
41.5,-80,2025,179,0.1
42,-81.875,2025,179,2.87
42,-81.25,2025,179,2.7
42,-80.625,2025,179,1.6
42,-80,2025,179,0.98
42.5,-81.875,2025,179,3.14
42.5,-81.25,2025,179,3.23
42.5,-80.625,2025,179,4.3
42.5,-80,2025,179,3.3
41,-81.875,2025,180,0.87
41,-81.25,2025,180,0.41
41,-80.625,2025,180,0.1
41,-80,2025,180,0.15
41.5,-81.875,2025,180,1.3
41.5,-81.25,2025,180,0.41
41.5,-80.625,2025,180,0.17
41.5,-80,2025,180,0.12
42,-81.875,2025,180,2.14
42,-81.25,2025,180,1.78
42,-80.625,2025,180,1.05
42,-80,2025,180,0.65
42.5,-81.875,2025,180,1.96
42.5,-81.25,2025,180,2.66
42.5,-80.625,2025,180,1.8
42.5,-80,2025,180,1.59
41,-81.875,2025,181,2.39
41,-81.25,2025,181,0.83
41,-80.625,2025,181,0
41,-80,2025,181,0.03
41.5,-81.875,2025,181,2.39
41.5,-81.25,2025,181,0.49
41.5,-80.625,2025,181,0.11
41.5,-80,2025,181,0.03
42,-81.875,2025,181,2.17
42,-81.25,2025,181,2.36
42,-80.625,2025,181,1.22
42,-80,2025,181,0.7
42.5,-81.875,2025,181,2.27
42.5,-81.25,2025,181,1.93
42.5,-80.625,2025,181,2.18
42.5,-80,2025,181,1.73
41,-81.875,2025,182,1.71
41,-81.25,2025,182,0.64
41,-80.625,2025,182,0.02
41,-80,2025,182,0.02
41.5,-81.875,2025,182,2.57
41.5,-81.25,2025,182,0.54
41.5,-80.625,2025,182,0.14
41.5,-80,2025,182,0.03
42,-81.875,2025,182,3.06
42,-81.25,2025,182,3.01
42,-80.625,2025,182,1.63
42,-80,2025,182,0.9
42.5,-81.875,2025,182,2.95
42.5,-81.25,2025,182,3.14
42.5,-80.625,2025,182,3.73
42.5,-80,2025,182,2.79
41,-81.875,2025,183,1.36
41,-81.25,2025,183,0.56
41,-80.625,2025,183,0.16
41,-80,2025,183,0.18
41.5,-81.875,2025,183,1.75
41.5,-81.25,2025,183,0.5
41.5,-80.625,2025,183,0.23
41.5,-80,2025,183,0.21
42,-81.875,2025,183,2.16
42,-81.25,2025,183,2.35
42,-80.625,2025,183,1.37
42,-80,2025,183,0.77
42.5,-81.875,2025,183,2
42.5,-81.25,2025,183,2.52
42.5,-80.625,2025,183,3.14
42.5,-80,2025,183,2.53
41,-81.875,2025,184,2.01
41,-81.25,2025,184,0.83
41,-80.625,2025,184,0.05
41,-80,2025,184,0.08
41.5,-81.875,2025,184,2.88
41.5,-81.25,2025,184,0.64
41.5,-80.625,2025,184,0.18
41.5,-80,2025,184,0.07
42,-81.875,2025,184,3.34
42,-81.25,2025,184,3.47
42,-80.625,2025,184,2.05
42,-80,2025,184,1.24
42.5,-81.875,2025,184,3.13
42.5,-81.25,2025,184,3.75
42.5,-80.625,2025,184,4.31
42.5,-80,2025,184,3.52
41,-81.875,2025,185,1.24
41,-81.25,2025,185,0.57
41,-80.625,2025,185,0.08
41,-80,2025,185,0.06
41.5,-81.875,2025,185,2.27
41.5,-81.25,2025,185,0.52
41.5,-80.625,2025,185,0.21
41.5,-80,2025,185,0.08
42,-81.875,2025,185,3.19
42,-81.25,2025,185,3.35
42,-80.625,2025,185,1.59
42,-80,2025,185,1.07
42.5,-81.875,2025,185,2.34
42.5,-81.25,2025,185,3.35
42.5,-80.625,2025,185,2.64
42.5,-80,2025,185,2.17
41,-81.875,2025,186,1.57
41,-81.25,2025,186,0.62
41,-80.625,2025,186,0.06
41,-80,2025,186,0.05
41.5,-81.875,2025,186,2.72
41.5,-81.25,2025,186,0.54
41.5,-80.625,2025,186,0.16
41.5,-80,2025,186,0.07
42,-81.875,2025,186,3.47
42,-81.25,2025,186,3.46
42,-80.625,2025,186,1.76
42,-80,2025,186,1.02
42.5,-81.875,2025,186,2.83
42.5,-81.25,2025,186,3.39
42.5,-80.625,2025,186,3.81
42.5,-80,2025,186,3.08
41,-81.875,2025,187,2.56
41,-81.25,2025,187,0.78
41,-80.625,2025,187,0.01
41,-80,2025,187,0
41.5,-81.875,2025,187,3.78
41.5,-81.25,2025,187,0.63
41.5,-80.625,2025,187,0.15
41.5,-80,2025,187,0.01
42,-81.875,2025,187,4.54
42,-81.25,2025,187,3.8
