"PM2.5 Data Compiled_Lake Erie Center, Oregon, OH",,,
,,,
,,,
US EPA PM2.5 AQI,,,
DateTime,Average,Lake Erie Center A,Lake Erie Center B
2026-06-28 15:40:00,61.80,64.00,60.00
2026-06-28 15:50:00,,64.00,60.00
2026-06-28 16:00:00,,64.00,59.00
2026-06-28 16:10:00,,64.00,59.00
2026-06-28 16:20:00,,63.00,58.00
2026-06-28 16:30:00,,62.00,58.00
2026-06-28 16:40:00,,62.00,58.00
2026-06-28 16:50:00,,64.00,59.00
2026-06-28 17:00:00,,64.00,60.00
2026-06-28 17:10:00,,64.00,59.00
2026-06-28 17:20:00,,64.00,59.00
2026-06-28 17:30:00,,63.00,58.00
2026-06-28 17:40:00,,62.00,58.00
2026-06-28 17:50:00,,60.00,56.00
2026-06-28 18:00:00,,63.00,60.00
2026-06-28 18:10:00,,62.00,58.00
2026-06-28 18:20:00,,59.00,55.00
2026-06-28 18:30:00,,56.00,51.00
2026-06-28 18:40:00,,52.00,45.00
2026-06-28 18:50:00,,44.00,38.00
2026-06-28 19:00:00,,38.00,31.00
2026-06-28 19:10:00,,42.00,35.00
2026-06-28 19:20:00,,41.00,35.00
2026-06-28 19:30:00,,36.00,32.00
2026-06-28 19:40:00,,33.00,29.00
2026-06-28 19:50:00,,30.00,25.00
2026-06-28 20:00:00,,28.00,22.00
2026-06-28 20:10:00,,29.00,25.00
2026-06-28 20:20:00,,36.00,30.00
2026-06-28 20:30:00,,39.00,33.00
2026-06-28 20:40:00,,30.00,26.00
2026-06-28 20:50:00,,28.00,23.00
2026-06-28 21:00:00,,48.00,40.00
2026-06-28 21:10:00,,52.00,45.00
2026-06-28 21:20:00,,53.00,45.00
2026-06-28 21:30:00,,54.00,50.00
2026-06-28 21:40:00,,61.00,58.00
2026-06-28 21:50:00,,68.00,63.00
2026-06-28 22:00:00,,75.00,70.00
2026-06-28 22:10:00,,69.00,64.00
2026-06-28 22:20:00,,71.00,66.00
2026-06-28 22:30:00,,67.00,62.00
2026-06-28 22:40:00,,60.00,56.00
2026-06-28 22:50:00,,57.00,53.00
2026-06-28 23:00:00,,65.00,61.00
2026-06-28 23:10:00,,74.00,66.00
2026-06-28 23:20:00,,79.00,74.00
2026-06-28 23:30:00,,80.00,74.00
2026-06-28 23:40:00,,65.00,60.00
2026-06-28 23:50:00,,59.00,54.00
2026-06-29 00:00:00,,55.00,51.00
2026-06-29 00:10:00,,54.00,51.00
2026-06-29 00:20:00,,53.00,48.00
2026-06-29 00:30:00,,53.00,48.00
2026-06-29 00:40:00,,54.00,50.00
2026-06-29 00:50:00,,54.00,50.00
2026-06-29 01:00:00,,55.00,50.00
