-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,ALLSKY_SFC_UV_INDEX
41.5,-81.5,2018,179,2.08
41.5,-80.5,2018,179,1.74
42.5,-81.5,2018,179,2.33
42.5,-80.5,2018,179,2.44
41.5,-81.5,2018,180,2.39
41.5,-80.5,2018,180,2.25
42.5,-81.5,2018,180,2.45
42.5,-80.5,2018,180,2.47
41.5,-81.5,2018,181,2.38
41.5,-80.5,2018,181,2.32
42.5,-81.5,2018,181,2.19
42.5,-80.5,2018,181,2.39
41.5,-81.5,2018,182,2.44
41.5,-80.5,2018,182,2.5
42.5,-81.5,2018,182,2.52
42.5,-80.5,2018,182,2.42
41.5,-81.5,2018,183,1.97
41.5,-80.5,2018,183,1.85
42.5,-81.5,2018,183,2.09
42.5,-80.5,2018,183,2.22
41.5,-81.5,2018,184,1.95
41.5,-80.5,2018,184,2.14
42.5,-81.5,2018,184,2.56
42.5,-80.5,2018,184,2.54
41.5,-81.5,2018,185,2.3
41.5,-80.5,2018,185,2.35
42.5,-81.5,2018,185,2.45
42.5,-80.5,2018,185,2.42
41.5,-81.5,2018,186,1.55
41.5,-80.5,2018,186,1.38
42.5,-81.5,2018,186,2.08
42.5,-80.5,2018,186,2.04
41.5,-81.5,2018,187,2.66
41.5,-80.5,2018,187,2.73
42.5,-81.5,2018,187,2.76
42.5,-80.5,2018,187,2.76
41.5,-81.5,2018,188,2.35
41.5,-80.5,2018,188,2.57
42.5,-81.5,2018,188,1.93
42.5,-80.5,2018,188,2.45
41.5,-81.5,2018,189,2.41
41.5,-80.5,2018,189,2.47
42.5,-81.5,2018,189,2.46
42.5,-80.5,2018,189,2.44
41.5,-81.5,2018,190,2.45
41.5,-80.5,2018,190,1.92
42.5,-81.5,2018,190,2.5
42.5,-80.5,2018,190,2.48
41.5,-81.5,2018,191,2.18
41.5,-80.5,2018,191,2.12
42.5,-81.5,2018,191,2.3
42.5,-80.5,2018,191,2.23
41.5,-81.5,2018,192,2.17
41.5,-80.5,2018,192,2.18
42.5,-81.5,2018,192,2.06
42.5,-80.5,2018,192,2.1
41.5,-81.5,2018,193,2.08
41.5,-80.5,2018,193,2.1
42.5,-81.5,2018,193,1.97
42.5,-80.5,2018,193,2.02
41.5,-81.5,2018,194,2.23
41.5,-80.5,2018,194,2.27
42.5,-81.5,2018,194,2.2
42.5,-80.5,2018,194,2.23
41.5,-81.5,2018,195,1.74
41.5,-80.5,2018,195,1.77
42.5,-81.5,2018,195,1.3
42.5,-80.5,2018,195,1.27
41.5,-81.5,2018,196,2.12
41.5,-80.5,2018,196,2.04
42.5,-81.5,2018,196,2.32
42.5,-80.5,2018,196,2.29
41.5,-81.5,2018,197,1.87
41.5,-80.5,2018,197,2.03
42.5,-81.5,2018,197,2.05
42.5,-80.5,2018,197,2.07
41.5,-81.5,2018,198,2.21
41.5,-80.5,2018,198,2.23
42.5,-81.5,2018,198,2.42
42.5,-80.5,2018,198,2.43
41.5,-81.5,2018,199,2.04
41.5,-80.5,2018,199,2.03
42.5,-81.5,2018,199,1.96
42.5,-80.5,2018,199,1.97
41.5,-81.5,2018,200,2.08
41.5,-80.5,2018,200,2.15
42.5,-81.5,2018,200,2.07
42.5,-80.5,2018,200,2.1
41.5,-81.5,2018,201,1.44
41.5,-80.5,2018,201,1.79
42.5,-81.5,2018,201,1.54
42.5,-80.5,2018,201,1.82
41.5,-81.5,2018,202,1.31
41.5,-80.5,2018,202,1.37
42.5,-81.5,2018,202,1.1
42.5,-80.5,2018,202,1.19
41.5,-81.5,2018,203,1.09
41.5,-80.5,2018,203,1.12
42.5,-81.5,2018,203,1
42.5,-80.5,2018,203,1.12
41.5,-81.5,2018,204,1.59
41.5,-80.5,2018,204,1.5
42.5,-81.5,2018,204,1.69
42.5,-80.5,2018,204,1.46
41.5,-81.5,2018,205,1.55
41.5,-80.5,2018,205,1.49
42.5,-81.5,2018,205,1.63
42.5,-80.5,2018,205,1.57
41.5,-81.5,2018,206,1.85
41.5,-80.5,2018,206,1.8
42.5,-81.5,2018,206,2.08
42.5,-80.5,2018,206,2.03
41.5,-81.5,2018,207,1.76
41.5,-80.5,2018,207,1.95
42.5,-81.5,2018,207,1.71
42.5,-80.5,2018,207,1.81
41.5,-81.5,2018,208,1.84
41.5,-80.5,2018,208,1.85
42.5,-81.5,2018,208,1.72
42.5,-80.5,2018,208,1.95
41.5,-81.5,2018,209,1.81
41.5,-80.5,2018,209,1.75
42.5,-81.5,2018,209,1.76
42.5,-80.5,2018,209,1.75
41.5,-81.5,2018,210,1.52
41.5,-80.5,2018,210,1.47
42.5,-81.5,2018,210,1.49
42.5,-80.5,2018,210,1.51
41.5,-81.5,2018,211,1.22
41.5,-80.5,2018,211,1.04
42.5,-81.5,2018,211,1.31
42.5,-80.5,2018,211,1.25
41.5,-81.5,2018,212,1.09
41.5,-80.5,2018,212,1.09
42.5,-81.5,2018,212,1.29
42.5,-80.5,2018,212,1.2
41.5,-81.5,2018,213,1.1
41.5,-80.5,2018,213,1.25
42.5,-81.5,2018,213,1.06
42.5,-80.5,2018,213,1.2
41.5,-81.5,2018,214,1.65
41.5,-80.5,2018,214,1.71
42.5,-81.5,2018,214,1.63
42.5,-80.5,2018,214,1.79
41.5,-81.5,2018,215,1.68
41.5,-80.5,2018,215,1.51
42.5,-81.5,2018,215,1.75
42.5,-80.5,2018,215,1.64
41.5,-81.5,2018,216,1.98
41.5,-80.5,2018,216,1.9
42.5,-81.5,2018,216,2.05
42.5,-80.5,2018,216,1.99
41.5,-81.5,2018,217,1.99
41.5,-80.5,2018,217,1.84
42.5,-81.5,2018,217,2.05
42.5,-80.5,2018,217,2.01
41.5,-81.5,2018,218,1.92
41.5,-80.5,2018,218,1.83
42.5,-81.5,2018,218,1.51
42.5,-80.5,2018,218,1.67
41.5,-81.5,2018,219,1.18
41.5,-80.5,2018,219,1.17
42.5,-81.5,2018,219,1.47
42.5,-80.5,2018,219,1.43
41.5,-81.5,2018,220,1.49
41.5,-80.5,2018,220,1.43
42.5,-81.5,2018,220,1.45
42.5,-80.5,2018,220,1.44
41.5,-81.5,2018,221,1.87
41.5,-80.5,2018,221,1.82
42.5,-81.5,2018,221,1.91
42.5,-80.5,2018,221,1.9
41.5,-81.5,2018,222,1.24
41.5,-80.5,2018,222,1.33
42.5,-81.5,2018,222,1.93
42.5,-80.5,2018,222,1.95
41.5,-81.5,2018,223,2.03
41.5,-80.5,2018,223,2.02
42.5,-81.5,2018,223,1.99
42.5,-80.5,2018,223,2.02
41.5,-81.5,2018,224,1.64
41.5,-80.5,2018,224,1.73
42.5,-81.5,2018,224,1.7
42.5,-80.5,2018,224,1.65
41.5,-81.5,2018,225,1.54
41.5,-80.5,2018,225,1.33
42.5,-81.5,2018,225,1.54
42.5,-80.5,2018,225,1.45
41.5,-81.5,2018,226,1.62
41.5,-80.5,2018,226,1.47
42.5,-81.5,2018,226,1.7
42.5,-80.5,2018,226,1.67
41.5,-81.5,2018,227,1.38
41.5,-80.5,2018,227,1.45
42.5,-81.5,2018,227,1.28
42.5,-80.5,2018,227,1.34
41.5,-81.5,2018,228,0.99
41.5,-80.5,2018,228,1.06
42.5,-81.5,2018,228,0.78
42.5,-80.5,2018,228,1.18
41.5,-81.5,2018,229,1.01
41.5,-80.5,2018,229,1.07
42.5,-81.5,2018,229,1.19
42.5,-80.5,2018,229,1.38
41.5,-81.5,2018,230,1.76
41.5,-80.5,2018,230,1.84
42.5,-81.5,2018,230,1.4
42.5,-80.5,2018,230,1.49
41.5,-81.5,2018,231,1.09
41.5,-80.5,2018,231,1.1
42.5,-81.5,2018,231,0.97
42.5,-80.5,2018,231,1
41.5,-81.5,2018,232,1.26
41.5,-80.5,2018,232,1.31
42.5,-81.5,2018,232,0.97
42.5,-80.5,2018,232,1.02
41.5,-81.5,2018,233,1.26
41.5,-80.5,2018,233,1.23
42.5,-81.5,2018,233,1.16
42.5,-80.5,2018,233,1.21
41.5,-81.5,2018,234,1.02
41.5,-80.5,2018,234,1.02
42.5,-81.5,2018,234,1.04
42.5,-80.5,2018,234,1.14
41.5,-81.5,2018,235,1.59
41.5,-80.5,2018,235,1.63
42.5,-81.5,2018,235,1.55
42.5,-80.5,2018,235,1.56
41.5,-81.5,2018,236,1.63
41.5,-80.5,2018,236,1.71
42.5,-81.5,2018,236,1.57
42.5,-80.5,2018,236,1.57
41.5,-81.5,2018,237,0.93
41.5,-80.5,2018,237,1.02
42.5,-81.5,2018,237,0.78
42.5,-80.5,2018,237,0.78
41.5,-81.5,2018,238,1.17
41.5,-80.5,2018,238,1.05
42.5,-81.5,2018,238,1.31
42.5,-80.5,2018,238,1.26
41.5,-81.5,2018,239,1.45
41.5,-80.5,2018,239,1.4
42.5,-81.5,2018,239,1.3
42.5,-80.5,2018,239,1.24
41.5,-81.5,2018,240,1.76
41.5,-80.5,2018,240,1.74
42.5,-81.5,2018,240,1.7
42.5,-80.5,2018,240,1.66
41.5,-81.5,2018,241,1.52
41.5,-80.5,2018,241,1.64
42.5,-81.5,2018,241,1.07
42.5,-80.5,2018,241,1.18
41.5,-81.5,2018,242,1.44
41.5,-80.5,2018,242,1.48
42.5,-81.5,2018,242,1.45
42.5,-80.5,2018,242,1.46
41.5,-81.5,2018,243,1.52
41.5,-80.5,2018,243,1.52
42.5,-81.5,2018,243,1.58
42.5,-80.5,2018,243,1.59
41.5,-81.5,2018,244,1.51
41.5,-80.5,2018,244,1.45
42.5,-81.5,2018,244,1.56
42.5,-80.5,2018,244,1.55
41.5,-81.5,2018,245,1.61
41.5,-80.5,2018,245,1.59
42.5,-81.5,2018,245,1.62
42.5,-80.5,2018,245,1.47
41.5,-81.5,2018,246,1.65
41.5,-80.5,2018,246,1.57
42.5,-81.5,2018,246,1.42
42.5,-80.5,2018,246,1.48
41.5,-81.5,2018,247,1.66
41.5,-80.5,2018,247,1.77
42.5,-81.5,2018,247,1.75
42.5,-80.5,2018,247,1.69
41.5,-81.5,2018,248,1.71
41.5,-80.5,2018,248,1.72
42.5,-81.5,2018,248,1.74
42.5,-80.5,2018,248,1.71
41.5,-81.5,2018,249,1.21
41.5,-80.5,2018,249,1.18
42.5,-81.5,2018,249,1.24
42.5,-80.5,2018,249,1.37
41.5,-81.5,2018,250,1.1
41.5,-80.5,2018,250,1.43
42.5,-81.5,2018,250,1.19
42.5,-80.5,2018,250,1.27
41.5,-81.5,2018,251,0.58
41.5,-80.5,2018,251,0.64
42.5,-81.5,2018,251,1.01
42.5,-80.5,2018,251,1
41.5,-81.5,2018,252,0.46
41.5,-80.5,2018,252,0.48
42.5,-81.5,2018,252,0.55
42.5,-80.5,2018,252,0.52
41.5,-81.5,2018,253,0.71
41.5,-80.5,2018,253,0.7
42.5,-81.5,2018,253,0.64
42.5,-80.5,2018,253,0.67
41.5,-81.5,2018,254,0.97
41.5,-80.5,2018,254,0.86
42.5,-81.5,2018,254,1.35
42.5,-80.5,2018,254,0.97
41.5,-81.5,2018,255,1.15
41.5,-80.5,2018,255,1.24
42.5,-81.5,2018,255,1
42.5,-80.5,2018,255,1.1
41.5,-81.5,2018,256,1.13
41.5,-80.5,2018,256,1.15
42.5,-81.5,2018,256,0.98
