-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,ALLSKY_SFC_UV_INDEX
42.5,-79.5,2018,179,1.94
42.5,-78.5,2018,179,1.65
43.5,-79.5,2018,179,2.17
43.5,-78.5,2018,179,1.9
42.5,-79.5,2018,180,2.46
42.5,-78.5,2018,180,2.44
43.5,-79.5,2018,180,2.36
43.5,-78.5,2018,180,2.3
42.5,-79.5,2018,181,2.44
42.5,-78.5,2018,181,2.39
43.5,-79.5,2018,181,2.32
43.5,-78.5,2018,181,2.12
42.5,-79.5,2018,182,2.54
42.5,-78.5,2018,182,2.55
43.5,-79.5,2018,182,2.37
43.5,-78.5,2018,182,2.21
42.5,-79.5,2018,183,2.1
42.5,-78.5,2018,183,1.87
43.5,-79.5,2018,183,2.09
43.5,-78.5,2018,183,2.23
42.5,-79.5,2018,184,2.61
42.5,-78.5,2018,184,2.55
43.5,-79.5,2018,184,2.55
43.5,-78.5,2018,184,2.53
42.5,-79.5,2018,185,2.47
42.5,-78.5,2018,185,2.43
43.5,-79.5,2018,185,2.47
43.5,-78.5,2018,185,2.41
42.5,-79.5,2018,186,2.2
42.5,-78.5,2018,186,2.14
43.5,-79.5,2018,186,2.03
43.5,-78.5,2018,186,2.18
42.5,-79.5,2018,187,2.74
42.5,-78.5,2018,187,2.62
43.5,-79.5,2018,187,2.69
43.5,-78.5,2018,187,2.61
42.5,-79.5,2018,188,2.45
42.5,-78.5,2018,188,2.44
43.5,-79.5,2018,188,2.21
43.5,-78.5,2018,188,2.13
42.5,-79.5,2018,189,1.81
42.5,-78.5,2018,189,2.36
43.5,-79.5,2018,189,2.1
43.5,-78.5,2018,189,2.27
42.5,-79.5,2018,190,2.55
42.5,-78.5,2018,190,2.25
43.5,-79.5,2018,190,2.44
43.5,-78.5,2018,190,2.41
42.5,-79.5,2018,191,2.18
42.5,-78.5,2018,191,2.26
43.5,-79.5,2018,191,2.29
43.5,-78.5,2018,191,2.15
