-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,PRECTOTCORR
42,-79.375,2018,179,4.2
42,-78.75,2018,179,4.1
42,-78.125,2018,179,5.32
42.5,-79.375,2018,179,9.27
42.5,-78.75,2018,179,6.99
42.5,-78.125,2018,179,7.13
43,-79.375,2018,179,4.89
43,-78.75,2018,179,5.55
43,-78.125,2018,179,5.73
43.5,-79.375,2018,179,1.56
43.5,-78.75,2018,179,4.67
43.5,-78.125,2018,179,6.24
42,-79.375,2018,180,0.21
42,-78.75,2018,180,0.02
42,-78.125,2018,180,0.01
42.5,-79.375,2018,180,1.02
42.5,-78.75,2018,180,0.07
42.5,-78.125,2018,180,0.03
43,-79.375,2018,180,1.1
43,-78.75,2018,180,0.11
43,-78.125,2018,180,0.03
43.5,-79.375,2018,180,0.58
43.5,-78.75,2018,180,0.12
43.5,-78.125,2018,180,0.09
42,-79.375,2018,181,0
42,-78.75,2018,181,0
42,-78.125,2018,181,0
42.5,-79.375,2018,181,0.01
42.5,-78.75,2018,181,0.02
42.5,-78.125,2018,181,0.01
43,-79.375,2018,181,0.14
43,-78.75,2018,181,0.18
43,-78.125,2018,181,0.12
43.5,-79.375,2018,181,0.5
43.5,-78.75,2018,181,0.69
43.5,-78.125,2018,181,0.52
42,-79.375,2018,182,0
42,-78.75,2018,182,0
42,-78.125,2018,182,0
42.5,-79.375,2018,182,0.01
42.5,-78.75,2018,182,0.01
42.5,-78.125,2018,182,0
43,-79.375,2018,182,0.23
43,-78.75,2018,182,0.18
43,-78.125,2018,182,0.03
43.5,-79.375,2018,182,0.72
43.5,-78.75,2018,182,0.64
43.5,-78.125,2018,182,0.62
42,-79.375,2018,183,4.37
42,-78.75,2018,183,8.04
42,-78.125,2018,183,8.63
42.5,-79.375,2018,183,2.38
42.5,-78.75,2018,183,5.67
42.5,-78.125,2018,183,7.29
43,-79.375,2018,183,1.05
43,-78.75,2018,183,2.58
43,-78.125,2018,183,3.14
43.5,-79.375,2018,183,0.35
43.5,-78.75,2018,183,0.51
43.5,-78.125,2018,183,0.33
42,-79.375,2018,184,3.46
42,-78.75,2018,184,3.12
42,-78.125,2018,184,2.9
42.5,-79.375,2018,184,2.75
42.5,-78.75,2018,184,1.72
42.5,-78.125,2018,184,1.55
43,-79.375,2018,184,1.75
43,-78.75,2018,184,1.17
43,-78.125,2018,184,0.51
43.5,-79.375,2018,184,2.33
43.5,-78.75,2018,184,2.14
43.5,-78.125,2018,184,2.38
42,-79.375,2018,185,1.5
42,-78.75,2018,185,9.93
42,-78.125,2018,185,14.62
42.5,-79.375,2018,185,1.15
42.5,-78.75,2018,185,2.58
42.5,-78.125,2018,185,5.94
43,-79.375,2018,185,1.12
43,-78.75,2018,185,0.58
43,-78.125,2018,185,0.51
43.5,-79.375,2018,185,0.32
43.5,-78.75,2018,185,0.1
43.5,-78.125,2018,185,0
42,-79.375,2018,186,5
42,-78.75,2018,186,3.79
42,-78.125,2018,186,4.27
42.5,-79.375,2018,186,2.17
42.5,-78.75,2018,186,3.96
42.5,-78.125,2018,186,3.93
43,-79.375,2018,186,4.31
43,-78.75,2018,186,3.94
43,-78.125,2018,186,2.95
43.5,-79.375,2018,186,7.58
43.5,-78.75,2018,186,4.16
43.5,-78.125,2018,186,2.19
