-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
T2M     MERRA-2 Temperature at 2 Meters (C),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,T2M,Scaling Factor,,2018 T2M Avg
42,-79.375,2018,179,20.23,1.583388762,,12.77639483
42,-78.75,2018,179,20.23,1.583388762,,
42,-78.125,2018,179,20.42,1.598259937,,
42.5,-79.375,2018,179,20.79,1.627219593,,
42.5,-78.75,2018,179,20.75,1.62408882,,
42.5,-78.125,2018,179,20.73,1.622523433,,
43,-79.375,2018,179,22.18,1.736013977,,
43,-78.75,2018,179,22.03,1.724273576,,
43,-78.125,2018,179,22.24,1.740710137,,
43.5,-79.375,2018,179,22.17,1.735231283,,
43.5,-78.75,2018,179,20.62,1.613913805,,
43.5,-78.125,2018,179,19.26,1.507467502,,
42,-79.375,2018,180,22.66,1.77358326,,
42,-78.75,2018,180,21.6,1.690617759,,
42,-78.125,2018,180,21.41,1.675746585,,
42.5,-79.375,2018,180,22.74,1.779844808,,
42.5,-78.75,2018,180,22.25,1.741492831,,
42.5,-78.125,2018,180,21.79,1.705488934,,
43,-79.375,2018,180,23.68,1.853417988,,
43,-78.75,2018,180,23.83,1.865158389,,
43,-78.125,2018,180,24.34,1.905075753,,
43.5,-79.375,2018,180,23.08,1.806456384,,
43.5,-78.75,2018,180,20.92,1.637394608,,
43.5,-78.125,2018,180,19.62,1.535644465,,
42,-79.375,2018,181,23.35,1.827589105,,
42,-78.75,2018,181,22.63,1.77123518,,
42,-78.125,2018,181,22.46,1.757929392,,
42.5,-79.375,2018,181,23.62,1.848721827,,
42.5,-78.75,2018,181,23.65,1.851069908,,
42.5,-78.125,2018,181,23.54,1.84246028,,
43,-79.375,2018,181,24.45,1.91368538,,
43,-78.75,2018,181,25.09,1.963777758,,
43,-78.125,2018,181,25.8,2.01934899,,
43.5,-79.375,2018,181,23.74,1.858114148,,
43.5,-78.75,2018,181,22.73,1.779062114,,
43.5,-78.125,2018,181,21.83,1.708619708,,
42,-79.375,2018,182,24.13,1.888639191,,
42,-78.75,2018,182,23.53,1.841677587,,
42,-78.125,2018,182,23.53,1.841677587,,
42.5,-79.375,2018,182,25.01,1.957516211,,
42.5,-78.75,2018,182,24.83,1.94342773,,
42.5,-78.125,2018,182,24.84,1.944210423,,
43,-79.375,2018,182,26.08,2.041264406,,
43,-78.75,2018,182,27,2.113272199,,
43,-78.125,2018,182,27.93,2.186062686,,
43.5,-79.375,2018,182,24.86,1.94577581,,
43.5,-78.75,2018,182,23.99,1.877681484,,
43.5,-78.125,2018,182,23.56,1.844025667,,
42,-79.375,2018,183,23.63,1.849504521,,
42,-78.75,2018,183,23.16,1.812717931,,
42,-78.125,2018,183,23.38,1.829937186,,
42.5,-79.375,2018,183,24.28,1.900379592,,
42.5,-78.75,2018,183,24.07,1.883943031,,
42.5,-78.125,2018,183,24.23,1.896466125,,
43,-79.375,2018,183,25.45,1.991954721,,
43,-78.75,2018,183,25.87,2.024827844,,
43,-78.125,2018,183,26.35,2.062397128,,
43.5,-79.375,2018,183,24.74,1.936383489,,
43.5,-78.75,2018,183,24.21,1.894900739,,
43.5,-78.125,2018,183,23.97,1.876116097,,
42,-79.375,2018,184,24.68,1.931687329,,
42,-78.75,2018,184,23.43,1.833850653,,
42,-78.125,2018,184,23.05,1.804108303,,
42.5,-79.375,2018,184,24.78,1.939514263,,
42.5,-78.75,2018,184,24.64,1.928556555,,
42.5,-78.125,2018,184,24.4,1.909771913,,
43,-79.375,2018,184,25.17,1.970039306,,
43,-78.75,2018,184,25.73,2.013870136,,
43,-78.125,2018,184,25.69,2.010739363,,
43.5,-79.375,2018,184,23.74,1.858114148,,
43.5,-78.75,2018,184,23,1.800194836,,
43.5,-78.125,2018,184,22.83,1.786889048,,
42,-79.375,2018,185,25.8,2.01934899,,
42,-78.75,2018,185,24.07,1.883943031,,
42,-78.125,2018,185,23.24,1.818979478,,
42.5,-79.375,2018,185,26.63,2.084312543,,
42.5,-78.75,2018,185,25.27,1.97786624,,
42.5,-78.125,2018,185,24.9,1.948906584,,
43,-79.375,2018,185,27.03,2.115620279,,
43,-78.75,2018,185,26.92,2.107010652,,
43,-78.125,2018,185,27.27,2.134404921,,
43.5,-79.375,2018,185,24.77,1.938731569,,
43.5,-78.75,2018,185,23.76,1.859679535,,
43.5,-78.125,2018,185,23.58,1.845591054,,
42,-79.375,2018,186,24.47,1.915250767,,
42,-78.75,2018,186,23.63,1.849504521,,
42,-78.125,2018,186,23.31,1.824458332,,
42.5,-79.375,2018,186,25.64,2.006825896,,
42.5,-78.75,2018,186,25.01,1.957516211,,
42.5,-78.125,2018,186,24.63,1.927773862,,
43,-79.375,2018,186,26.54,2.077268302,,
43,-78.75,2018,186,26.89,2.104662572,,
43,-78.125,2018,186,27.52,2.153972256,,
43.5,-79.375,2018,186,25.38,1.986475867,,
43.5,-78.75,2018,186,24.43,1.912119993,,
43.5,-78.125,2018,186,24.06,1.883160337,,
42,-79.375,2018,187,19.11,1.495727101,,
42,-78.75,2018,187,18.54,1.451113577,,
42,-78.125,2018,187,18.64,1.458940511,,
42.5,-79.375,2018,187,21.07,1.649135009,,
42.5,-78.75,2018,187,19.27,1.508250195,,
42.5,-78.125,2018,187,19.01,1.487900167,,
43,-79.375,2018,187,21.45,1.678877358,,
43,-78.75,2018,187,21.08,1.649917702,,
43,-78.125,2018,187,20.68,1.618609966,,
43.5,-79.375,2018,187,21.39,1.674181198,,
43.5,-78.75,2018,187,21.84,1.709402401,,
43.5,-78.125,2018,187,22.4,1.753233232,,
42,-79.375,2018,188,17.14,1.3415365,,
42,-78.75,2018,188,16.21,1.268746013,,
42,-78.125,2018,188,16.22,1.269528706,,
42.5,-79.375,2018,188,20.75,1.62408882,,
42.5,-78.75,2018,188,18.55,1.45189627,,
42.5,-78.125,2018,188,17.89,1.400238505,,
43,-79.375,2018,188,21.75,1.70235816,,
43,-78.75,2018,188,20.89,1.635046527,,
43,-78.125,2018,188,19.81,1.550515639,,
43.5,-79.375,2018,188,21.06,1.648352315,,
43.5,-78.75,2018,188,20.99,1.642873461,,
43.5,-78.125,2018,188,21.8,1.706271627,,
42,-79.375,2018,189,18.6,1.455809737,,
42,-78.75,2018,189,17.57,1.375192316,,
42,-78.125,2018,189,17.57,1.375192316,,
42.5,-79.375,2018,189,21.59,1.689835066,,
42.5,-78.75,2018,189,19.37,1.516077129,,
42.5,-78.125,2018,189,19.27,1.508250195,,
43,-79.375,2018,189,22.98,1.798629449,,
43,-78.75,2018,189,22.52,1.762625553,,
43,-78.125,2018,189,22.65,1.772800567,,
43.5,-79.375,2018,189,22.87,1.790019822,,
43.5,-78.75,2018,189,22.03,1.724273576,,
43.5,-78.125,2018,189,21.17,1.656961943,,
42,-79.375,2018,190,19.92,1.559125267,,
42,-78.75,2018,190,19,1.487117473,,
42,-78.125,2018,190,19.12,1.496509794,,
42.5,-79.375,2018,190,22.27,1.743058218,,
42.5,-78.75,2018,190,20.61,1.613131112,,
42.5,-78.125,2018,190,20.89,1.635046527,,
43,-79.375,2018,190,23.71,1.855766068,,
43,-78.75,2018,190,23.51,1.8401122,,
43,-78.125,2018,190,23.75,1.858896842,,
43.5,-79.375,2018,190,24.03,1.880812257,,
43.5,-78.75,2018,190,23.34,1.826806412,,
43.5,-78.125,2018,190,22.73,1.779062114,,
42,-79.375,2018,191,21.34,1.670267731,,
42,-78.75,2018,191,20.52,1.606086871,,
42,-78.125,2018,191,20.79,1.627219593,,
42.5,-79.375,2018,191,23.48,1.83776412,,
42.5,-78.75,2018,191,22.16,1.73444859,,
42.5,-78.125,2018,191,22.19,1.73679667,,
43,-79.375,2018,191,24.6,1.925425781,,
43,-78.75,2018,191,24.29,1.901162286,,
43,-78.125,2018,191,24.05,1.882377644,,
43.5,-79.375,2018,191,23.99,1.877681484,,
43.5,-78.75,2018,191,23.3,1.823675638,,
43.5,-78.125,2018,191,23.12,1.809587157,,
42,-79.375,2018,192,19.12,1.496509794,,
42,-78.75,2018,192,18.15,1.420588534,,
42,-78.125,2018,192,18.17,1.422153921,,
42.5,-79.375,2018,192,21.79,1.705488934,,
42.5,-78.75,2018,192,19.73,1.544254092,,
42.5,-78.125,2018,192,19.42,1.519990597,,
43,-79.375,2018,192,23.09,1.807239077,,
43,-78.75,2018,192,22.52,1.762625553,,
43,-78.125,2018,192,21.92,1.715663948,,
43.5,-79.375,2018,192,23.28,1.822110252,,
43.5,-78.75,2018,192,22.15,1.733665897,,
43.5,-78.125,2018,192,22.27,1.743058218,,
42,-79.375,2018,193,19.57,1.531730998,,
42,-78.75,2018,193,18.75,1.467550138,,
42,-78.125,2018,193,19.06,1.491813634,,
42.5,-79.375,2018,193,23.03,1.802542916,,
42.5,-78.75,2018,193,21.73,1.700792774,,
42.5,-78.125,2018,193,21.4,1.674963891,,
43,-79.375,2018,193,23.98,1.87689879,,
43,-78.75,2018,193,23.76,1.859679535,,
43,-78.125,2018,193,22.6,1.7688871,,
43.5,-79.375,2018,193,23.4,1.831502573,,
43.5,-78.75,2018,193,22.59,1.768104407,,
43.5,-78.125,2018,193,22.57,1.76653902,,
42,-79.375,2018,194,21.93,1.716446642,,
42,-78.75,2018,194,20.43,1.599042631,,
42,-78.125,2018,194,20.57,1.610000338,,
42.5,-79.375,2018,194,23.95,1.87455071,,
42.5,-78.75,2018,194,22.31,1.746188991,,
42.5,-78.125,2018,194,22.39,1.752450538,,
43,-79.375,2018,194,25.05,1.960646985,,
43,-78.75,2018,194,24.85,1.944993117,,
43,-78.125,2018,194,24.7,1.933252715,,
43.5,-79.375,2018,194,24.86,1.94577581,,
43.5,-78.75,2018,194,23.87,1.868289163,,
43.5,-78.125,2018,194,23.11,1.808804464,,
42,-79.375,2018,195,23.39,1.830719879,,
42,-78.75,2018,195,22.32,1.746971685,,
42,-78.125,2018,195,22.45,1.757146699,,
42.5,-79.375,2018,195,24.35,1.905858446,,
42.5,-78.75,2018,195,23.39,1.830719879,,
42.5,-78.125,2018,195,23.66,1.851852601,,
43,-79.375,2018,195,24.9,1.948906584,,
43,-78.75,2018,195,24.87,1.946558503,,
43,-78.125,2018,195,25.09,1.963777758,,
43.5,-79.375,2018,195,24.61,1.926208475,,
43.5,-78.75,2018,195,23.73,1.857331455,,
43.5,-78.125,2018,195,23.13,1.810369851,,
42,-79.375,2018,196,25.26,1.977083546,,
42,-78.75,2018,196,24.13,1.888639191,,
42,-78.125,2018,196,23.83,1.865158389,,
42.5,-79.375,2018,196,25.45,1.991954721,,
42.5,-78.75,2018,196,24.82,1.942645036,,
42.5,-78.125,2018,196,24.87,1.946558503,,
43,-79.375,2018,196,26.14,2.045960566,,
43,-78.75,2018,196,26.15,2.046743259,,
43,-78.125,2018,196,26.27,2.05613558,,
43.5,-79.375,2018,196,25.35,1.984127787,,
43.5,-78.75,2018,196,23.94,1.873768017,,
43.5,-78.125,2018,196,23.73,1.857331455,,
42,-79.375,2018,197,24.82,1.942645036,,
42,-78.75,2018,197,23.75,1.858896842,,
42,-78.125,2018,197,23.75,1.858896842,,
42.5,-79.375,2018,197,25.61,2.004477815,,
42.5,-78.75,2018,197,25.12,1.966125839,,
42.5,-78.125,2018,197,25.22,1.973952773,,
43,-79.375,2018,197,26.37,2.063962514,,
43,-78.75,2018,197,26.8,2.097618331,,
43,-78.125,2018,197,27.34,2.139883775,,
43.5,-79.375,2018,197,25.49,1.995085495,,
43.5,-78.75,2018,197,24.98,1.955168131,,
43.5,-78.125,2018,197,24.01,1.87924687,,
42,-79.375,2018,198,21.59,1.689835066,,
42,-78.75,2018,198,20.66,1.617044579,,
42,-78.125,2018,198,20.51,1.605304178,,
42.5,-79.375,2018,198,23.58,1.845591054,,
42.5,-78.75,2018,198,22.1,1.72975243,,
42.5,-78.125,2018,198,21.55,1.686704292,,
43,-79.375,2018,198,24.39,1.90898922,,
43,-78.75,2018,198,24.14,1.889421885,,
43,-78.125,2018,198,23.81,1.863593002,,
43.5,-79.375,2018,198,24.1,1.886291111,,
43.5,-78.75,2018,198,24.05,1.882377644,,
43.5,-78.125,2018,198,24,1.878464177,,
42,-79.375,2018,199,18.73,1.465984751,,
42,-78.75,2018,199,17.59,1.376757703,,
42,-78.125,2018,199,17.55,1.373626929,,
42.5,-79.375,2018,199,20.91,1.636611914,,
42.5,-78.75,2018,199,19.26,1.507467502,,
