-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
T2M     MERRA-2 Temperature at 2 Meters (C),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,T2M,Scaling Factor,,2018 T2M Avg
41,-83.75,2018,179,23.8,1.746940976,,13.62381462
41,-83.125,2018,179,23.58,1.730792782,,
41,-82.5,2018,179,23.07,1.693358332,,
41.5,-83.75,2018,179,23.73,1.741802914,,
41.5,-83.125,2018,179,23.57,1.730058773,,
41.5,-82.5,2018,179,22.77,1.671338068,,
42,-83.75,2018,179,23.39,1.716846614,,
42,-83.125,2018,179,23.32,1.711708553,,
42,-82.5,2018,179,22.21,1.630233574,,
42.5,-83.75,2018,179,22.75,1.66987005,,
42.5,-83.125,2018,179,22.83,1.675742121,,
42.5,-82.5,2018,179,22.29,1.636105645,,
41,-83.75,2018,180,25.57,1.876860536,,
41,-83.125,2018,180,25.15,1.846032166,,
41,-82.5,2018,180,24.66,1.810065734,,
41.5,-83.75,2018,180,25.88,1.899614809,,
41.5,-83.125,2018,180,25.67,1.884200624,,
41.5,-82.5,2018,180,24.89,1.826947936,,
42,-83.75,2018,180,25.65,1.882732606,,
42,-83.125,2018,180,25.34,1.859978333,,
42,-82.5,2018,180,24.48,1.796853575,,
42.5,-83.75,2018,180,25.12,1.843830139,,
42.5,-83.125,2018,180,24.94,1.83061798,,
42.5,-82.5,2018,180,24.68,1.811533751,,
41,-83.75,2018,181,26.18,1.921635073,,
41,-83.125,2018,181,25.74,1.889338686,,
41,-82.5,2018,181,25.3,1.857042298,,
41.5,-83.75,2018,181,26.41,1.938517276,,
41.5,-83.125,2018,181,26.25,1.926773135,,
41.5,-82.5,2018,181,25.69,1.885668641,,
42,-83.75,2018,181,26.19,1.922369082,,
42,-83.125,2018,181,26.01,1.909156923,,
42,-82.5,2018,181,25.31,1.857776307,,
42.5,-83.75,2018,181,26,1.908422915,,
42.5,-83.125,2018,181,25.79,1.89300873,,
42.5,-82.5,2018,181,25.54,1.874658509,,
41,-83.75,2018,182,26.84,1.970079655,,
41,-83.125,2018,182,26.27,1.928241153,,
41,-82.5,2018,182,25.67,1.884200624,,
41.5,-83.75,2018,182,27.23,1.998705999,,
41.5,-83.125,2018,182,26.88,1.97301569,,
41.5,-82.5,2018,182,26.19,1.922369082,,
42,-83.75,2018,182,27,1.981823796,,
42,-83.125,2018,182,26.68,1.958335514,,
42,-82.5,2018,182,26.04,1.91135895,,
42.5,-83.75,2018,182,26.65,1.956133488,,
42.5,-83.125,2018,182,26.61,1.953197452,,
42.5,-82.5,2018,182,26.48,1.943655338,,
41,-83.75,2018,183,26.48,1.943655338,,
41,-83.125,2018,183,26.11,1.916497012,,
41,-82.5,2018,183,25.5,1.871722474,,
41.5,-83.75,2018,183,26.45,1.941453311,,
41.5,-83.125,2018,183,26.63,1.95466547,,
41.5,-82.5,2018,183,26.12,1.91723102,,
42,-83.75,2018,183,25.75,1.890072694,,
42,-83.125,2018,183,26.13,1.917965029,,
42,-82.5,2018,183,25.88,1.899614809,,
42.5,-83.75,2018,183,24.67,1.810799743,,
42.5,-83.125,2018,183,25.17,1.847500183,,
42.5,-82.5,2018,183,25.67,1.884200624,,
41,-83.75,2018,184,26.14,1.918699038,,
41,-83.125,2018,184,25.95,1.904752871,,
41,-82.5,2018,184,25.63,1.881264589,,
41.5,-83.75,2018,184,25.88,1.899614809,,
41.5,-83.125,2018,184,25.77,1.891540712,,
41.5,-82.5,2018,184,25.6,1.879062562,,
42,-83.75,2018,184,25.1,1.842362121,,
42,-83.125,2018,184,25.18,1.848234192,,
42,-82.5,2018,184,24.89,1.826947936,,
42.5,-83.75,2018,184,24.42,1.792449522,,
42.5,-83.125,2018,184,24.32,1.785109434,,
42.5,-82.5,2018,184,24.28,1.782173399,,
41,-83.75,2018,185,27.14,1.992099919,,
41,-83.125,2018,185,27.07,1.986961858,,
41,-82.5,2018,185,26.88,1.97301569,,
41.5,-83.75,2018,185,27.02,1.983291814,,
41.5,-83.125,2018,185,27.06,1.986227849,,
41.5,-82.5,2018,185,26.79,1.966409611,,
42,-83.75,2018,185,26.89,1.973749699,,
42,-83.125,2018,185,26.86,1.971547673,,
42,-82.5,2018,185,26.61,1.953197452,,
42.5,-83.75,2018,185,26.38,1.93631525,,
42.5,-83.125,2018,185,26.4,1.937783267,,
42.5,-82.5,2018,185,26.69,1.959069523,,
41,-83.75,2018,186,26.44,1.940719302,,
41,-83.125,2018,186,26.15,1.919433047,,
41,-82.5,2018,186,25.98,1.906954897,,
41.5,-83.75,2018,186,26.8,1.96714362,,
41.5,-83.125,2018,186,26.75,1.963473576,,
41.5,-82.5,2018,186,26.55,1.948793399,,
42,-83.75,2018,186,26.63,1.95466547,,
42,-83.125,2018,186,26.84,1.970079655,,
42,-82.5,2018,186,26.65,1.956133488,,
42.5,-83.75,2018,186,25.9,1.901082827,,
42.5,-83.125,2018,186,26.13,1.917965029,,
42.5,-82.5,2018,186,26.57,1.950261417,,
41,-83.75,2018,187,20.82,1.528206349,,
41,-83.125,2018,187,20.22,1.484165821,,
41,-82.5,2018,187,20.28,1.488569873,,
41.5,-83.75,2018,187,20.96,1.538482473,,
41.5,-83.125,2018,187,21.12,1.550226614,,
41.5,-82.5,2018,187,21.44,1.573714896,,
42,-83.75,2018,187,20.45,1.501048023,,
42,-83.125,2018,187,21.06,1.545822561,,
42,-82.5,2018,187,20.99,1.540684499,,
42.5,-83.75,2018,187,18.73,1.374798507,,
42.5,-83.125,2018,187,18.79,1.37920256,,
42.5,-82.5,2018,187,19.2,1.409296922,,
41,-83.75,2018,188,18.94,1.390212692,,
41,-83.125,2018,188,18.83,1.382138596,,
41,-82.5,2018,188,18.78,1.378468551,,
41.5,-83.75,2018,188,19.26,1.413700974,,
41.5,-83.125,2018,188,20.04,1.470953662,,
41.5,-82.5,2018,188,20.59,1.511324147,,
42,-83.75,2018,188,19.44,1.426913133,,
42,-83.125,2018,188,20.61,1.512792164,,
42,-82.5,2018,188,20.56,1.50912212,,
42.5,-83.75,2018,188,18.3,1.343236128,,
42.5,-83.125,2018,188,18.65,1.368926437,,
42.5,-82.5,2018,188,19.01,1.395350754,,
41,-83.75,2018,189,21.08,1.547290579,,
41,-83.125,2018,189,20.89,1.533344411,,
41,-82.5,2018,189,20.78,1.525270314,,
41.5,-83.75,2018,189,21.48,1.576650931,,
41.5,-83.125,2018,189,22.05,1.618489433,,
41.5,-82.5,2018,189,22.35,1.640509698,,
42,-83.75,2018,189,22.36,1.641243707,,
42,-83.125,2018,189,22.93,1.683082209,,
42,-82.5,2018,189,22.57,1.656657892,,
42.5,-83.75,2018,189,21.3,1.563438772,,
42.5,-83.125,2018,189,21.28,1.561970755,,
42.5,-82.5,2018,189,21.48,1.576650931,,
41,-83.75,2018,190,23.59,1.731526791,,
41,-83.125,2018,190,23.1,1.695560359,,
41,-82.5,2018,190,22.7,1.666200006,,
41.5,-83.75,2018,190,23.39,1.716846614,,
41.5,-83.125,2018,190,23.8,1.746940976,,
41.5,-82.5,2018,190,24.03,1.763823178,,
42,-83.75,2018,190,23.47,1.722718685,,
42,-83.125,2018,190,24.23,1.778503355,,
42,-82.5,2018,190,24.15,1.772631284,,
42.5,-83.75,2018,190,22.47,1.649317804,,
42.5,-83.125,2018,190,22.8,1.673540094,,
42.5,-82.5,2018,190,23.25,1.706570491,,
41,-83.75,2018,191,24.4,1.790981505,,
41,-83.125,2018,191,23.61,1.732994808,,
41,-82.5,2018,191,23.24,1.705836482,,
41.5,-83.75,2018,191,24.18,1.774833311,,
41.5,-83.125,2018,191,23.9,1.754281064,,
41.5,-82.5,2018,191,23.84,1.749877011,,
42,-83.75,2018,191,23.94,1.757217099,,
42,-83.125,2018,191,23.7,1.739600888,,
42,-82.5,2018,191,23.39,1.716846614,,
42.5,-83.75,2018,191,22.46,1.648583795,,
42.5,-83.125,2018,191,22.03,1.617021416,,
42.5,-82.5,2018,191,22.01,1.615553398,,
41,-83.75,2018,192,21.78,1.598671195,,
41,-83.125,2018,192,20.99,1.540684499,,
41,-82.5,2018,192,20.67,1.517196217,,
41.5,-83.75,2018,192,22.5,1.65151983,,
41.5,-83.125,2018,192,22.57,1.656657892,,
41.5,-82.5,2018,192,22.59,1.658125909,,
42,-83.75,2018,192,22.81,1.674274103,,
42,-83.125,2018,192,22.91,1.681614191,,
42,-82.5,2018,192,22.32,1.638307671,,
42.5,-83.75,2018,192,21.23,1.558300711,,
42.5,-83.125,2018,192,20.9,1.53407842,,
