-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD2M     MERRA-2 Wind Direction at 2 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD2M
42,-79.375,2018,179,268.8
42,-78.75,2018,179,266.1
42,-78.125,2018,179,180
42.5,-79.375,2018,179,252.7
42.5,-78.75,2018,179,267.2
42.5,-78.125,2018,179,294.8
43,-79.375,2018,179,271.6
43,-78.75,2018,179,272.4
43,-78.125,2018,179,260.1
43.5,-79.375,2018,179,298.3
43.5,-78.75,2018,179,281.6
43.5,-78.125,2018,179,263.7
42,-79.375,2018,180,230.9
42,-78.75,2018,180,219.4
42,-78.125,2018,180,209.8
42.5,-79.375,2018,180,229.5
42.5,-78.75,2018,180,229.1
42.5,-78.125,2018,180,212.5
43,-79.375,2018,180,237.3
43,-78.75,2018,180,241.2
43,-78.125,2018,180,241.4
43.5,-79.375,2018,180,239.3
43.5,-78.75,2018,180,247.4
43.5,-78.125,2018,180,251.4
42,-79.375,2018,181,203.5
42,-78.75,2018,181,209.9
42,-78.125,2018,181,180
42.5,-79.375,2018,181,209.4
42.5,-78.75,2018,181,212.5
42.5,-78.125,2018,181,205.5
43,-79.375,2018,181,222.2
43,-78.75,2018,181,220.1
43,-78.125,2018,181,222
43.5,-79.375,2018,181,229.4
43.5,-78.75,2018,181,228.1
43.5,-78.125,2018,181,232.3
42,-79.375,2018,182,192.2
42,-78.75,2018,182,209.9
42,-78.125,2018,182,267.5
42.5,-79.375,2018,182,196.3
42.5,-78.75,2018,182,199.1
42.5,-78.125,2018,182,195.7
43,-79.375,2018,182,208.6
43,-78.75,2018,182,208.1
43,-78.125,2018,182,216.6
43.5,-79.375,2018,182,216.7
43.5,-78.75,2018,182,221.3
43.5,-78.125,2018,182,237.5
42,-79.375,2018,183,198.8
42,-78.75,2018,183,200
42,-78.125,2018,183,247.6
42.5,-79.375,2018,183,205.6
42.5,-78.75,2018,183,206.5
42.5,-78.125,2018,183,204
43,-79.375,2018,183,222
43,-78.75,2018,183,217.7
