-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,WS10M,MC Avg (μg/L),,2018 MC Avg
41,-81.875,2018,179,3.26,0.5650018866,,3.854164439
41,-81.25,2018,179,2.38,0.1932436827,,
41,-80.625,2018,179,1.77,0.07039903727,,
41,-80,2018,179,1.76,0.06905197093,,
41.5,-81.875,2018,179,3.76,0.9191119929,,
41.5,-81.25,2018,179,2.35,0.1850628696,,
41.5,-80.625,2018,179,1.77,0.07039903727,,
41.5,-80,2018,179,1.68,0.05892268552,,
42,-81.875,2018,179,4.41,1.583118674,,
42,-81.25,2018,179,4.63,1.868998966,,
42,-80.625,2018,179,3.21,0.5359941408,,
42,-80,2018,179,2.46,0.2163050192,,
42.5,-81.875,2018,179,4.05,1.184130346,,
42.5,-81.25,2018,179,4.75,2.039403173,,
42.5,-80.625,2018,179,4.95,2.347370326,,
42.5,-80,2018,179,4.15,1.286832117,,
41,-81.875,2018,180,2.44,0.2103667946,,
41,-81.25,2018,180,1.61,0.05096289834,,
41,-80.625,2018,180,1.1,0.01390358954,,
41,-80,2018,180,0.89,0.006751461639,,
41.5,-81.875,2018,180,3.11,0.4811614316,,
41.5,-81.25,2018,180,1.75,0.06772322447,,
41.5,-80.625,2018,180,1.18,0.01766426318,,
41.5,-80,2018,180,1.07,0.01265250634,,
42,-81.875,2018,180,3.06,0.4552898265,,
42,-81.25,2018,180,2.7,0.2971175584,,
42,-80.625,2018,180,1.87,0.08490978868,,
42,-80,2018,180,1.58,0.04779676993,,
42.5,-81.875,2018,180,3.1,0.4759060849,,
42.5,-81.25,2018,180,2.84,0.3530152129,,
42.5,-80.625,2018,180,2.96,0.4065206548,,
42.5,-80,2018,180,2.8,0.3363463883,,
