-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,WS10M,Scale Factor,,2018 MC Avg
42,-79.375,2018,179,1.9,0.1243900637,,3.501163102
42,-78.75,2018,179,1.83,0.1094445467,,
42,-78.125,2018,179,1.81,0.1054192328,,
42.5,-79.375,2018,179,3.14,0.6898680167,,
42.5,-78.75,2018,179,2.1,0.1749861621,,
42.5,-78.125,2018,179,1.88,0.1199814695,,
43,-79.375,2018,179,3.36,0.8690661746,,
43,-78.75,2018,179,2.67,0.3968618131,,
43,-78.125,2018,179,2.04,0.1585166121,,
43.5,-79.375,2018,179,3.2,0.7358636275,,
43.5,-78.75,2018,179,3.42,0.9231343949,,
43.5,-78.125,2018,179,3.9,1.444661905,,
42,-79.375,2018,180,1.26,0.03065486937,,
42,-78.75,2018,180,1.27,0.03149246094,,
42,-78.125,2018,180,1.36,0.03977439556,,
42.5,-79.375,2018,180,2.1,0.1749861621,,
42.5,-78.75,2018,180,1.55,0.06212508582,,
42.5,-78.125,2018,180,1.61,0.0707150981,,
43,-79.375,2018,180,3.12,0.6749989178,,
43,-78.75,2018,180,2.35,0.2567895352,,
43,-78.125,2018,180,1.81,0.1054192328,,
43.5,-79.375,2018,180,3.74,1.252356789,,
43.5,-78.75,2018,180,3.91,1.457332512,,
43.5,-78.125,2018,180,4.24,1.921115526,,
42,-79.375,2018,181,1.81,0.1054192328,,
42,-78.75,2018,181,1.64,0.07531013616,,
42,-78.125,2018,181,1.66,0.07848822201,,
42.5,-79.375,2018,181,3.38,0.8868330277,,
42.5,-78.75,2018,181,2.33,0.249413296,,
42.5,-78.125,2018,181,2.05,0.1611820137,,
43,-79.375,2018,181,5.26,4.006796618,,
43,-78.75,2018,181,3.73,1.240974985,,
43,-78.125,2018,181,2.41,0.2798427282,,
43.5,-79.375,2018,181,5.85,5.757545971,,
43.5,-78.75,2018,181,6.24,7.174891893,,
43.5,-78.125,2018,181,5.68,5.206714153,,
42,-79.375,2018,182,1.68,0.08175993954,,
42,-78.75,2018,182,1.43,0.04719889146,,
42,-78.125,2018,182,1.4,0.04390687344,,
42.5,-79.375,2018,182,2.9,0.5260331137,,
42.5,-78.75,2018,182,1.86,0.1156844672,,
42.5,-78.125,2018,182,1.61,0.0707150981,,
43,-79.375,2018,182,4.04,1.629282399,,
43,-78.75,2018,182,2.81,0.4724158518,,
43,-78.125,2018,182,1.74,0.09215286622,,
43.5,-79.375,2018,182,4.56,2.462101906,,
43.5,-78.75,2018,182,4.28,1.983623128,,
43.5,-78.125,2018,182,3.15,0.6973886892,,
