-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,WS2M,MC Avg (μg/L),,2018 MC Avg
42,-79.375,2018,179,0.21,0.0005230381116,,1.925423351
42,-78.75,2018,179,0.04,0.0000018314291,,
42,-78.125,2018,179,0,0,,
42.5,-79.375,2018,179,1.78,0.765063967,,
42.5,-78.75,2018,179,0.34,0.002704634897,,
42.5,-78.125,2018,179,0.01,0.00000001620934777,,
43,-79.375,2018,179,2.28,1.77960398,,
43,-78.75,2018,179,1.08,0.139232476,,
43,-78.125,2018,179,0.04,0.0000018314291,,
43.5,-79.375,2018,179,2.13,1.411042153,,
43.5,-78.75,2018,179,2.31,1.860725852,,
43.5,-78.125,2018,179,2.75,3.372019102,,
42,-79.375,2018,180,0.27,0.001232298659,,
42,-78.75,2018,180,0.16,0.0002069258182,,
42,-78.125,2018,180,0.12,0.00007758425411,,
42.5,-79.375,2018,180,1.18,0.1883142501,,
42.5,-78.75,2018,180,0.35,0.0029856409,,
42.5,-78.125,2018,180,0.08,0.00001946715092,,
43,-79.375,2018,180,2.08,1.301252307,,
43,-78.75,2018,180,0.97,0.09652885484,,
43,-78.125,2018,180,0.05,0.000003919703845,,
43.5,-79.375,2018,180,2.57,2.676932934,,
43.5,-78.75,2018,180,2.71,3.207678418,,
43.5,-78.125,2018,180,3.01,4.588569247,,
42,-79.375,2018,181,0.17,0.0002544464301,,
42,-78.75,2018,181,0.02,0.0000001722970435,,
42,-78.125,2018,181,0,0,,
42.5,-79.375,2018,181,1.67,0.6155009205,,
42.5,-78.75,2018,181,0.39,0.004318131365,,
42.5,-78.125,2018,181,0.01,0.00000001620934777,,
43,-79.375,2018,181,3.53,7.900913108,,
43,-78.75,2018,181,1.57,0.4986356841,,
43,-78.125,2018,181,0.03,0.000000686671494,,
43.5,-79.375,2018,181,4.12,13.38335651,,
43.5,-78.75,2018,181,4.68,20.66825919,,
43.5,-78.125,2018,181,4.13,13.49445086,,
42,-79.375,2018,182,0.17,0.0002544464301,,
42,-78.75,2018,182,0.04,0.0000018314291,,
