-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,PRECTOTCORR
41,-81.875,2025,179,3.41
41,-81.25,2025,179,4.58
41,-80.625,2025,179,5.86
41,-80,2025,179,7.31
41.5,-81.875,2025,179,3.46
41.5,-81.25,2025,179,4.85
41.5,-80.625,2025,179,5.46
41.5,-80,2025,179,6.36
42,-81.875,2025,179,2.99
42,-81.25,2025,179,3.9
42,-80.625,2025,179,4.97
42,-80,2025,179,4.43
42.5,-81.875,2025,179,1.78
42.5,-81.25,2025,179,2.81
42.5,-80.625,2025,179,2.46
42.5,-80,2025,179,3.87
41,-81.875,2025,180,0.12
41,-81.25,2025,180,0.1
41,-80.625,2025,180,0.13
41,-80,2025,180,0.3
41.5,-81.875,2025,180,0.12
41.5,-81.25,2025,180,0.03
41.5,-80.625,2025,180,0.09
41.5,-80,2025,180,0.05
42,-81.875,2025,180,0.21
42,-81.25,2025,180,0.06
42,-80.625,2025,180,0.41
42,-80,2025,180,0
42.5,-81.875,2025,180,0.28
42.5,-81.25,2025,180,0.16
42.5,-80.625,2025,180,0.05
42.5,-80,2025,180,0
41,-81.875,2025,181,8.18
41,-81.25,2025,181,8.27
41,-80.625,2025,181,7.12
41,-80,2025,181,6.85
41.5,-81.875,2025,181,5.68
41.5,-81.25,2025,181,5.15
41.5,-80.625,2025,181,4.57
41.5,-80,2025,181,7.33
42,-81.875,2025,181,1
42,-81.25,2025,181,6.55
42,-80.625,2025,181,3.04
42,-80,2025,181,8
42.5,-81.875,2025,181,0.38
42.5,-81.25,2025,181,1.74
42.5,-80.625,2025,181,2.71
42.5,-80,2025,181,2.93
41,-81.875,2025,182,3.97
41,-81.25,2025,182,4.55
41,-80.625,2025,182,4.42
41,-80,2025,182,6.31
41.5,-81.875,2025,182,2.29
41.5,-81.25,2025,182,1.46
41.5,-80.625,2025,182,1.54
41.5,-80,2025,182,2.45
42,-81.875,2025,182,1.91
42,-81.25,2025,182,0.75
42,-80.625,2025,182,1.54
42,-80,2025,182,2.02
42.5,-81.875,2025,182,1.14
42.5,-81.25,2025,182,3.15
42.5,-80.625,2025,182,2.18
42.5,-80,2025,182,5.67
41,-81.875,2025,183,0.04
41,-81.25,2025,183,0.02
41,-80.625,2025,183,0.02
41,-80,2025,183,0.08
41.5,-81.875,2025,183,0.04
41.5,-81.25,2025,183,0.03
41.5,-80.625,2025,183,0.01
41.5,-80,2025,183,0.07
42,-81.875,2025,183,0.13
42,-81.25,2025,183,0.24
42,-80.625,2025,183,0.07
