-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,PRECTOTCORR
41,-83.75,2025,179,1.63
41,-83.125,2025,179,2.2
41,-82.5,2025,179,2.72
41.5,-83.75,2025,179,0.2
41.5,-83.125,2025,179,0.58
41.5,-82.5,2025,179,1.71
42,-83.75,2025,179,0.05
42,-83.125,2025,179,0.16
42,-82.5,2025,179,1.01
42.5,-83.75,2025,179,0.06
42.5,-83.125,2025,179,0.09
42.5,-82.5,2025,179,0.51
41,-83.75,2025,180,0.74
41,-83.125,2025,180,0.37
41,-82.5,2025,180,0.3
41.5,-83.75,2025,180,0.16
41.5,-83.125,2025,180,0.06
41.5,-82.5,2025,180,0.05
42,-83.75,2025,180,0.04
42,-83.125,2025,180,0.04
42,-82.5,2025,180,0.09
42.5,-83.75,2025,180,0.03
42.5,-83.125,2025,180,0.15
42.5,-82.5,2025,180,0.4
41,-83.75,2025,181,8.29
41,-83.125,2025,181,9.46
41,-82.5,2025,181,9.44
41.5,-83.75,2025,181,5.15
41.5,-83.125,2025,181,5.9
41.5,-82.5,2025,181,6.93
42,-83.75,2025,181,4.35
42,-83.125,2025,181,3.15
42,-82.5,2025,181,2.39
42.5,-83.75,2025,181,3.7
42.5,-83.125,2025,181,4.52
42.5,-82.5,2025,181,1.66
41,-83.75,2025,182,1.32
41,-83.125,2025,182,1.9
41,-82.5,2025,182,3.57
41.5,-83.75,2025,182,0.33
41.5,-83.125,2025,182,1.11
41.5,-82.5,2025,182,2.61
42,-83.75,2025,182,0.31
42,-83.125,2025,182,0.9
42,-82.5,2025,182,2.23
42.5,-83.75,2025,182,0.11
42.5,-83.125,2025,182,0.77
42.5,-82.5,2025,182,1.78
41,-83.75,2025,183,0.01
41,-83.125,2025,183,0.06
41,-82.5,2025,183,0.08
41.5,-83.75,2025,183,0
41.5,-83.125,2025,183,0.07
41.5,-82.5,2025,183,0.14
42,-83.75,2025,183,0.04
42,-83.125,2025,183,0.32
42,-82.5,2025,183,0.36
42.5,-83.75,2025,183,0.51
42.5,-83.125,2025,183,1.26
42.5,-82.5,2025,183,0.56
41,-83.75,2025,184,0.14
41,-83.125,2025,184,0.13
41,-82.5,2025,184,0.11
41.5,-83.75,2025,184,0.48
41.5,-83.125,2025,184,0.26
41.5,-82.5,2025,184,0.19
42,-83.75,2025,184,0.95
42,-83.125,2025,184,0.35
42,-82.5,2025,184,0.77
42.5,-83.75,2025,184,0.91
42.5,-83.125,2025,184,0.55
42.5,-82.5,2025,184,1.85
41,-83.75,2025,185,0.01
41,-83.125,2025,185,0.04
41,-82.5,2025,185,0.04
41.5,-83.75,2025,185,0.07
41.5,-83.125,2025,185,0.26
41.5,-82.5,2025,185,0.17
42,-83.75,2025,185,0.45
42,-83.125,2025,185,1.03
42,-82.5,2025,185,0.34
42.5,-83.75,2025,185,0.68
42.5,-83.125,2025,185,0.97
42.5,-82.5,2025,185,0.28
41,-83.75,2025,186,0
41,-83.125,2025,186,0
41,-82.5,2025,186,0.02
41.5,-83.75,2025,186,0
41.5,-83.125,2025,186,0.07
41.5,-82.5,2025,186,0.12
42,-83.75,2025,186,0.03
42,-83.125,2025,186,0.21
42,-82.5,2025,186,0.23
42.5,-83.75,2025,186,0.05
42.5,-83.125,2025,186,0.25
42.5,-82.5,2025,186,0.21
41,-83.75,2025,187,0.6
41,-83.125,2025,187,0.11
41,-82.5,2025,187,0.02
41.5,-83.75,2025,187,0.89
41.5,-83.125,2025,187,0.44
41.5,-82.5,2025,187,0.19
42,-83.75,2025,187,2.89
42,-83.125,2025,187,1.91
42,-82.5,2025,187,0.67
42.5,-83.75,2025,187,2.78
42.5,-83.125,2025,187,3.34
42.5,-82.5,2025,187,0.95
41,-83.75,2025,188,3.33
41,-83.125,2025,188,6.61
41,-82.5,2025,188,6.59
41.5,-83.75,2025,188,4.93
41.5,-83.125,2025,188,6.74
41.5,-82.5,2025,188,5.78
42,-83.75,2025,188,2.69
42,-83.125,2025,188,4.05
42,-82.5,2025,188,4.57
42.5,-83.75,2025,188,4.17
42.5,-83.125,2025,188,4.41
42.5,-82.5,2025,188,6.73
41,-83.75,2025,189,0.07
41,-83.125,2025,189,0.18
41,-82.5,2025,189,0.32
