-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,QV2M
42,-79.375,2025,179,15.26
42,-78.75,2025,179,15.03
42,-78.125,2025,179,14.89
42.5,-79.375,2025,179,14.34
42.5,-78.75,2025,179,14.35
42.5,-78.125,2025,179,14.24
43,-79.375,2025,179,13.14
43,-78.75,2025,179,13.5
43,-78.125,2025,179,13.59
43.5,-79.375,2025,179,11.99
43.5,-78.75,2025,179,12.26
43.5,-78.125,2025,179,12.43
42,-79.375,2025,180,11.14
42,-78.75,2025,180,11.34
42,-78.125,2025,180,11.14
42.5,-79.375,2025,180,10.68
42.5,-78.75,2025,180,10.15
42.5,-78.125,2025,180,9.91
43,-79.375,2025,180,9.57
43,-78.75,2025,180,9.23
43,-78.125,2025,180,9.22
43.5,-79.375,2025,180,9.27
43.5,-78.75,2025,180,9.85
43.5,-78.125,2025,180,10.02
42,-79.375,2025,181,15.55
42,-78.75,2025,181,14.95
42,-78.125,2025,181,14.43
42.5,-79.375,2025,181,15.06
42.5,-78.75,2025,181,14.71
42.5,-78.125,2025,181,14.23
43,-79.375,2025,181,14.37
43,-78.75,2025,181,14.26
43,-78.125,2025,181,13.91
43.5,-79.375,2025,181,13.02
43.5,-78.75,2025,181,12.82
43.5,-78.125,2025,181,12.24
42,-79.375,2025,182,15.41
42,-78.75,2025,182,15.48
42,-78.125,2025,182,15.57
42.5,-79.375,2025,182,15.28
42.5,-78.75,2025,182,15.22
42.5,-78.125,2025,182,15.33
43,-79.375,2025,182,14.05
43,-78.75,2025,182,14.64
43,-78.125,2025,182,15.19
