-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
T2M     MERRA-2 Temperature at 2 Meters (C),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,T2M
41,-83.75,2025,179,26.23
41,-83.125,2025,179,26.24
41,-82.5,2025,179,25.76
41.5,-83.75,2025,179,25.91
41.5,-83.125,2025,179,26.38
41.5,-82.5,2025,179,25.74
42,-83.75,2025,179,24.66
42,-83.125,2025,179,25.21
42,-82.5,2025,179,25
42.5,-83.75,2025,179,22.91
42.5,-83.125,2025,179,23.41
42.5,-82.5,2025,179,23.89
41,-83.75,2025,180,25.04
41,-83.125,2025,180,25.02
41,-82.5,2025,180,24.52
41.5,-83.75,2025,180,25.77
41.5,-83.125,2025,180,25.91
41.5,-82.5,2025,180,24.78
42,-83.75,2025,180,25.33
42,-83.125,2025,180,25.07
42,-82.5,2025,180,23.84
42.5,-83.75,2025,180,24.21
42.5,-83.125,2025,180,23.76
42.5,-82.5,2025,180,23.25
41,-83.75,2025,181,24.84
41,-83.125,2025,181,24.56
41,-82.5,2025,181,24.37
41.5,-83.75,2025,181,25.22
41.5,-83.125,2025,181,25.21
41.5,-82.5,2025,181,24.97
42,-83.75,2025,181,25.11
42,-83.125,2025,181,25.44
42,-82.5,2025,181,24.86
42.5,-83.75,2025,181,24.18
42.5,-83.125,2025,181,24.39
42.5,-82.5,2025,181,24.35
41,-83.75,2025,182,24.47
41,-83.125,2025,182,24.44
41,-82.5,2025,182,24.17
41.5,-83.75,2025,182,25.11
41.5,-83.125,2025,182,25.59
41.5,-82.5,2025,182,25.39
42,-83.75,2025,182,24.64
42,-83.125,2025,182,25.43
42,-82.5,2025,182,25.24
42.5,-83.75,2025,182,23.48
42.5,-83.125,2025,182,24.02
42.5,-82.5,2025,182,24.55
41,-83.75,2025,183,23.79
41,-83.125,2025,183,24.24
41,-82.5,2025,183,24.2
41.5,-83.75,2025,183,24.73
41.5,-83.125,2025,183,25.38
41.5,-82.5,2025,183,25.11
42,-83.75,2025,183,24.23
42,-83.125,2025,183,25.11
42,-82.5,2025,183,24.69
42.5,-83.75,2025,183,23.22
42.5,-83.125,2025,183,23.64
42.5,-82.5,2025,183,24.01
41,-83.75,2025,184,25.11
41,-83.125,2025,184,24.82
41,-82.5,2025,184,24.11
41.5,-83.75,2025,184,25.61
41.5,-83.125,2025,184,25.55
41.5,-82.5,2025,184,25.07
42,-83.75,2025,184,24.64
42,-83.125,2025,184,25.07
42,-82.5,2025,184,24.48
42.5,-83.75,2025,184,23.2
42.5,-83.125,2025,184,22.99
42.5,-82.5,2025,184,22.96
41,-83.75,2025,185,26.62
41,-83.125,2025,185,26.26
41,-82.5,2025,185,25.52
41.5,-83.75,2025,185,27.27
41.5,-83.125,2025,185,27.22
41.5,-82.5,2025,185,25.76
42,-83.75,2025,185,26.7
42,-83.125,2025,185,26.62
42,-82.5,2025,185,24.97
42.5,-83.75,2025,185,25.18
42.5,-83.125,2025,185,25.04
42.5,-82.5,2025,185,24.23
41,-83.75,2025,186,27.13
41,-83.125,2025,186,26.87
41,-82.5,2025,186,25.99
41.5,-83.75,2025,186,28.17
41.5,-83.125,2025,186,27.81
41.5,-82.5,2025,186,26.95
42,-83.75,2025,186,27.69
42,-83.125,2025,186,27.83
42,-82.5,2025,186,26.96
42.5,-83.75,2025,186,26.74
42.5,-83.125,2025,186,26.89
42.5,-82.5,2025,186,26.72
41,-83.75,2025,187,27.79
41,-83.125,2025,187,27.72
41,-82.5,2025,187,26.95
41.5,-83.75,2025,187,28.65
41.5,-83.125,2025,187,28.58
41.5,-82.5,2025,187,27.63
