-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD2M     MERRA-2 Wind Direction at 2 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD2M
41,-83.75,2025,179,274
41,-83.125,2025,179,261.3
41,-82.5,2025,179,250.2
41.5,-83.75,2025,179,295.3
41.5,-83.125,2025,179,293.1
41.5,-82.5,2025,179,282
42,-83.75,2025,179,304.9
42,-83.125,2025,179,304.5
42,-82.5,2025,179,292.7
42.5,-83.75,2025,179,303.5
42.5,-83.125,2025,179,302.3
42.5,-82.5,2025,179,298.8
41,-83.75,2025,180,160.5
41,-83.125,2025,180,165.8
41,-82.5,2025,180,161.6
41.5,-83.75,2025,180,157.2
41.5,-83.125,2025,180,143.6
41.5,-82.5,2025,180,124.5
42,-83.75,2025,180,155.8
42,-83.125,2025,180,138.6
42,-82.5,2025,180,123.6
42.5,-83.75,2025,180,171
42.5,-83.125,2025,180,159.5
42.5,-82.5,2025,180,151
41,-83.75,2025,181,226.7
41,-83.125,2025,181,213.7
41,-82.5,2025,181,209.9
41.5,-83.75,2025,181,240.7
41.5,-83.125,2025,181,220.3
41.5,-82.5,2025,181,209.9
42,-83.75,2025,181,244.6
42,-83.125,2025,181,221.9
42,-82.5,2025,181,204.4
42.5,-83.75,2025,181,239
42.5,-83.125,2025,181,223.4
42.5,-82.5,2025,181,201.8
41,-83.75,2025,182,310.6
41,-83.125,2025,182,293.6
41,-82.5,2025,182,279.7
41.5,-83.75,2025,182,305.5
41.5,-83.125,2025,182,300.2
41.5,-82.5,2025,182,287.7
42,-83.75,2025,182,305.7
42,-83.125,2025,182,303.3
42,-82.5,2025,182,292.8
42.5,-83.75,2025,182,302.2
42.5,-83.125,2025,182,300.9
42.5,-82.5,2025,182,297.2
41,-83.75,2025,183,304
41,-83.125,2025,183,309.2
41,-82.5,2025,183,322.7
41.5,-83.75,2025,183,295.7
41.5,-83.125,2025,183,306.6
41.5,-82.5,2025,183,318
42,-83.75,2025,183,288.1
42,-83.125,2025,183,297.3
42,-82.5,2025,183,300.9
42.5,-83.75,2025,183,280.5
42.5,-83.125,2025,183,283
42.5,-82.5,2025,183,283.2
41,-83.75,2025,184,317.5
41,-83.125,2025,184,318.9
41,-82.5,2025,184,319.8
41.5,-83.75,2025,184,325.1
41.5,-83.125,2025,184,336.3
41.5,-82.5,2025,184,331.7
42,-83.75,2025,184,329.3
42,-83.125,2025,184,341.1
42,-82.5,2025,184,336.9
42.5,-83.75,2025,184,330.8
42.5,-83.125,2025,184,341
42.5,-82.5,2025,184,339
41,-83.75,2025,185,223.3
41,-83.125,2025,185,230.9
41,-82.5,2025,185,172.1
41.5,-83.75,2025,185,234.2
41.5,-83.125,2025,185,193.5
41.5,-82.5,2025,185,129.2
42,-83.75,2025,185,223.4
42,-83.125,2025,185,154.8
42,-82.5,2025,185,131.9
42.5,-83.75,2025,185,213.7
42.5,-83.125,2025,185,171.1
42.5,-82.5,2025,185,147.6
41,-83.75,2025,186,208.4
41,-83.125,2025,186,207.2
41,-82.5,2025,186,209.5
41.5,-83.75,2025,186,218.5
41.5,-83.125,2025,186,216.2
41.5,-82.5,2025,186,212
42,-83.75,2025,186,222.3
42,-83.125,2025,186,219.4
42,-82.5,2025,186,210.1
42.5,-83.75,2025,186,222.3
42.5,-83.125,2025,186,222.1
42.5,-82.5,2025,186,214.2
41,-83.75,2025,187,216.5
41,-83.125,2025,187,210.9
41,-82.5,2025,187,208.6
41.5,-83.75,2025,187,221.7
41.5,-83.125,2025,187,216.3
41.5,-82.5,2025,187,210.9
42,-83.75,2025,187,224.2
42,-83.125,2025,187,220.1
42,-82.5,2025,187,212.3
42.5,-83.75,2025,187,226.3
42.5,-83.125,2025,187,223.4
42.5,-82.5,2025,187,214.5
41,-83.75,2025,188,324.3
41,-83.125,2025,188,319.7
41,-82.5,2025,188,298.2
41.5,-83.75,2025,188,355.9
41.5,-83.125,2025,188,351.7
41.5,-82.5,2025,188,331.9
42,-83.75,2025,188,355.6
42,-83.125,2025,188,355.1
42,-82.5,2025,188,340.6
42.5,-83.75,2025,188,351.7
42.5,-83.125,2025,188,351.2
42.5,-82.5,2025,188,343.9
41,-83.75,2025,189,318.8
41,-83.125,2025,189,337.2
41,-82.5,2025,189,358.6
41.5,-83.75,2025,189,320.7
41.5,-83.125,2025,189,26.7
41.5,-82.5,2025,189,14.5
42,-83.75,2025,189,320.8
42,-83.125,2025,189,69
42,-82.5,2025,189,11.9
42.5,-83.75,2025,189,278.9
42.5,-83.125,2025,189,331.8
42.5,-82.5,2025,189,350.2
41,-83.75,2025,190,222
41,-83.125,2025,190,198.7
41,-82.5,2025,190,170.4
41.5,-83.75,2025,190,200.4
41.5,-83.125,2025,190,158.5
41.5,-82.5,2025,190,146.7
42,-83.75,2025,190,202
42,-83.125,2025,190,160.6
42,-82.5,2025,190,156.9
42.5,-83.75,2025,190,245
42.5,-83.125,2025,190,228.2
42.5,-82.5,2025,190,205.6
41,-83.75,2025,191,297.8
41,-83.125,2025,191,281.5
41,-82.5,2025,191,256.4
41.5,-83.75,2025,191,307.6
41.5,-83.125,2025,191,325.1
41.5,-82.5,2025,191,292.4
42,-83.75,2025,191,302.8
42,-83.125,2025,191,315.7
42,-82.5,2025,191,283.6
42.5,-83.75,2025,191,293
42.5,-83.125,2025,191,288.9
42.5,-82.5,2025,191,281.9
41,-83.75,2025,192,212.6
41,-83.125,2025,192,214.7
41,-82.5,2025,192,217
41.5,-83.75,2025,192,213.8
41.5,-83.125,2025,192,210.8
41.5,-82.5,2025,192,204.9
42,-83.75,2025,192,207.9
42,-83.125,2025,192,194.4
42,-82.5,2025,192,186.5
42.5,-83.75,2025,192,199.5
42.5,-83.125,2025,192,192.3
42.5,-82.5,2025,192,182.8
41,-83.75,2025,193,200.9
41,-83.125,2025,193,197.9
41,-82.5,2025,193,198.1
41.5,-83.75,2025,193,206.9
41.5,-83.125,2025,193,201.5
41.5,-82.5,2025,193,198
42,-83.75,2025,193,211.9
42,-83.125,2025,193,204.2
42,-82.5,2025,193,198.7
42.5,-83.75,2025,193,212.6
42.5,-83.125,2025,193,207.5
42.5,-82.5,2025,193,200
41,-83.75,2025,194,268.8
41,-83.125,2025,194,256.5
41,-82.5,2025,194,240.6
41.5,-83.75,2025,194,273.6
41.5,-83.125,2025,194,277.6
41.5,-82.5,2025,194,257.3
42,-83.75,2025,194,279.6
42,-83.125,2025,194,287.7
42,-82.5,2025,194,267.5
42.5,-83.75,2025,194,291.9
42.5,-83.125,2025,194,295.9
42.5,-82.5,2025,194,292.3
41,-83.75,2025,195,323.1
41,-83.125,2025,195,319
41,-82.5,2025,195,329.8
41.5,-83.75,2025,195,328.6
41.5,-83.125,2025,195,331.6
41.5,-82.5,2025,195,316.7
42,-83.75,2025,195,328.3
42,-83.125,2025,195,335.1
42,-82.5,2025,195,316.9
42.5,-83.75,2025,195,318.2
42.5,-83.125,2025,195,326.4
42.5,-82.5,2025,195,332.3
41,-83.75,2025,196,152.2
41,-83.125,2025,196,156.3
41,-82.5,2025,196,122.5
41.5,-83.75,2025,196,146.4
41.5,-83.125,2025,196,109
41.5,-82.5,2025,196,77.7
42,-83.75,2025,196,139.1
42,-83.125,2025,196,111.9
42,-82.5,2025,196,92.3
42.5,-83.75,2025,196,183.2
42.5,-83.125,2025,196,173.4
42.5,-82.5,2025,196,164.5
41,-83.75,2025,197,210.9
41,-83.125,2025,197,208.1
41,-82.5,2025,197,203.2
41.5,-83.75,2025,197,209.7
41.5,-83.125,2025,197,206
41.5,-82.5,2025,197,197.7
42,-83.75,2025,197,203.8
42,-83.125,2025,197,199.1
42,-82.5,2025,197,189.8
42.5,-83.75,2025,197,195.5
42.5,-83.125,2025,197,191.2
42.5,-82.5,2025,197,183.7
41,-83.75,2025,198,287.8
41,-83.125,2025,198,281.1
41,-82.5,2025,198,274.2
41.5,-83.75,2025,198,289.5
41.5,-83.125,2025,198,286.9
41.5,-82.5,2025,198,280.5
42,-83.75,2025,198,294.6
42,-83.125,2025,198,293.6
42,-82.5,2025,198,285.1
42.5,-83.75,2025,198,296.3
42.5,-83.125,2025,198,297.6
42.5,-82.5,2025,198,295.1
41,-83.75,2025,199,62
41,-83.125,2025,199,51.9
41,-82.5,2025,199,40.2
41.5,-83.75,2025,199,72.2
41.5,-83.125,2025,199,64.7
41.5,-82.5,2025,199,52.1
42,-83.75,2025,199,86.8
42,-83.125,2025,199,80.9
42,-82.5,2025,199,68.6
42.5,-83.75,2025,199,101.5
42.5,-83.125,2025,199,96.1
42.5,-82.5,2025,199,90.5
41,-83.75,2025,200,194.3
41,-83.125,2025,200,192.5
41,-82.5,2025,200,196.1
41.5,-83.75,2025,200,195.6
41.5,-83.125,2025,200,198.8
41.5,-82.5,2025,200,204.6
42,-83.75,2025,200,200.7
42,-83.125,2025,200,201
42,-82.5,2025,200,195.6
42.5,-83.75,2025,200,204.7
42.5,-83.125,2025,200,203.6
42.5,-82.5,2025,200,192.8
41,-83.75,2025,201,301.1
41,-83.125,2025,201,305.7
41,-82.5,2025,201,309.3
41.5,-83.75,2025,201,330.5
41.5,-83.125,2025,201,337
41.5,-82.5,2025,201,331.9
42,-83.75,2025,201,347.1
42,-83.125,2025,201,350.7
42,-82.5,2025,201,340.8
42.5,-83.75,2025,201,354
42.5,-83.125,2025,201,353.2
42.5,-82.5,2025,201,345.5
41,-83.75,2025,202,65
41,-83.125,2025,202,46.6
41,-82.5,2025,202,27.8
41.5,-83.75,2025,202,61.5
41.5,-83.125,2025,202,45.3
41.5,-82.5,2025,202,29.3
42,-83.75,2025,202,52.3
42,-83.125,2025,202,41.9
42,-82.5,2025,202,24.6
42.5,-83.75,2025,202,45
42.5,-83.125,2025,202,32.4
42.5,-82.5,2025,202,15.4
41,-83.75,2025,203,73.2
41,-83.125,2025,203,64.6
41,-82.5,2025,203,53.8
41.5,-83.75,2025,203,72.2
41.5,-83.125,2025,203,70.7
41.5,-82.5,2025,203,64.4
42,-83.75,2025,203,86.4
42,-83.125,2025,203,87.3
42,-82.5,2025,203,83.1
42.5,-83.75,2025,203,87.5
42.5,-83.125,2025,203,88.7
42.5,-82.5,2025,203,99.4
41,-83.75,2025,204,165.8
41,-83.125,2025,204,171.4
41,-82.5,2025,204,167.7
41.5,-83.75,2025,204,171.7
41.5,-83.125,2025,204,154.1
41.5,-82.5,2025,204,134.7
42,-83.75,2025,204,171.4
42,-83.125,2025,204,152.3
42,-82.5,2025,204,135.5
42.5,-83.75,2025,204,178.3
42.5,-83.125,2025,204,166
42.5,-82.5,2025,204,157.2
41,-83.75,2025,205,215.3
41,-83.125,2025,205,213.6
41,-82.5,2025,205,217.7
41.5,-83.75,2025,205,222.6
41.5,-83.125,2025,205,219
41.5,-82.5,2025,205,216.1
42,-83.75,2025,205,229.1
42,-83.125,2025,205,224.2
42,-82.5,2025,205,216.9
42.5,-83.75,2025,205,234.2
42.5,-83.125,2025,205,232.3
42.5,-82.5,2025,205,224
41,-83.75,2025,206,255
41,-83.125,2025,206,265.7
41,-82.5,2025,206,270.2
41.5,-83.75,2025,206,271.9
41.5,-83.125,2025,206,278.1
41.5,-82.5,2025,206,274.8
42,-83.75,2025,206,312.1
42,-83.125,2025,206,321
42,-82.5,2025,206,308.8
42.5,-83.75,2025,206,12.2
42.5,-83.125,2025,206,11.5
42.5,-82.5,2025,206,354.4
41,-83.75,2025,207,221.7
41,-83.125,2025,207,228.8
41,-82.5,2025,207,234.3
41.5,-83.75,2025,207,227.6
41.5,-83.125,2025,207,236.1
41.5,-82.5,2025,207,232.5
42,-83.75,2025,207,213.1
42,-83.125,2025,207,195.1
42,-82.5,2025,207,188.6
42.5,-83.75,2025,207,202.4
42.5,-83.125,2025,207,208.6
42.5,-82.5,2025,207,208.1
41,-83.75,2025,208,263.9
41,-83.125,2025,208,267.4
41,-82.5,2025,208,271.4
41.5,-83.75,2025,208,286.6
41.5,-83.125,2025,208,285.5
41.5,-82.5,2025,208,279.7
42,-83.75,2025,208,317.1
42,-83.125,2025,208,300.4
42,-82.5,2025,208,288.9
42.5,-83.75,2025,208,319.9
42.5,-83.125,2025,208,322.9
42.5,-82.5,2025,208,309.5
41,-83.75,2025,209,246
41,-83.125,2025,209,240.4
41,-82.5,2025,209,227
41.5,-83.75,2025,209,249.6
41.5,-83.125,2025,209,222.3
41.5,-82.5,2025,209,197.9
42,-83.75,2025,209,227.7
42,-83.125,2025,209,192.9
42,-82.5,2025,209,192.3
42.5,-83.75,2025,209,230.5
42.5,-83.125,2025,209,207.8
42.5,-82.5,2025,209,203.6
41,-83.75,2025,210,2.3
41,-83.125,2025,210,24
41,-82.5,2025,210,22.7
41.5,-83.75,2025,210,356.8
41.5,-83.125,2025,210,28.9
41.5,-82.5,2025,210,18.3
42,-83.75,2025,210,1.8
42,-83.125,2025,210,21.7
42,-82.5,2025,210,357.9
42.5,-83.75,2025,210,347.3
42.5,-83.125,2025,210,356
42.5,-82.5,2025,210,344.4
41,-83.75,2025,211,17.8
41,-83.125,2025,211,31.7
41,-82.5,2025,211,30.3
41.5,-83.75,2025,211,18.8
41.5,-83.125,2025,211,27.3
41.5,-82.5,2025,211,24.4
42,-83.75,2025,211,16.3
42,-83.125,2025,211,20
42,-82.5,2025,211,13.7
42.5,-83.75,2025,211,14.9
42.5,-83.125,2025,211,14.3
42.5,-82.5,2025,211,10.3
41,-83.75,2025,212,34.5
41,-83.125,2025,212,35.9
41,-82.5,2025,212,36.2
41.5,-83.75,2025,212,38.9
41.5,-83.125,2025,212,41.2
41.5,-82.5,2025,212,43.5
42,-83.75,2025,212,41.2
42,-83.125,2025,212,42.5
42,-82.5,2025,212,46.6
42.5,-83.75,2025,212,42.3
42.5,-83.125,2025,212,40.2
42.5,-82.5,2025,212,44
41,-83.75,2025,213,38.8
41,-83.125,2025,213,39.8
41,-82.5,2025,213,36.4
41.5,-83.75,2025,213,38
41.5,-83.125,2025,213,39.3
41.5,-82.5,2025,213,39.2
42,-83.75,2025,213,35.3
42,-83.125,2025,213,35.6
42,-82.5,2025,213,34.7
42.5,-83.75,2025,213,32.1
42.5,-83.125,2025,213,28.8
42.5,-82.5,2025,213,23.6
41,-83.75,2025,214,57.1
41,-83.125,2025,214,55.2
41,-82.5,2025,214,48.6
41.5,-83.75,2025,214,55.5
41.5,-83.125,2025,214,56.5
41.5,-82.5,2025,214,52.9
42,-83.75,2025,214,55.9
42,-83.125,2025,214,55.5
42,-82.5,2025,214,54
42.5,-83.75,2025,214,47.9
42.5,-83.125,2025,214,42.5
42.5,-82.5,2025,214,37.6
41,-83.75,2025,215,76.4
41,-83.125,2025,215,73
41,-82.5,2025,215,70.9
41.5,-83.75,2025,215,79.6
41.5,-83.125,2025,215,78.2
41.5,-82.5,2025,215,72.2
42,-83.75,2025,215,91.9
42,-83.125,2025,215,89
42,-82.5,2025,215,83.9
42.5,-83.75,2025,215,96
42.5,-83.125,2025,215,84.3
42.5,-82.5,2025,215,75.7
41,-83.75,2025,216,90.9
41,-83.125,2025,216,89.8
41,-82.5,2025,216,91.7
41.5,-83.75,2025,216,83.3
41.5,-83.125,2025,216,80.6
41.5,-82.5,2025,216,76.5
42,-83.75,2025,216,84.8
42,-83.125,2025,216,79.3
42,-82.5,2025,216,74.7
42.5,-83.75,2025,216,84.7
42.5,-83.125,2025,216,75
42.5,-82.5,2025,216,73.6
41,-83.75,2025,217,74.1
41,-83.125,2025,217,80.4
41,-82.5,2025,217,99.8
41.5,-83.75,2025,217,71.1
41.5,-83.125,2025,217,72.8
41.5,-82.5,2025,217,76.9
42,-83.75,2025,217,76.1
42,-83.125,2025,217,74.9
42,-82.5,2025,217,74.1
42.5,-83.75,2025,217,70.2
42.5,-83.125,2025,217,70.2
42.5,-82.5,2025,217,77.9
41,-83.75,2025,218,129
41,-83.125,2025,218,127.5
41,-82.5,2025,218,131.2
41.5,-83.75,2025,218,103.2
41.5,-83.125,2025,218,122.3
41.5,-82.5,2025,218,130.1
42,-83.75,2025,218,105.4
42,-83.125,2025,218,116.3
42,-82.5,2025,218,123.7
42.5,-83.75,2025,218,123.7
42.5,-83.125,2025,218,128.1
42.5,-82.5,2025,218,131.6
41,-83.75,2025,219,168.7
41,-83.125,2025,219,167.5
41,-82.5,2025,219,155.3
41.5,-83.75,2025,219,157
41.5,-83.125,2025,219,143
41.5,-82.5,2025,219,137.6
42,-83.75,2025,219,148.7
42,-83.125,2025,219,139.8
42,-82.5,2025,219,138
42.5,-83.75,2025,219,161.7
42.5,-83.125,2025,219,153.8
42.5,-82.5,2025,219,150.9
41,-83.75,2025,220,176.7
41,-83.125,2025,220,178.8
41,-82.5,2025,220,173
41.5,-83.75,2025,220,184.5
41.5,-83.125,2025,220,177.6
41.5,-82.5,2025,220,172.7
42,-83.75,2025,220,181.9
42,-83.125,2025,220,172.4
42,-82.5,2025,220,168.1
42.5,-83.75,2025,220,184.2
42.5,-83.125,2025,220,175.5
42.5,-82.5,2025,220,173
41,-83.75,2025,221,183.8
41,-83.125,2025,221,183.9
41,-82.5,2025,221,182.7
41.5,-83.75,2025,221,190.8
41.5,-83.125,2025,221,183.3
41.5,-82.5,2025,221,180.6
42,-83.75,2025,221,190.2
42,-83.125,2025,221,179.6
42,-82.5,2025,221,176.2
42.5,-83.75,2025,221,190.8
42.5,-83.125,2025,221,182.6
42.5,-82.5,2025,221,180.6
41,-83.75,2025,222,192.6
41,-83.125,2025,222,190.1
41,-82.5,2025,222,184.1
41.5,-83.75,2025,222,198.2
41.5,-83.125,2025,222,186.1
41.5,-82.5,2025,222,178.2
42,-83.75,2025,222,194.6
42,-83.125,2025,222,179
42,-82.5,2025,222,173.4
42.5,-83.75,2025,222,194.6
42.5,-83.125,2025,222,184.2
42.5,-82.5,2025,222,179
41,-83.75,2025,223,203.5
41,-83.125,2025,223,199.9
41,-82.5,2025,223,201.8
41.5,-83.75,2025,223,211.1
41.5,-83.125,2025,223,203.4
41.5,-82.5,2025,223,198.4
42,-83.75,2025,223,214.6
42,-83.125,2025,223,203.7
42,-82.5,2025,223,192.6
42.5,-83.75,2025,223,216.6
42.5,-83.125,2025,223,206.9
42.5,-82.5,2025,223,193.6
41,-83.75,2025,224,214.3
41,-83.125,2025,224,217.5
41,-82.5,2025,224,223.6
41.5,-83.75,2025,224,221.3
41.5,-83.125,2025,224,224.1
41.5,-82.5,2025,224,227.4
42,-83.75,2025,224,225.5
42,-83.125,2025,224,227.5
42,-82.5,2025,224,225.9
42.5,-83.75,2025,224,233.9
42.5,-83.125,2025,224,234.8
