-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WS10M
41,-81.875,2025,179,3.07
41,-81.25,2025,179,2.03
41,-80.625,2025,179,1.42
41,-80,2025,179,1.41
41.5,-81.875,2025,179,3.77
41.5,-81.25,2025,179,2.2
41.5,-80.625,2025,179,1.71
41.5,-80,2025,179,1.66
42,-81.875,2025,179,3.83
42,-81.25,2025,179,3.64
42,-80.625,2025,179,2.97
42,-80,2025,179,2.57
42.5,-81.875,2025,179,4.48
42.5,-81.25,2025,179,4.47
42.5,-80.625,2025,179,5.33
42.5,-80,2025,179,4.61
41,-81.875,2025,180,1.44
41,-81.25,2025,180,1.14
41,-80.625,2025,180,0.88
41,-80,2025,180,0.87
41.5,-81.875,2025,180,1.75
41.5,-81.25,2025,180,1.2
41.5,-80.625,2025,180,0.99
41.5,-80,2025,180,0.98
42,-81.875,2025,180,2.53
42,-81.25,2025,180,2.25
42,-80.625,2025,180,1.61
42,-80,2025,180,1.32
42.5,-81.875,2025,180,2.8
42.5,-81.25,2025,180,3.14
42.5,-80.625,2025,180,2.18
42.5,-80,2025,180,2.06
41,-81.875,2025,181,3.72
41,-81.25,2025,181,2.44
41,-80.625,2025,181,1.59
41,-80,2025,181,1.62
41.5,-81.875,2025,181,3.31
41.5,-81.25,2025,181,2
41.5,-80.625,2025,181,1.72
41.5,-80,2025,181,1.8
42,-81.875,2025,181,2.89
42,-81.25,2025,181,3.1
42,-80.625,2025,181,2.29
42,-80,2025,181,2.02
42.5,-81.875,2025,181,3.43
42.5,-81.25,2025,181,2.69
42.5,-80.625,2025,181,2.81
42.5,-80,2025,181,2.59
41,-81.875,2025,182,2.63
41,-81.25,2025,182,1.89
41,-80.625,2025,182,1.42
41,-80,2025,182,1.35
41.5,-81.875,2025,182,3.45
41.5,-81.25,2025,182,2.11
41.5,-80.625,2025,182,1.57
41.5,-80,2025,182,1.53
42,-81.875,2025,182,3.93
42,-81.25,2025,182,3.91
42,-80.625,2025,182,2.91
42,-80,2025,182,2.33
42.5,-81.875,2025,182,4.17
42.5,-81.25,2025,182,4.22
42.5,-80.625,2025,182,4.66
42.5,-80,2025,182,3.92
41,-81.875,2025,183,2.25
41,-81.25,2025,183,1.67
41,-80.625,2025,183,1.15
41,-80,2025,183,0.91
41.5,-81.875,2025,183,2.32
41.5,-81.25,2025,183,1.67
41.5,-80.625,2025,183,1.29
41.5,-80,2025,183,1.12
42,-81.875,2025,183,2.64
42,-81.25,2025,183,2.84
42,-80.625,2025,183,2.15
42,-80,2025,183,1.66
42.5,-81.875,2025,183,2.93
42.5,-81.25,2025,183,3.27
42.5,-80.625,2025,183,3.83
42.5,-80,2025,183,3.36
41,-81.875,2025,184,3.19
41,-81.25,2025,184,2.46
41,-80.625,2025,184,1.83
41,-80,2025,184,1.7
41.5,-81.875,2025,184,3.7
41.5,-81.25,2025,184,2.26
41.5,-80.625,2025,184,1.93
41.5,-80,2025,184,1.84
42,-81.875,2025,184,4.03
42,-81.25,2025,184,4.15
42,-80.625,2025,184,3.33
42,-80,2025,184,2.79
42.5,-81.875,2025,184,4.35
42.5,-81.25,2025,184,4.79
42.5,-80.625,2025,184,5.16
42.5,-80,2025,184,4.53
41,-81.875,2025,185,1.97
41,-81.25,2025,185,1.55
41,-80.625,2025,185,0.97
41,-80,2025,185,0.92
41.5,-81.875,2025,185,2.83
41.5,-81.25,2025,185,1.7
41.5,-80.625,2025,185,1.25
41.5,-80,2025,185,0.96
42,-81.875,2025,185,3.68
42,-81.25,2025,185,3.8
42,-80.625,2025,185,2.37
42,-80,2025,185,1.85
42.5,-81.875,2025,185,3.28
42.5,-81.25,2025,185,3.94
42.5,-80.625,2025,185,3.09
42.5,-80,2025,185,2.54
41,-81.875,2025,186,2.68
41,-81.25,2025,186,1.84
41,-80.625,2025,186,1.19
41,-80,2025,186,1.19
41.5,-81.875,2025,186,3.76
41.5,-81.25,2025,186,2.01
41.5,-80.625,2025,186,1.53
41.5,-80,2025,186,1.39
42,-81.875,2025,186,4.42
42,-81.25,2025,186,4.32
42,-80.625,2025,186,2.95
42,-80,2025,186,2.43
42.5,-81.875,2025,186,4.15
42.5,-81.25,2025,186,4.4
42.5,-80.625,2025,186,4.67
42.5,-80,2025,186,4.18
41,-81.875,2025,187,4
41,-81.25,2025,187,2.3
41,-80.625,2025,187,1.48
41,-80,2025,187,1.53
41.5,-81.875,2025,187,5.09
41.5,-81.25,2025,187,2.55
41.5,-80.625,2025,187,1.75
41.5,-80,2025,187,1.75
42,-81.875,2025,187,5.74
42,-81.25,2025,187,4.91
42,-80.625,2025,187,3.25
42,-80,2025,187,2.66
42.5,-81.875,2025,187,5.89
42.5,-81.25,2025,187,5.71
42.5,-80.625,2025,187,5.58
42.5,-80,2025,187,4.59
41,-81.875,2025,188,3.46
41,-81.25,2025,188,2.4
41,-80.625,2025,188,1.64
41,-80,2025,188,1.39
41.5,-81.875,2025,188,3.88
41.5,-81.25,2025,188,2.15
41.5,-80.625,2025,188,1.77
41.5,-80,2025,188,1.62
42,-81.875,2025,188,4.66
42,-81.25,2025,188,4.7
42,-80.625,2025,188,3.45
42,-80,2025,188,2.82
42.5,-81.875,2025,188,4.99
42.5,-81.25,2025,188,5.77
42.5,-80.625,2025,188,5.93
42.5,-80,2025,188,4.99
41,-81.875,2025,189,2.5
41,-81.25,2025,189,1.9
41,-80.625,2025,189,1.29
41,-80,2025,189,1.1
41.5,-81.875,2025,189,2.42
41.5,-81.25,2025,189,1.73
41.5,-80.625,2025,189,1.51
41.5,-80,2025,189,1.26
42,-81.875,2025,189,2.59
42,-81.25,2025,189,3.17
42,-80.625,2025,189,2.43
42,-80,2025,189,1.91
42.5,-81.875,2025,189,2.23
42.5,-81.25,2025,189,3.21
42.5,-80.625,2025,189,3.4
42.5,-80,2025,189,3.3
41,-81.875,2025,190,1.63
41,-81.25,2025,190,1.04
41,-80.625,2025,190,0.81
41,-80,2025,190,0.75
41.5,-81.875,2025,190,1.69
41.5,-81.25,2025,190,1.03
41.5,-80.625,2025,190,0.67
41.5,-80,2025,190,0.66
42,-81.875,2025,190,1.66
42,-81.25,2025,190,1.84
42,-80.625,2025,190,1.02
42,-80,2025,190,0.91
42.5,-81.875,2025,190,2.19
42.5,-81.25,2025,190,1.36
42.5,-80.625,2025,190,1.06
42.5,-80,2025,190,1.88
41,-81.875,2025,191,1.81
41,-81.25,2025,191,1.38
41,-80.625,2025,191,1.11
41,-80,2025,191,1.07
41.5,-81.875,2025,191,1.85
41.5,-81.25,2025,191,1.42
41.5,-80.625,2025,191,1.05
41.5,-80,2025,191,1.09
42,-81.875,2025,191,1.4
42,-81.25,2025,191,2.11
42,-80.625,2025,191,1.58
42,-80,2025,191,1.42
42.5,-81.875,2025,191,2.04
42.5,-81.25,2025,191,2.04
42.5,-80.625,2025,191,2.5
42.5,-80,2025,191,2.33
41,-81.875,2025,192,2.58
41,-81.25,2025,192,1.63
41,-80.625,2025,192,1.1
41,-80,2025,192,1.14
41.5,-81.875,2025,192,2.73
41.5,-81.25,2025,192,1.65
41.5,-80.625,2025,192,1.25
41.5,-80,2025,192,1.19
42,-81.875,2025,192,2.49
42,-81.25,2025,192,2.02
42,-80.625,2025,192,1.64
42,-80,2025,192,1.45
42.5,-81.875,2025,192,2.84
42.5,-81.25,2025,192,2.46
42.5,-80.625,2025,192,2.23
42.5,-80,2025,192,2.21
41,-81.875,2025,193,3.95
41,-81.25,2025,193,2.44
41,-80.625,2025,193,1.55
41,-80,2025,193,1.46
41.5,-81.875,2025,193,4.98
41.5,-81.25,2025,193,2.46
41.5,-80.625,2025,193,1.77
41.5,-80,2025,193,1.65
42,-81.875,2025,193,5.59
42,-81.25,2025,193,4.63
