WeatherCloud Data Compiled-LEC,,,,,,,,,,,,,,,,,
Location ,"Lake Erie Center, Oregon, OH ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date (America/New_York),tempin (°C),temp (°C),chill (°C),dewin (°C),dew (°C),heatin (°C),heat (°C),humin (%),hum (%),wspdhi (mph),wspdavg (mph),wdiravg (°),bar (mmHg),rain (mm),rainrate (mm/h),solarrad (W/m²),uvi
5/23/25 17:50,22,14.8,14.8,,6.3,,,40,57,2.2,2.2,68,763.3,0,0,,
5/23/25 18:00,22.2,14.7,14.7,,6.2,,,40,57,3.6,3.4,68,763.5,0,0,,
5/23/25 18:10,22.1,14.9,14.6,,6.4,,,40,57,1.8,1.8,180,763.5,0,0,,
5/23/25 18:20,22,14.8,14.7,,6.5,,,40,58,4.7,4,22,763.5,0,0,,
5/23/25 18:30,21.9,14.5,14.5,,6.3,,,39,58,2.2,2.2,338,763.6,0,0,,
5/23/25 18:40,21.3,14.5,14.5,,6.6,,,38,59,2.2,2.2,338,763.9,0,0,,
5/23/25 18:50,21.7,14.7,14.7,,6.2,,,39,57,4.9,4,45,763.9,0,0,,
5/23/25 19:00,21.8,14.6,14.6,,7.1,,,40,61,2.5,2.5,90,763.7,0,0,,
5/23/25 19:10,21.9,14.3,13.9,,6.3,,,40,59,5.4,4.9,0,763.6,0,0,,
5/23/25 19:20,21.9,14.2,14,,7,,,40,62,4.7,4.3,0,763.6,0,0,,
5/23/25 19:30,21.8,14,13.9,,6,,,40,59,4,3.6,45,763.8,0,0,,
5/23/25 19:40,21.7,13.9,13.9,,6.9,,,39,63,1.1,1.1,68,764.1,0,0,,
5/23/25 19:50,21.2,13.8,13.3,,6.3,,,39,61,4.9,4.5,315,764.1,0,0,,
5/23/25 20:00,21.5,13.7,13.5,,6.5,,,40,62,4.9,4,225,763.9,0,0,,
5/23/25 20:10,21.6,13.4,13.4,,6.5,,,40,63,2.2,2.2,112,764.2,0,0,,
5/23/25 20:20,21.6,13.3,13.1,,5.9,,,40,61,2.5,2.5,68,764.2,0,0,,
5/23/25 20:30,21.6,13.2,12.5,,6,,,40,62,5.6,5.6,338,764.5,0,0,,
5/23/25 20:40,21.6,13.1,13.1,,6.8,,,40,66,3.6,3.1,22,764.5,0,0,,
5/23/25 20:50,21.5,13,13,,6.3,,,40,64,6.7,6.5,338,764.5,0,0,,
5/23/25 21:00,21.4,13,13,,6.3,,,39,64,1.6,1.6,338,764.5,0,0,,
5/23/25 21:10,21.1,12.9,12.9,,6.5,,,40,65,2.7,2.7,112,764.6,0,0,,
5/23/25 21:20,21.3,12.8,12.8,,6.4,,,40,65,2.2,2.2,338,764.6,0,0,,
5/23/25 21:30,21.4,12.8,12.8,,6.5,,,40,66,2.5,2.5,22,764.7,0,0,,
5/23/25 21:40,21.4,12.7,12.7,,6,,,40,64,1.1,1.1,68,764.7,0,0,,
5/23/25 21:50,21.4,12.6,12.6,,6.2,,,39,65,2.2,2.2,270,764.7,0,0,,
5/23/25 22:00,21.4,12.5,12.5,,6.2,,,39,65,1.8,1.8,112,764.8,0,0,,
5/23/25 22:10,21.4,12.5,12.5,,6.2,,,39,65,1.8,1.8,90,764.8,0,0,,
5/23/25 22:20,21.4,12.5,11.7,,6.3,,,39,66,2.5,2.5,315,764.8,0,0,,
5/23/25 22:30,21.3,12.5,12.5,,6.3,,,39,66,2.5,2.5,68,764.9,0,0,,
5/23/25 22:40,21.3,12.4,12.4,,6.4,,,39,67,3.4,2.7,338,765.1,0,0,,
5/23/25 22:50,21.3,12.4,12.4,,6.6,,,39,68,2,2,202,765.1,0,0,,
5/23/25 23:00,21.3,12.4,12.4,,6.6,,,39,68,0,0,135,765.2,0,0,,
5/23/25 23:10,21.3,12.3,12.3,,6.9,,,39,70,2.2,2.2,68,765.2,0,0,,
5/23/25 23:20,21.2,12.3,12.3,,6.8,,,39,69,4.9,4.3,315,765.2,0,0,,
5/23/25 23:30,21.2,12.2,12.2,,6.7,,,39,69,1.1,1.1,248,765.1,0,0,,
5/23/25 23:40,21.2,12.2,12.2,,6.7,,,39,69,1.8,1.8,158,765.1,0,0,,
5/23/25 23:50,21.1,12.1,12.1,,6.7,,,39,70,0,0,338,765.1,0,0,,
5/24/25 0:00,21.1,12.1,12.1,,6.7,,,39,70,1.1,1.1,202,765.1,0,0,,
5/24/25 0:10,21.1,12,12,,6.8,,,39,71,1.8,1.8,22,765.4,0,0,,
5/24/25 0:20,21.1,11.9,11.5,,7,,,39,72,5.6,4.9,112,765.4,0,0,,
5/24/25 0:30,21.1,11.7,11.7,,6.6,,,39,71,4.7,4,225,765.4,0,0,,
5/24/25 0:40,21.1,11.7,11.7,,6.3,,,39,70,2.2,2.2,338,765.4,0,0,,
5/24/25 0:50,21,11.8,11.8,,7,,,39,73,2.5,2.5,68,765.4,0,0,,
5/24/25 1:00,21,11.8,11.8,,6.7,,,39,71,1.1,1.1,248,765.4,0,0,,
5/24/25 1:10,21,11.8,11.8,,6.7,,,39,71,2.5,2.5,112,765.4,0,0,,
5/24/25 1:20,21,11.7,11.7,,6.6,,,39,71,1.1,1.1,22,765.4,0,0,,
5/24/25 1:30,20.9,11.6,11.6,,6.7,,,39,72,1.1,1.1,68,765.5,0,0,,
5/24/25 1:40,20.9,11.6,11.6,,6.7,,,39,72,2.2,2.2,0,765.5,0,0,,
5/24/25 1:50,20.9,11.5,11.5,,6.7,,,39,72,4.9,4.3,68,765.5,0,0,,
5/24/25 2:00,20.9,11.4,10.4,,6.6,,,39,73,6.5,5.4,68,765.6,0,0,,
