-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,QV2M
41,-83.75,2025,179,16.12
41,-83.125,2025,179,16.29
41,-82.5,2025,179,16.76
41.5,-83.75,2025,179,14.88
41.5,-83.125,2025,179,15.56
41.5,-82.5,2025,179,16.43
42,-83.75,2025,179,13.98
42,-83.125,2025,179,14.71
42,-82.5,2025,179,15.48
42.5,-83.75,2025,179,13.1
42.5,-83.125,2025,179,13.49
42.5,-82.5,2025,179,14.15
41,-83.75,2025,180,15.14
41,-83.125,2025,180,14.92
41,-82.5,2025,180,14.8
41.5,-83.75,2025,180,14.06
41.5,-83.125,2025,180,14.27
41.5,-82.5,2025,180,14.23
42,-83.75,2025,180,13.93
42,-83.125,2025,180,14.08
42,-82.5,2025,180,13.64
42.5,-83.75,2025,180,13.71
42.5,-83.125,2025,180,13.53
42.5,-82.5,2025,180,12.86
41,-83.75,2025,181,17.38
41,-83.125,2025,181,17.35
41,-82.5,2025,181,17.41
41.5,-83.75,2025,181,17.24
41.5,-83.125,2025,181,17.44
41.5,-82.5,2025,181,17.8
42,-83.75,2025,181,16.99
42,-83.125,2025,181,17.58
42,-82.5,2025,181,17.49
42.5,-83.75,2025,181,16.72
42.5,-83.125,2025,181,17.08
42.5,-82.5,2025,181,16.64
41,-83.75,2025,182,14.51
41,-83.125,2025,182,14.78
41,-82.5,2025,182,15.45
41.5,-83.75,2025,182,13.59
41.5,-83.125,2025,182,14.67
41.5,-82.5,2025,182,15.96
42,-83.75,2025,182,13.47
42,-83.125,2025,182,14.6
42,-82.5,2025,182,15.64
42.5,-83.75,2025,182,13.16
42.5,-83.125,2025,182,13.68
42.5,-82.5,2025,182,14.6
41,-83.75,2025,183,11.9
41,-83.125,2025,183,12.41
41,-82.5,2025,183,13.4
41.5,-83.75,2025,183,11.61
41.5,-83.125,2025,183,12.92
41.5,-82.5,2025,183,13.97
42,-83.75,2025,183,12.02
42,-83.125,2025,183,13.12
42,-82.5,2025,183,13.66
42.5,-83.75,2025,183,12.03
42.5,-83.125,2025,183,12.45
42.5,-82.5,2025,183,12.95
41,-83.75,2025,184,12.78
41,-83.125,2025,184,12.61
41,-82.5,2025,184,12.91
41.5,-83.75,2025,184,12.07
41.5,-83.125,2025,184,12.81
41.5,-82.5,2025,184,13.65
42,-83.75,2025,184,12.46
42,-83.125,2025,184,12.88
42,-82.5,2025,184,13.32
42.5,-83.75,2025,184,12.04
42.5,-83.125,2025,184,11.8
42.5,-82.5,2025,184,12.08
41,-83.75,2025,185,13.41
41,-83.125,2025,185,13
41,-82.5,2025,185,12.76
41.5,-83.75,2025,185,12.9
41.5,-83.125,2025,185,13.17
41.5,-82.5,2025,185,12.74
42,-83.75,2025,185,13.97
42,-83.125,2025,185,13.68
42,-82.5,2025,185,12.74
42.5,-83.75,2025,185,14.07
42.5,-83.125,2025,185,13.63
42.5,-82.5,2025,185,12.34
41,-83.75,2025,186,14.44
41,-83.125,2025,186,14.05
41,-82.5,2025,186,14.01
41.5,-83.75,2025,186,13.59
41.5,-83.125,2025,186,14.45
41.5,-82.5,2025,186,15.18
42,-83.75,2025,186,14.16
42,-83.125,2025,186,15.13
42,-82.5,2025,186,15.46
42.5,-83.75,2025,186,14.04
42.5,-83.125,2025,186,14.37
42.5,-82.5,2025,186,14.34
41,-83.75,2025,187,16.47
41,-83.125,2025,187,16.23
41,-82.5,2025,187,16.02
41.5,-83.75,2025,187,15.9
41.5,-83.125,2025,187,16.5
41.5,-82.5,2025,187,16.97
42,-83.75,2025,187,15.97
42,-83.125,2025,187,16.89
