-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
T2M     MERRA-2 Temperature at 2 Meters (C),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,T2M
41,-81.875,2025,179,25.29
41,-81.25,2025,179,24.84
41,-80.625,2025,179,24.75
41,-80,2025,179,23.71
41.5,-81.875,2025,179,24.85
41.5,-81.25,2025,179,24.49
41.5,-80.625,2025,179,24.2
41.5,-80,2025,179,23.38
42,-81.875,2025,179,23.96
42,-81.25,2025,179,23.35
42,-80.625,2025,179,23.56
42,-80,2025,179,22.99
42.5,-81.875,2025,179,24.29
42.5,-81.25,2025,179,23.12
42.5,-80.625,2025,179,23.67
42.5,-80,2025,179,22.77
41,-81.875,2025,180,24.76
41,-81.25,2025,180,24.97
41,-80.625,2025,180,24.87
41,-80,2025,180,24.8
41.5,-81.875,2025,180,24.21
41.5,-81.25,2025,180,24.69
41.5,-80.625,2025,180,23.71
41.5,-80,2025,180,22.35
42,-81.875,2025,180,22.74
42,-81.25,2025,180,22.39
42,-80.625,2025,180,22.9
42,-80,2025,180,22.33
42.5,-81.875,2025,180,23.11
42.5,-81.25,2025,180,21.27
42.5,-80.625,2025,180,22.05
42.5,-80,2025,180,21.3
41,-81.875,2025,181,24.54
41,-81.25,2025,181,24.28
41,-80.625,2025,181,23.83
41,-80,2025,181,23.23
41.5,-81.875,2025,181,24.61
41.5,-81.25,2025,181,24.03
41.5,-80.625,2025,181,23.62
41.5,-80,2025,181,22.72
42,-81.875,2025,181,23.86
42,-81.25,2025,181,23.25
42,-80.625,2025,181,23.38
42,-80,2025,181,23.06
42.5,-81.875,2025,181,24.17
42.5,-81.25,2025,181,22.79
42.5,-80.625,2025,181,23.26
42.5,-80,2025,181,22.84
41,-81.875,2025,182,23.93
41,-81.25,2025,182,23.69
41,-80.625,2025,182,23.51
41,-80,2025,182,23.2
41.5,-81.875,2025,182,24.72
41.5,-81.25,2025,182,24.02
41.5,-80.625,2025,182,23.73
41.5,-80,2025,182,22.81
42,-81.875,2025,182,24.49
42,-81.25,2025,182,23.9
42,-80.625,2025,182,23.68
42,-80,2025,182,23
42.5,-81.875,2025,182,25.03
42.5,-81.25,2025,182,24.12
42.5,-80.625,2025,182,24.12
42.5,-80,2025,182,23.21
41,-81.875,2025,183,23.99
41,-81.25,2025,183,23.73
41,-80.625,2025,183,24.01
41,-80,2025,183,23.26
41.5,-81.875,2025,183,24.56
41.5,-81.25,2025,183,23.85
41.5,-80.625,2025,183,23.76
41.5,-80,2025,183,22.52
42,-81.875,2025,183,23.93
42,-81.25,2025,183,23.6
42,-80.625,2025,183,23.57
42,-80,2025,183,22.55
42.5,-81.875,2025,183,24.54
42.5,-81.25,2025,183,23.7
42.5,-80.625,2025,183,23.72
42.5,-80,2025,183,22.73
41,-81.875,2025,184,23.76
41,-81.25,2025,184,23.49
41,-80.625,2025,184,23.14
41,-80,2025,184,21.82
41.5,-81.875,2025,184,24.45
41.5,-81.25,2025,184,23.52
41.5,-80.625,2025,184,22.66
41.5,-80,2025,184,20.99
42,-81.875,2025,184,24.03
42,-81.25,2025,184,23.58
42,-80.625,2025,184,23.2
42,-80,2025,184,21.73
42.5,-81.875,2025,184,23.69
42.5,-81.25,2025,184,23.46
42.5,-80.625,2025,184,23.63
42.5,-80,2025,184,22.91
41,-81.875,2025,185,24.94
41,-81.25,2025,185,24.46
41,-80.625,2025,185,23.6
41,-80,2025,185,21.01
41.5,-81.875,2025,185,24.51
41.5,-81.25,2025,185,23.59
41.5,-80.625,2025,185,22.89
41.5,-80,2025,185,20.69
42,-81.875,2025,185,23.75
42,-81.25,2025,185,22.93
42,-80.625,2025,185,22.52
42,-80,2025,185,21.19
42.5,-81.875,2025,185,23.86
42.5,-81.25,2025,185,22.36
42.5,-80.625,2025,185,22.58
42.5,-80,2025,185,21.45
41,-81.875,2025,186,25.82
41,-81.25,2025,186,25.54
41,-80.625,2025,186,25.85
41,-80,2025,186,23.85
41.5,-81.875,2025,186,26.24
41.5,-81.25,2025,186,24.87
41.5,-80.625,2025,186,24.9
41.5,-80,2025,186,23.19
42,-81.875,2025,186,25.95
42,-81.25,2025,186,24.9
42,-80.625,2025,186,24.65
42,-80,2025,186,23.78
42.5,-81.875,2025,186,26.81
42.5,-81.25,2025,186,25.13
42.5,-80.625,2025,186,25.17
42.5,-80,2025,186,24.1
41,-81.875,2025,187,27.08
41,-81.25,2025,187,27.02
41,-80.625,2025,187,26.99
41,-80,2025,187,24.97
41.5,-81.875,2025,187,27.17
41.5,-81.25,2025,187,27.04
41.5,-80.625,2025,187,26.72
41.5,-80,2025,187,24.82
42,-81.875,2025,187,26.63
42,-81.25,2025,187,26.18
42,-80.625,2025,187,26.52
42,-80,2025,187,25.68
42.5,-81.875,2025,187,28.2
42.5,-81.25,2025,187,26.39
