-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WS10M
42,-79.375,2025,179,2.21
42,-78.75,2025,179,2.11
42,-78.125,2025,179,2.16
42.5,-79.375,2025,179,3.69
42.5,-78.75,2025,179,2.84
42.5,-78.125,2025,179,2.56
43,-79.375,2025,179,5.6
43,-78.75,2025,179,4.16
43,-78.125,2025,179,2.73
43.5,-79.375,2025,179,5.77
43.5,-78.75,2025,179,6.35
43.5,-78.125,2025,179,6.14
42,-79.375,2025,180,1.08
42,-78.75,2025,180,1.04
42,-78.125,2025,180,0.99
42.5,-79.375,2025,180,1.58
42.5,-78.75,2025,180,1.13
42.5,-78.125,2025,180,1.1
43,-79.375,2025,180,1.66
43,-78.75,2025,180,1.27
43,-78.125,2025,180,1.2
43.5,-79.375,2025,180,2.06
43.5,-78.75,2025,180,2.24
43.5,-78.125,2025,180,2.68
42,-79.375,2025,181,1.89
42,-78.75,2025,181,1.84
42,-78.125,2025,181,1.76
42.5,-79.375,2025,181,2.42
42.5,-78.75,2025,181,1.96
42.5,-78.125,2025,181,1.81
43,-79.375,2025,181,2.99
43,-78.75,2025,181,2.28
43,-78.125,2025,181,1.62
43.5,-79.375,2025,181,2.55
43.5,-78.75,2025,181,1.99
43.5,-78.125,2025,181,2.42
42,-79.375,2025,182,1.82
42,-78.75,2025,182,1.68
42,-78.125,2025,182,1.78
42.5,-79.375,2025,182,2.91
42.5,-78.75,2025,182,2.07
42.5,-78.125,2025,182,1.9
43,-79.375,2025,182,4.19
43,-78.75,2025,182,3
43,-78.125,2025,182,1.98
43.5,-79.375,2025,182,4.46
43.5,-78.75,2025,182,4.92
43.5,-78.125,2025,182,5.17
42,-79.375,2025,183,1.39
42,-78.75,2025,183,1.36
42,-78.125,2025,183,1.41
42.5,-79.375,2025,183,2.57
42.5,-78.75,2025,183,1.84
42.5,-78.125,2025,183,1.62
43,-79.375,2025,183,3.96
43,-78.75,2025,183,2.91
43,-78.125,2025,183,2.04
43.5,-79.375,2025,183,4.1
43.5,-78.75,2025,183,4.74
43.5,-78.125,2025,183,5.29
42,-79.375,2025,184,2.15
42,-78.75,2025,184,2
42,-78.125,2025,184,2.05
42.5,-79.375,2025,184,3.34
42.5,-78.75,2025,184,2.37
42.5,-78.125,2025,184,2.11
43,-79.375,2025,184,4.38
43,-78.75,2025,184,3.17
43,-78.125,2025,184,2.27
43.5,-79.375,2025,184,4.64
43.5,-78.75,2025,184,5.01
43.5,-78.125,2025,184,5.47
42,-79.375,2025,185,1.19
42,-78.75,2025,185,1.14
42,-78.125,2025,185,1.13
42.5,-79.375,2025,185,1.75
42.5,-78.75,2025,185,1.19
42.5,-78.125,2025,185,1.08
43,-79.375,2025,185,1.78
43,-78.75,2025,185,1.39
43,-78.125,2025,185,1.12
43.5,-79.375,2025,185,2.55
43.5,-78.75,2025,185,2.31
43.5,-78.125,2025,185,2.25
42,-79.375,2025,186,1.78
42,-78.75,2025,186,1.6
42,-78.125,2025,186,1.66
42.5,-79.375,2025,186,3.25
42.5,-78.75,2025,186,2.11
42.5,-78.125,2025,186,1.84
43,-79.375,2025,186,4.28
43,-78.75,2025,186,3.01
43,-78.125,2025,186,1.85
43.5,-79.375,2025,186,3.98
43.5,-78.75,2025,186,3.27
43.5,-78.125,2025,186,3.01
42,-79.375,2025,187,2.05
42,-78.75,2025,187,1.78
42,-78.125,2025,187,1.75
42.5,-79.375,2025,187,3.54
42.5,-78.75,2025,187,2.38
42.5,-78.125,2025,187,2.06
43,-79.375,2025,187,5.19
43,-78.75,2025,187,3.6
43,-78.125,2025,187,2.29
43.5,-79.375,2025,187,5.94
43.5,-78.75,2025,187,5.68
43.5,-78.125,2025,187,4.92
42,-79.375,2025,188,1.96
42,-78.75,2025,188,1.79
42,-78.125,2025,188,1.76
42.5,-79.375,2025,188,3.85
42.5,-78.75,2025,188,2.33
42.5,-78.125,2025,188,2.05
43,-79.375,2025,188,4.62
43,-78.75,2025,188,3.33
43,-78.125,2025,188,2.32
43.5,-79.375,2025,188,5
43.5,-78.75,2025,188,5.38
43.5,-78.125,2025,188,5.02
42,-79.375,2025,189,1.39
42,-78.75,2025,189,1.28
42,-78.125,2025,189,1.14
42.5,-79.375,2025,189,2.32
42.5,-78.75,2025,189,1.32
42.5,-78.125,2025,189,1.2
43,-79.375,2025,189,2.43
43,-78.75,2025,189,1.5
43,-78.125,2025,189,0.94
43.5,-79.375,2025,189,2.49
43.5,-78.75,2025,189,1.92
43.5,-78.125,2025,189,2.53
42,-79.375,2025,190,0.84
42,-78.75,2025,190,0.81
42,-78.125,2025,190,0.97
42.5,-79.375,2025,190,1.78
42.5,-78.75,2025,190,1.3
42.5,-78.125,2025,190,1.18
43,-79.375,2025,190,2.6
43,-78.75,2025,190,1.91
43,-78.125,2025,190,1.22
43.5,-79.375,2025,190,2.17
43.5,-78.75,2025,190,2.5
43.5,-78.125,2025,190,1.76
42,-79.375,2025,191,1.22
42,-78.75,2025,191,1.18
42,-78.125,2025,191,1.23
42.5,-79.375,2025,191,2.03
42.5,-78.75,2025,191,1.52
42.5,-78.125,2025,191,1.39
43,-79.375,2025,191,2.39
43,-78.75,2025,191,1.7
43,-78.125,2025,191,1.19
43.5,-79.375,2025,191,2.1
43.5,-78.75,2025,191,1.95
43.5,-78.125,2025,191,2.29
42,-79.375,2025,192,1.25
42,-78.75,2025,192,1.23
42,-78.125,2025,192,1.26
42.5,-79.375,2025,192,2.06
42.5,-78.75,2025,192,1.53
42.5,-78.125,2025,192,1.44
43,-79.375,2025,192,2.77
43,-78.75,2025,192,2.03
43,-78.125,2025,192,1.33
43.5,-79.375,2025,192,1.89
43.5,-78.75,2025,192,2.2
43.5,-78.125,2025,192,2.34
42,-79.375,2025,193,1.94
42,-78.75,2025,193,1.57
42,-78.125,2025,193,1.49
42.5,-79.375,2025,193,3.07
42.5,-78.75,2025,193,1.99
42.5,-78.125,2025,193,1.6
43,-79.375,2025,193,3.83
43,-78.75,2025,193,2.48
43,-78.125,2025,193,1.3
43.5,-79.375,2025,193,3.73
43.5,-78.75,2025,193,2.52
43.5,-78.125,2025,193,2.58
42,-79.375,2025,194,1.56
42,-78.75,2025,194,1.51
42,-78.125,2025,194,1.59
42.5,-79.375,2025,194,2.95
42.5,-78.75,2025,194,1.94
42.5,-78.125,2025,194,1.78
43,-79.375,2025,194,3.81
43,-78.75,2025,194,2.86
43,-78.125,2025,194,1.91
43.5,-79.375,2025,194,3.68
43.5,-78.75,2025,194,4.19
43.5,-78.125,2025,194,4.06
42,-79.375,2025,195,0.92
42,-78.75,2025,195,0.97
42,-78.125,2025,195,1.03
42.5,-79.375,2025,195,1.38
42.5,-78.75,2025,195,1.13
42.5,-78.125,2025,195,1.19
43,-79.375,2025,195,1.87
43,-78.75,2025,195,1.33
43,-78.125,2025,195,1.05
43.5,-79.375,2025,195,2.03
43.5,-78.75,2025,195,1.77
43.5,-78.125,2025,195,1.81
42,-79.375,2025,196,0.91
42,-78.75,2025,196,0.92
42,-78.125,2025,196,0.97
42.5,-79.375,2025,196,1.13
42.5,-78.75,2025,196,1.16
42.5,-78.125,2025,196,1.04
43,-79.375,2025,196,1.46
43,-78.75,2025,196,1.12
43,-78.125,2025,196,0.93
43.5,-79.375,2025,196,2.06
43.5,-78.75,2025,196,1.76
43.5,-78.125,2025,196,2.53
42,-79.375,2025,197,1.53
42,-78.75,2025,197,1.4
42,-78.125,2025,197,1.48
42.5,-79.375,2025,197,2.28
42.5,-78.75,2025,197,1.63
42.5,-78.125,2025,197,1.58
43,-79.375,2025,197,2.64
43,-78.75,2025,197,1.89
43,-78.125,2025,197,1.33
43.5,-79.375,2025,197,2.67
43.5,-78.75,2025,197,2.33
43.5,-78.125,2025,197,2.46
42,-79.375,2025,198,3.3
42,-78.75,2025,198,2.96
42,-78.125,2025,198,2.96
42.5,-79.375,2025,198,6.46
42.5,-78.75,2025,198,3.87
42.5,-78.125,2025,198,3.15
43,-79.375,2025,198,8.12
43,-78.75,2025,198,5.66
43,-78.125,2025,198,3.5
43.5,-79.375,2025,198,8.14
43.5,-78.75,2025,198,8.98
43.5,-78.125,2025,198,8.87
42,-79.375,2025,199,1.18
42,-78.75,2025,199,1.07
42,-78.125,2025,199,1.31
42.5,-79.375,2025,199,2.83
42.5,-78.75,2025,199,1.45
42.5,-78.125,2025,199,1.38
43,-79.375,2025,199,3.86
43,-78.75,2025,199,2.54
43,-78.125,2025,199,1.62
43.5,-79.375,2025,199,3.99
43.5,-78.75,2025,199,4.34
43.5,-78.125,2025,199,4.59
42,-79.375,2025,200,1.35
42,-78.75,2025,200,1.31
42,-78.125,2025,200,1.24
42.5,-79.375,2025,200,2.13
42.5,-78.75,2025,200,1.55
42.5,-78.125,2025,200,1.45
43,-79.375,2025,200,2.54
43,-78.75,2025,200,1.69
43,-78.125,2025,200,1.14
43.5,-79.375,2025,200,2.41
43.5,-78.75,2025,200,1.86
43.5,-78.125,2025,200,2.86
42,-79.375,2025,201,2.15
42,-78.75,2025,201,1.96
42,-78.125,2025,201,1.89
42.5,-79.375,2025,201,3.34
42.5,-78.75,2025,201,2.14
42.5,-78.125,2025,201,1.95
43,-79.375,2025,201,3.86
43,-78.75,2025,201,2.65
43,-78.125,2025,201,1.86
43.5,-79.375,2025,201,3.79
43.5,-78.75,2025,201,3.82
43.5,-78.125,2025,201,3.98
42,-79.375,2025,202,1.89
42,-78.75,2025,202,1.74
42,-78.125,2025,202,1.76
42.5,-79.375,2025,202,3.11
42.5,-78.75,2025,202,2.05
42.5,-78.125,2025,202,1.74
43,-79.375,2025,202,3.79
43,-78.75,2025,202,2.52
43,-78.125,2025,202,1.79
43.5,-79.375,2025,202,4.05
43.5,-78.75,2025,202,3.41
43.5,-78.125,2025,202,3.41
42,-79.375,2025,203,1.47
42,-78.75,2025,203,1.3
42,-78.125,2025,203,1.24
42.5,-79.375,2025,203,2.68
42.5,-78.75,2025,203,1.52
42.5,-78.125,2025,203,1.33
43,-79.375,2025,203,2.98
43,-78.75,2025,203,2.1
43,-78.125,2025,203,1.71
43.5,-79.375,2025,203,3.68
43.5,-78.75,2025,203,3.43
43.5,-78.125,2025,203,3.92
42,-79.375,2025,204,1.6
42,-78.75,2025,204,1.51
42,-78.125,2025,204,1.49
42.5,-79.375,2025,204,1.94
42.5,-78.75,2025,204,1.64
42.5,-78.125,2025,204,1.55
43,-79.375,2025,204,2.14
43,-78.75,2025,204,1.36
43,-78.125,2025,204,0.96
43.5,-79.375,2025,204,2.56
43.5,-78.75,2025,204,3.32
43.5,-78.125,2025,204,4.15
42,-79.375,2025,205,2.08
42,-78.75,2025,205,1.95
42,-78.125,2025,205,2.01
42.5,-79.375,2025,205,3.74
42.5,-78.75,2025,205,2.51
42.5,-78.125,2025,205,2.21
43,-79.375,2025,205,5.59
43,-78.75,2025,205,3.88
43,-78.125,2025,205,2.43
43.5,-79.375,2025,205,6.11
43.5,-78.75,2025,205,6.3
43.5,-78.125,2025,205,5.6
42,-79.375,2025,206,1.81
42,-78.75,2025,206,1.89
42,-78.125,2025,206,1.99
42.5,-79.375,2025,206,2.78
42.5,-78.75,2025,206,2.01
42.5,-78.125,2025,206,2.03
43,-79.375,2025,206,2.9
43,-78.75,2025,206,2.42
43,-78.125,2025,206,1.89
43.5,-79.375,2025,206,2.82
43.5,-78.75,2025,206,4.11
43.5,-78.125,2025,206,4.88
42,-79.375,2025,207,1.56
42,-78.75,2025,207,1.37
42,-78.125,2025,207,1.36
42.5,-79.375,2025,207,2.65
42.5,-78.75,2025,207,1.6
