-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD2M     MERRA-2 Wind Direction at 2 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD2M
41,-81.875,2025,179,249.5
41,-81.25,2025,179,255.8
41,-80.625,2025,179,326.7
41,-80,2025,179,264.2
41.5,-81.875,2025,179,268.3
41.5,-81.25,2025,179,274.3
41.5,-80.625,2025,179,324.6
41.5,-80,2025,179,327.9
42,-81.875,2025,179,276.3
42,-81.25,2025,179,260.2
42,-80.625,2025,179,257.9
42,-80,2025,179,249.7
42.5,-81.875,2025,179,293.4
42.5,-81.25,2025,179,282.2
42.5,-80.625,2025,179,269.2
42.5,-80,2025,179,254.8
41,-81.875,2025,180,164.6
41,-81.25,2025,180,181.7
41,-80.625,2025,180,50
41,-80,2025,180,243.4
41.5,-81.875,2025,180,107.3
41.5,-81.25,2025,180,118.3
41.5,-80.625,2025,180,101.9
41.5,-80,2025,180,149.5
42,-81.875,2025,180,105.6
42,-81.25,2025,180,88.8
42,-80.625,2025,180,88.5
42,-80,2025,180,77.9
42.5,-81.875,2025,180,143.2
42.5,-81.25,2025,180,124.7
42.5,-80.625,2025,180,110.4
42.5,-80,2025,180,104.2
41,-81.875,2025,181,205
41,-81.25,2025,181,196.9
41,-80.625,2025,181,180
41,-80,2025,181,168.4
41.5,-81.875,2025,181,203
41.5,-81.25,2025,181,198
41.5,-80.625,2025,181,171.5
41.5,-80,2025,181,169.8
42,-81.875,2025,181,200.2
42,-81.25,2025,181,195.3
42,-80.625,2025,181,176.5
42,-80,2025,181,170.8
42.5,-81.875,2025,181,198.8
42.5,-81.25,2025,181,195.1
42.5,-80.625,2025,181,195.7
42.5,-80,2025,181,188
41,-81.875,2025,182,270.5
41,-81.25,2025,182,263.7
41,-80.625,2025,182,263.7
41,-80,2025,182,264
41.5,-81.875,2025,182,271.1
41.5,-81.25,2025,182,265
41.5,-80.625,2025,182,264.9
41.5,-80,2025,182,263.8
42,-81.875,2025,182,279.6
42,-81.25,2025,182,263.1
42,-80.625,2025,182,260.9
42,-80,2025,182,256.3
42.5,-81.875,2025,182,294.2
42.5,-81.25,2025,182,283.6
42.5,-80.625,2025,182,271.6
42.5,-80,2025,182,260.8
41,-81.875,2025,183,321.6
41,-81.25,2025,183,314.9
41,-80.625,2025,183,321.7
41,-80,2025,183,308
41.5,-81.875,2025,183,309.6
41.5,-81.25,2025,183,310.4
41.5,-80.625,2025,183,301.3
41.5,-80,2025,183,307.5
42,-81.875,2025,183,279.2
42,-81.25,2025,183,268.1
42,-80.625,2025,183,267.5
42,-80,2025,183,270.1
42.5,-81.875,2025,183,272.6
42.5,-81.25,2025,183,262.6
42.5,-80.625,2025,183,255.2
42.5,-80,2025,183,252.5
41,-81.875,2025,184,315.9
41,-81.25,2025,184,311.3
41,-80.625,2025,184,327.3
41,-80,2025,184,274.3
41.5,-81.875,2025,184,320.3
41.5,-81.25,2025,184,312.9
41.5,-80.625,2025,184,312.2
41.5,-80,2025,184,289.4
42,-81.875,2025,184,327.7
42,-81.25,2025,184,312.8
42,-80.625,2025,184,308.1
42,-80,2025,184,296.5
42.5,-81.875,2025,184,331.1
42.5,-81.25,2025,184,326
42.5,-80.625,2025,184,313.9
42.5,-80,2025,184,304.2
41,-81.875,2025,185,95.3
41,-81.25,2025,185,34.5
41,-80.625,2025,185,75.7
41,-80,2025,185,162.8
41.5,-81.875,2025,185,111.8
41.5,-81.25,2025,185,88.4
41.5,-80.625,2025,185,77.9
41.5,-80,2025,185,135.3
42,-81.875,2025,185,115.5
42,-81.25,2025,185,93.5
42,-80.625,2025,185,93.1
42,-80,2025,185,83.4
42.5,-81.875,2025,185,140.5
42.5,-81.25,2025,185,122.6
42.5,-80.625,2025,185,108.8
42.5,-80,2025,185,101.9
41,-81.875,2025,186,207.6
41,-81.25,2025,186,208.8
41,-80.625,2025,186,180
41,-80,2025,186,177.1
41.5,-81.875,2025,186,203.8
41.5,-81.25,2025,186,198.7
41.5,-80.625,2025,186,191
41.5,-80,2025,186,189.8
42,-81.875,2025,186,200.8
42,-81.25,2025,186,196.7
42,-80.625,2025,186,196.5
42,-80,2025,186,191.9
42.5,-81.875,2025,186,208.1
42.5,-81.25,2025,186,202.2
42.5,-80.625,2025,186,207.7
42.5,-80,2025,186,202.1
41,-81.875,2025,187,207.7
41,-81.25,2025,187,206.4
41,-80.625,2025,187,170.5
41,-80,2025,187,180
41.5,-81.875,2025,187,206.1
41.5,-81.25,2025,187,202.3
41.5,-80.625,2025,187,187.4
41.5,-80,2025,187,174.8
42,-81.875,2025,187,208.2
42,-81.25,2025,187,203.8
42,-80.625,2025,187,197.8
42,-80,2025,187,187.8
42.5,-81.875,2025,187,211
42.5,-81.25,2025,187,209
42.5,-80.625,2025,187,209.9
42.5,-80,2025,187,201.7
41,-81.875,2025,188,291.2
41,-81.25,2025,188,283.1
41,-80.625,2025,188,180
41,-80,2025,188,180
41.5,-81.875,2025,188,314.6
41.5,-81.25,2025,188,293.4
41.5,-80.625,2025,188,274.6
41.5,-80,2025,188,260
42,-81.875,2025,188,320.5
42,-81.25,2025,188,294
42,-80.625,2025,188,266.4
42,-80,2025,188,245.1
42.5,-81.875,2025,188,326.1
42.5,-81.25,2025,188,297.7
42.5,-80.625,2025,188,269.6
42.5,-80,2025,188,244.2
41,-81.875,2025,189,342.6
41,-81.25,2025,189,322.9
41,-80.625,2025,189,331.4
41,-80,2025,189,326.5
41.5,-81.875,2025,189,337.2
41.5,-81.25,2025,189,318.7
41.5,-80.625,2025,189,311.5
41.5,-80,2025,189,328.8
42,-81.875,2025,189,316.1
42,-81.25,2025,189,291.7
42,-80.625,2025,189,278.5
42,-80,2025,189,274.3
42.5,-81.875,2025,189,327.5
42.5,-81.25,2025,189,288
42.5,-80.625,2025,189,261.8
42.5,-80,2025,189,251
41,-81.875,2025,190,155.4
41,-81.25,2025,190,160.6
41,-80.625,2025,190,187.6
41,-80,2025,190,198.4
41.5,-81.875,2025,190,137.4
41.5,-81.25,2025,190,120.8
41.5,-80.625,2025,190,92.6
41.5,-80,2025,190,272
42,-81.875,2025,190,133.5
42,-81.25,2025,190,85.8
42,-80.625,2025,190,342.3
42,-80,2025,190,287.3
42.5,-81.875,2025,190,192
42.5,-81.25,2025,190,167
42.5,-80.625,2025,190,242.3
42.5,-80,2025,190,240.9
41,-81.875,2025,191,240.3
41,-81.25,2025,191,226
41,-80.625,2025,191,184.1
41,-80,2025,191,176.4
41.5,-81.875,2025,191,237.5
41.5,-81.25,2025,191,227.3
41.5,-80.625,2025,191,206.7
41.5,-80,2025,191,190.9
42,-81.875,2025,191,221.8
42,-81.25,2025,191,230.9
42,-80.625,2025,191,217.6
42,-80,2025,191,214.1
42.5,-81.875,2025,191,252.1
42.5,-81.25,2025,191,223.2
42.5,-80.625,2025,191,228
42.5,-80,2025,191,223.1
41,-81.875,2025,192,220
41,-81.25,2025,192,218.1
41,-80.625,2025,192,188
41,-80,2025,192,162.9
41.5,-81.875,2025,192,202.3
41.5,-81.25,2025,192,195.9
41.5,-80.625,2025,192,188.2
41.5,-80,2025,192,169.6
42,-81.875,2025,192,184.3
42,-81.25,2025,192,187.4
42,-80.625,2025,192,190.6
42,-80,2025,192,200.4
42.5,-81.875,2025,192,181.3
42.5,-81.25,2025,192,177
42.5,-80.625,2025,192,204.4
42.5,-80,2025,192,215.9
41,-81.875,2025,193,197.3
41,-81.25,2025,193,196.3
41,-80.625,2025,193,180
41,-80,2025,193,180
41.5,-81.875,2025,193,195.4
41.5,-81.25,2025,193,194.2
41.5,-80.625,2025,193,186.6
41.5,-80,2025,193,177.9
42,-81.875,2025,193,197.5
42,-81.25,2025,193,197.2
42,-80.625,2025,193,192.3
42,-80,2025,193,182.6
42.5,-81.875,2025,193,199.4
42.5,-81.25,2025,193,198.5
42.5,-80.625,2025,193,201.4
42.5,-80,2025,193,192.4
41,-81.875,2025,194,231.7
41,-81.25,2025,194,227.3
41,-80.625,2025,194,249.7
41,-80,2025,194,247.9
41.5,-81.875,2025,194,232.1
41.5,-81.25,2025,194,218.8
41.5,-80.625,2025,194,225.3
41.5,-80,2025,194,272.7
42,-81.875,2025,194,238.5
42,-81.25,2025,194,232
42,-80.625,2025,194,226.4
42,-80,2025,194,224.8
42.5,-81.875,2025,194,276.8
42.5,-81.25,2025,194,244.1
42.5,-80.625,2025,194,237.2
42.5,-80,2025,194,228.3
41,-81.875,2025,195,327.5
41,-81.25,2025,195,319
41,-80.625,2025,195,173.3
41,-80,2025,195,203.1
41.5,-81.875,2025,195,300.5
41.5,-81.25,2025,195,305.1
41.5,-80.625,2025,195,39.3
41.5,-80,2025,195,203.1
42,-81.875,2025,195,265.1
42,-81.25,2025,195,257
42,-80.625,2025,195,257.9
42,-80,2025,195,285
42.5,-81.875,2025,195,306.6
42.5,-81.25,2025,195,223.4
42.5,-80.625,2025,195,232.4
42.5,-80,2025,195,246.3
41,-81.875,2025,196,68.7
41,-81.25,2025,196,104.3
41,-80.625,2025,196,143.3
41,-80,2025,196,154.3
41.5,-81.875,2025,196,38.1
41.5,-81.25,2025,196,26.9
41.5,-80.625,2025,196,80.6
41.5,-80,2025,196,179.1
42,-81.875,2025,196,73.3
42,-81.25,2025,196,17.5
42,-80.625,2025,196,356.4
42,-80,2025,196,309
42.5,-81.875,2025,196,147.8
42.5,-81.25,2025,196,112.7
42.5,-80.625,2025,196,349.2
42.5,-80,2025,196,257.4
41,-81.875,2025,197,195
41,-81.25,2025,197,186.5
41,-80.625,2025,197,180
41,-80,2025,197,180
41.5,-81.875,2025,197,189.3
41.5,-81.25,2025,197,182.9
41.5,-80.625,2025,197,168.3
41.5,-80,2025,197,170.8
42,-81.875,2025,197,183.6
42,-81.25,2025,197,179.9
42,-80.625,2025,197,174.6
42,-80,2025,197,174.4
42.5,-81.875,2025,197,180.8
42.5,-81.25,2025,197,178.8
42.5,-80.625,2025,197,183.6
42.5,-80,2025,197,185.8
41,-81.875,2025,198,277.1
41,-81.25,2025,198,278
41,-80.625,2025,198,180
41,-80,2025,198,180
41.5,-81.875,2025,198,277
41.5,-81.25,2025,198,273.9
41.5,-80.625,2025,198,268.5
41.5,-80,2025,198,268.6
42,-81.875,2025,198,279.5
42,-81.25,2025,198,272
42,-80.625,2025,198,269.3
42,-80,2025,198,264
42.5,-81.875,2025,198,293.8
42.5,-81.25,2025,198,284.5
42.5,-80.625,2025,198,274.4
42.5,-80,2025,198,265.4
41,-81.875,2025,199,27.4
41,-81.25,2025,199,11.3
41,-80.625,2025,199,152.6
41,-80,2025,199,94.9
41.5,-81.875,2025,199,39.4
41.5,-81.25,2025,199,26.7
41.5,-80.625,2025,199,42.6
41.5,-80,2025,199,112.9
42,-81.875,2025,199,56.9
42,-81.25,2025,199,41.1
42,-80.625,2025,199,41.6
42,-80,2025,199,42.7
42.5,-81.875,2025,199,87.3
42.5,-81.25,2025,199,68.6
42.5,-80.625,2025,199,56.4
42.5,-80,2025,199,49.9
41,-81.875,2025,200,214.2
41,-81.25,2025,200,235.9
41,-80.625,2025,200,201.2
41,-80,2025,200,162.9
41.5,-81.875,2025,200,221.1
41.5,-81.25,2025,200,269.6
41.5,-80.625,2025,200,187.6
41.5,-80,2025,200,163
42,-81.875,2025,200,195.8
42,-81.25,2025,200,248
42,-80.625,2025,200,238.7
42,-80,2025,200,229.3
42.5,-81.875,2025,200,184.8
42.5,-81.25,2025,200,188.2
42.5,-80.625,2025,200,215.8
42.5,-80,2025,200,221
41,-81.875,2025,201,310.6
41,-81.25,2025,201,306.3
41,-80.625,2025,201,180
41,-80,2025,201,180
41.5,-81.875,2025,201,323.2
41.5,-81.25,2025,201,313.9
41.5,-80.625,2025,201,311.2
41.5,-80,2025,201,302
42,-81.875,2025,201,331.5
42,-81.25,2025,201,321.1
42,-80.625,2025,201,312.1
42,-80,2025,201,301.7
42.5,-81.875,2025,201,336.1
42.5,-81.25,2025,201,328.9
42.5,-80.625,2025,201,318.3
42.5,-80,2025,201,313.5
41,-81.875,2025,202,11.1
41,-81.25,2025,202,1.6
41,-80.625,2025,202,180
41,-80,2025,202,180
41.5,-81.875,2025,202,15.9
41.5,-81.25,2025,202,10.2
41.5,-80.625,2025,202,13.7
41.5,-80,2025,202,11.2
42,-81.875,2025,202,15
42,-81.25,2025,202,15.7
42,-80.625,2025,202,17.7
42,-80,2025,202,24.8
42.5,-81.875,2025,202,4.6
42.5,-81.25,2025,202,11.7
42.5,-80.625,2025,202,17.4
42.5,-80,2025,202,30.3
41,-81.875,2025,203,44.2
41,-81.25,2025,203,45.5
41,-80.625,2025,203,67.2
41,-80,2025,203,80.5
41.5,-81.875,2025,203,57.1
41.5,-81.25,2025,203,54.7
41.5,-80.625,2025,203,63.4
41.5,-80,2025,203,74.4
42,-81.875,2025,203,81.3
42,-81.25,2025,203,72.4
42,-80.625,2025,203,72.9
42,-80,2025,203,66.5
42.5,-81.875,2025,203,114.8
42.5,-81.25,2025,203,104.7
42.5,-80.625,2025,203,87.7
42.5,-80,2025,203,75.6
41,-81.875,2025,204,165
41,-81.25,2025,204,169
41,-80.625,2025,204,162
41,-80,2025,204,135
41.5,-81.875,2025,204,126.5
