,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Can be used to estimate how strong lake erie is releasing toxins in that given day,,,,
,,,,,,,,,
,,,,,,,,,Water C
,,,,,,,,,0.65
LAT,LON,YEAR,DOY,Daily MC CNT (µg/L),Airborne MC Emmission Score,,2018 MC,,EF
41,-83.75,2018,179,0.1426054817,0.0000002023700258,,0.633,,0.0000001
41,-83.125,2018,179,0.1737979645,0.0000002976474542,,,,
41,-82.5,2018,179,0.2600217146,0.000000668324483,,,,
41.5,-83.75,2018,179,0.2439005102,0.000000591272539,,,,
41.5,-83.125,2018,179,0.262103323,0.0000006736747664,,,,
41.5,-82.5,2018,179,0.3450888753,0.000001184147335,,,,
42,-83.75,2018,179,0.3738673292,0.000001381143197,,,,
42,-83.125,2018,179,0.3385744235,0.000001125070114,,,,
42,-82.5,2018,179,0.4755056343,0.000002324597187,,,,
42.5,-83.75,2018,179,0.4507081488,0.00000201863716,,,,
42.5,-83.125,2018,179,0.3676659379,0.000001358233976,,,,
42.5,-82.5,2018,179,0.4265728963,0.000001910539897,,,,
41,-83.75,2018,180,0.4059619168,0.000001438067436,,,,
41,-83.125,2018,180,0.3946211333,0.000001383191204,,,,
41,-82.5,2018,180,0.269767263,0.0000006617284018,,,,
41.5,-83.75,2018,180,0.4238465591,0.000001549508756,,,,
41.5,-83.125,2018,180,0.5253225764,0.000002376090245,,,,
41.5,-82.5,2018,180,0.4604052434,0.000001846955406,,,,
42,-83.75,2018,180,0.4686130938,0.000001899086348,,,,
42,-83.125,2018,180,0.5466652607,0.000002571177744,,,,
42,-82.5,2018,180,0.4274563435,0.000001612289906,,,,
42.5,-83.75,2018,180,0.5674330822,0.000002854756889,,,,
42.5,-83.125,2018,180,0.5812441083,0.000003008648686,,,,
42.5,-82.5,2018,180,0.453757344,0.000001857611905,,,,
41,-83.75,2018,181,0.6004990273,0.000002851912176,,,,
41,-83.125,2018,181,0.661626878,0.000003589194533,,,,
41,-82.5,2018,181,0.6112604795,0.000003134232445,,,,
41.5,-83.75,2018,181,0.803710507,0.000004999967364,,,,
41.5,-83.125,2018,181,1.142761544,0.00001031989373,,,,
41.5,-82.5,2018,181,1.528750342,0.00001889930787,,,,
42,-83.75,2018,181,1.063797842,0.000008712888124,,,,
42,-83.125,2018,181,1.466146387,0.00001670742629,,,,
42,-82.5,2018,181,1.898605708,0.00002883711884,,,,
42.5,-83.75,2018,181,1.203300389,0.00001113039728,,,,
42.5,-83.125,2018,181,1.251893577,0.00001214285322,,,,
42.5,-82.5,2018,181,1.45290122,0.00001643273696,,,,
41,-83.75,2018,182,1.202030467,0.00001111865064,,,,
41,-83.125,2018,182,1.051721415,0.000008901803861,,,,
41,-82.5,2018,182,0.7189052531,0.000004353434866,,,,
41.5,-83.75,2018,182,1.305425665,0.00001286217552,,,,
41.5,-83.125,2018,182,1.434411983,0.00001598119769,,,,
41.5,-82.5,2018,182,1.372846985,0.0000152952843,,,,
42,-83.75,2018,182,1.511108948,0.00001721979578,,,,
42,-83.125,2018,182,1.597154083,0.00001945747524,,,,
42,-82.5,2018,182,1.473727263,0.00001730261451,,,,
42.5,-83.75,2018,182,1.78284243,0.00002403673334,,,,
42.5,-83.125,2018,182,1.533314213,0.00001786881688,,,,
42.5,-82.5,2018,182,1.299622239,0.00001321003955,,,,
41,-83.75,2018,183,0.1565561641,0.0000001902012903,,,,
41,-83.125,2018,183,0.217818321,0.0000003633791111,,,,
41,-82.5,2018,183,0.3704340399,0.000001043393003,,,,
41.5,-83.75,2018,183,0.3488638014,0.0000009937762849,,,,
41.5,-83.125,2018,183,0.3050958261,0.0000007309337345,,,,
41.5,-82.5,2018,183,0.3881138674,0.000001169042932,,,,
42,-83.75,2018,183,0.4327354051,0.000001666284846,,,,
42,-83.125,2018,183,0.497873325,0.000002079759831,,,,
42,-82.5,2018,183,0.5694366774,0.000002626597334,,,,
42.5,-83.75,2018,183,0.4065140545,0.000001581502152,,,,
42.5,-83.125,2018,183,0.5015153215,0.000002268407482,,,,
42.5,-82.5,2018,183,0.6501648637,0.000003593171232,,,,
41,-83.75,2018,184,0.1255607601,0.0000001219396505,,,,
41,-83.125,2018,184,0.04678753895,0.00000001677504941,,,,
41,-82.5,2018,184,0.04453860134,0.00000001531826796,,,,
41.5,-83.75,2018,184,0.5459678815,0.000002326874089,,,,
41.5,-83.125,2018,184,0.5241760887,0.000002124259154,,,,
41.5,-82.5,2018,184,0.422372674,0.00000138848797,,,,
42,-83.75,2018,184,0.6819529153,0.000004092528864,,,,
42,-83.125,2018,184,1.00508409,0.000008717577869,,,,
42,-82.5,2018,184,1.051702713,0.000009728135326,,,,
42.5,-83.75,2018,184,0.3369870214,0.000001072340534,,,,
42.5,-83.125,2018,184,0.3347783195,0.000001088703628,,,,
42.5,-82.5,2018,184,0.3989246196,0.000001600320573,,,,
41,-83.75,2018,185,0.02300695576,0.000000004161124065,,,,
41,-83.125,2018,185,0.01721423406,0.000000002330070206,,,,
41,-82.5,2018,185,0.01676596666,0.000000002269393994,,,,
41.5,-83.75,2018,185,0.02783384065,0.000000005981219597,,,,
41.5,-83.125,2018,185,0.009587867953,0.0000000007123920886,,,,
41.5,-82.5,2018,185,0.009067508162,0.0000000006518928956,,,,
42,-83.75,2018,185,0.07735372324,0.00000004649987322,,,,
42,-83.125,2018,185,0.05239792928,0.00000002121994322,,,,
42,-82.5,2018,185,0.03037517635,0.000000007344872752,,,,
42.5,-83.75,2018,185,0.1158862537,0.000000109108783,,,,
42.5,-83.125,2018,185,0.1027745996,0.00000008661725895,,,,
42.5,-82.5,2018,185,0.09510084334,0.00000007510929699,,,,
41,-83.75,2018,186,0.4374668076,0.000001438107712,,,,
41,-83.125,2018,186,0.3801419561,0.000001082875493,,,,
41,-82.5,2018,186,0.3619240951,0.0000009853025483,,,,
41.5,-83.75,2018,186,0.772673108,0.000004471325336,,,,
41.5,-83.125,2018,186,0.9030096158,0.000006030229933,,,,
41.5,-82.5,2018,186,0.9322608249,0.000006390815503,,,,
42,-83.75,2018,186,1.174663789,0.00001060799214,,,,
42,-83.125,2018,186,1.337170351,0.00001338217829,,,,
42,-82.5,2018,186,1.09834171,0.000008995814865,,,,
42.5,-83.75,2018,186,1.377756993,0.00001489169074,,,,
42.5,-83.125,2018,186,1.288085573,0.0000127908608,,,,
42.5,-82.5,2018,186,1.027449343,0.000008072813729,,,,
41,-83.75,2018,187,1.598918271,0.00003392864639,,,,
41,-83.125,2018,187,1.896506524,0.00004801036945,,,,
41,-82.5,2018,187,2.266262588,0.00006483556979,,,,
41.5,-83.75,2018,187,1.628402557,0.00003836266406,,,,
41.5,-83.125,2018,187,3.04324788,0.0001277967409,,,,
41.5,-82.5,2018,187,5.315729672,0.000356255631,,,,
42,-83.75,2018,187,1.829717197,0.00005264653536,,,,
42,-83.125,2018,187,4.220783729,0.0002560815626,,,,
42,-82.5,2018,187,6.504557425,0.0005756883009,,,,
42.5,-83.75,2018,187,1.324031847,0.00002952433236,,,,
42.5,-83.125,2018,187,2.022665029,0.00006730410624,,,,
42.5,-82.5,2018,187,3.404903178,0.0001820838928,,,,
41,-83.75,2018,188,0.4416140031,0.00000294906492,,,,
41,-83.125,2018,188,0.4751811541,0.000003401325482,,,,
41,-82.5,2018,188,0.4710313217,0.000003342748693,,,,
41.5,-83.75,2018,188,0.3784445378,0.000002210078814,,,,
41.5,-83.125,2018,188,0.6911199469,0.000007024904281,,,,
41.5,-82.5,2018,188,1.171947453,0.00001957623339,,,,
42,-83.75,2018,188,0.3425736893,0.000001928569262,,,,
42,-83.125,2018,188,0.7194432773,0.000007717178919,,,,
42,-82.5,2018,188,0.9665210102,0.00001388667954,,,,
42.5,-83.75,2018,188,0.181113118,0.0000005638663664,,,,
42.5,-83.125,2018,188,0.1937826247,0.0000006166438174,,,,
42.5,-82.5,2018,188,0.2291669312,0.0000008554509497,,,,
41,-83.75,2018,189,0.04132052198,0.00000002354040378,,,,
41,-83.125,2018,189,0.04321857129,0.00000002552157927,,,,
41,-82.5,2018,189,0.04578669047,0.00000002901821102,,,,
41.5,-83.75,2018,189,0.03868570505,0.00000001974340657,,,,
41.5,-83.125,2018,189,0.08489317417,0.00000009307330239,,,,
41.5,-82.5,2018,189,0.08993531963,0.0000001076923985,,,,
42,-83.75,2018,189,0.07469595301,0.0000000771174776,,,,
42,-83.125,2018,189,0.1778786553,0.0000004161456576,,,,
42,-82.5,2018,189,0.1315177717,0.0000002281945154,,,,
42.5,-83.75,2018,189,0.1047367232,0.0000001506928236,,,,
42.5,-83.125,2018,189,0.1371445273,0.0000002442087548,,,,
42.5,-82.5,2018,189,0.1457696096,0.0000002767168607,,,,
41,-83.75,2018,190,0.379903968,0.000001539586599,,,,
41,-83.125,2018,190,0.3447377846,0.000001260300937,,,,
41,-82.5,2018,190,0.3348418604,0.000001198702987,,,,
41.5,-83.75,2018,190,0.4456883205,0.000002157971643,,,,
41.5,-83.125,2018,190,0.5840056989,0.000003536531081,,,,
41.5,-82.5,2018,190,0.6928289317,0.000004749466844,,,,
42,-83.75,2018,190,0.5948303512,0.000004042306311,,,,
42,-83.125,2018,190,0.7892724939,0.000006464426482,,,,
42,-82.5,2018,190,0.8361377721,0.00000690497901,,,,
42.5,-83.75,2018,190,0.6838914135,0.000005555204031,,,,
42.5,-83.125,2018,190,0.6788974124,0.000005201626194,,,,
42.5,-82.5,2018,190,0.6968717645,0.000005249965293,,,,
