,Both years (n =223) % detections,Max (µg/L),Average (µg/L),2018 (n =112) % detections,Max (µg/L),Average (µg/L),2019 (n =111) % detections,Max (µg/L),Average (µg/L)
D-Asp3 RR ,19.3,0.526,0.033,11.6,0.526,0.054,27,0.147,0.021
MC-RR ,75.3,9.9,0.31,82.1,0.571,0.125,68.5,9.9,0.547
MC-YR,57,3.9,0.188,59.8,0.444,0.057,54.1,3.9,0.357
MC–HtyR,24.2,0.516,0.037,25.9,0.039,0.012,22.5,0.516,0.079
MC-LR ,91,7.964,0.294,98.2,2.205,0.221,83.8,7.964,0.381
D-Asp3 LR ,47.5,0.168,0.01,58,0.039,0.008,36.9,0.168,0.014
MC–HilR ,31.8,0.303,0.033,35.7,0.044,0.013,27.9,0.303,0.06
MC-WR ,17.5,0.497,0.038,15.2,0.021,0.01,19.8,0.497,0.061
MC-LA ,78.5,0.672,0.098,92,0.672,0.122,64.9,0.461,0.063
MC-LY ,25.6,0.294,0.018,23.2,0.012,0.005,27.9,0.294,0.03
MC-LW ,9.4,0.08,0.009,1.8,0.005,0.002,17.1,0.08,0.01
MC-LF ,10.8,0.036,0.005,3.6,0.007,0.004,18,0.036,0.006
MC CNT (SUM),,24.856,1.073,,4.585,0.633,,24.266,1.629
,,,,,,,,,
,Factor,MC Toxic CNT,MC Toxic CNT,,MC Toxic CNT,MC Toxic CNT,,MC Toxic CNT,MC Toxic CNT
D-Asp3 RR ,1,0.526,0.033,,0.526,0.054,,0.147,0.021
MC-RR ,0.21,2.079,0.0651,,0.11991,0.02625,,2.079,0.11487
MC-YR,0.5,1.95,0.094,,0.222,0.0285,,1.95,0.1785
MC–HtyR,0.5,0.258,0.0185,,0.0195,0.006,,0.258,0.0395
MC-LR ,1,7.964,0.294,,2.205,0.221,,7.964,0.381
D-Asp3 LR ,1,0.168,0.01,,0.039,0.008,,0.168,0.014
MC–HilR ,1,0.303,0.033,,0.044,0.013,,0.303,0.06
MC-WR ,1,0.497,0.038,,0.021,0.01,,0.497,0.061
MC-LA ,2.34,1.57248,0.22932,,1.57248,0.28548,,1.07874,0.14742
MC-LY ,0.78,0.22932,0.01404,,0.00936,0.0039,,0.22932,0.0234
MC-LW ,7,0.56,0.063,,0.035,0.014,,0.56,0.07
MC-LF ,7,0.252,0.035,,0.049,0.028,,0.252,0.042
Total Rel Toxicity,,16.3588,0.92696,,4.86225,0.67013,,15.48606,1.15269
