-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,PRECTOTCORR
41,-81.875,2018,179,0.61
41,-81.25,2018,179,1
41,-80.625,2018,179,1.14
41,-80,2018,179,1.6
41.5,-81.875,2018,179,3.11
41.5,-81.25,2018,179,1.47
41.5,-80.625,2018,179,2.42
41.5,-80,2018,179,2.05
42,-81.875,2018,179,10.06
42,-81.25,2018,179,3.5
42,-80.625,2018,179,9.47
42,-80,2018,179,3.68
42.5,-81.875,2018,179,13.37
42.5,-81.25,2018,179,7.56
42.5,-80.625,2018,179,6.63
42.5,-80,2018,179,6.56
41,-81.875,2018,180,0
41,-81.25,2018,180,0
41,-80.625,2018,180,0
41,-80,2018,180,0
41.5,-81.875,2018,180,0.09
41.5,-81.25,2018,180,0.01
41.5,-80.625,2018,180,0.04
41.5,-80,2018,180,0.01
42,-81.875,2018,180,0.43
42,-81.25,2018,180,0.26
42,-80.625,2018,180,0.52
42,-80,2018,180,0.77
42.5,-81.875,2018,180,1.21
42.5,-81.25,2018,180,3.02
42.5,-80.625,2018,180,2.19
42.5,-80,2018,180,2.67
41,-81.875,2018,181,0
41,-81.25,2018,181,0
41,-80.625,2018,181,0
41,-80,2018,181,0
41.5,-81.875,2018,181,0.16
41.5,-81.25,2018,181,0.01
41.5,-80.625,2018,181,0.03
41.5,-80,2018,181,0
42,-81.875,2018,181,1.39
42,-81.25,2018,181,0.18
42,-80.625,2018,181,0.94
42,-80,2018,181,0.17
42.5,-81.875,2018,181,4.81
42.5,-81.25,2018,181,2.14
42.5,-80.625,2018,181,2.61
42.5,-80,2018,181,0.52
41,-81.875,2018,182,0.01
41,-81.25,2018,182,0
41,-80.625,2018,182,0.04
41,-80,2018,182,0.17
41.5,-81.875,2018,182,0.03
41.5,-81.25,2018,182,0
41.5,-80.625,2018,182,0
41.5,-80,2018,182,0
42,-81.875,2018,182,0.01
42,-81.25,2018,182,0
42,-80.625,2018,182,0
42,-80,2018,182,0
42.5,-81.875,2018,182,0.01
42.5,-81.25,2018,182,0
42.5,-80.625,2018,182,0.01
42.5,-80,2018,182,0.01
41,-81.875,2018,183,3.11
41,-81.25,2018,183,1.82
41,-80.625,2018,183,1.84
41,-80,2018,183,3.1
41.5,-81.875,2018,183,2.2
41.5,-81.25,2018,183,2.84
41.5,-80.625,2018,183,2.71
41.5,-80,2018,183,3.28
42,-81.875,2018,183,0.84
42,-81.25,2018,183,3.33
42,-80.625,2018,183,1.36
42,-80,2018,183,2.13
42.5,-81.875,2018,183,0.37
42.5,-81.25,2018,183,0.11
42.5,-80.625,2018,183,0.73
42.5,-80,2018,183,0.38
41,-81.875,2018,184,7.15
41,-81.25,2018,184,3.85
41,-80.625,2018,184,2.89
41,-80,2018,184,3.81
41.5,-81.875,2018,184,12.32
41.5,-81.25,2018,184,6.96
41.5,-80.625,2018,184,6.51
41.5,-80,2018,184,5.6
42,-81.875,2018,184,5.1
42,-81.25,2018,184,4.85
42,-80.625,2018,184,6.09
42,-80,2018,184,4.23
42.5,-81.875,2018,184,3.41
42.5,-81.25,2018,184,3.48
42.5,-80.625,2018,184,3.31
42.5,-80,2018,184,2.43
41,-81.875,2018,185,1.42
41,-81.25,2018,185,0.68
41,-80.625,2018,185,0.35
41,-80,2018,185,0.59
41.5,-81.875,2018,185,2.57
41.5,-81.25,2018,185,0.71
41.5,-80.625,2018,185,0.95
41.5,-80,2018,185,1.08
42,-81.875,2018,185,9.76
42,-81.25,2018,185,1.81
42,-80.625,2018,185,3.03
42,-80,2018,185,1.71
42.5,-81.875,2018,185,3.75
42.5,-81.25,2018,185,4.81
42.5,-80.625,2018,185,3.53
42.5,-80,2018,185,2.94
41,-81.875,2018,186,7.69
41,-81.25,2018,186,7.42
41,-80.625,2018,186,8.56
41,-80,2018,186,8.4
41.5,-81.875,2018,186,12.01
41.5,-81.25,2018,186,18.98
41.5,-80.625,2018,186,17.17
41.5,-80,2018,186,10.09
42,-81.875,2018,186,3.34
42,-81.25,2018,186,10.28
42,-80.625,2018,186,5.2
42,-80,2018,186,6.99
42.5,-81.875,2018,186,0.85
42.5,-81.25,2018,186,0.43
42.5,-80.625,2018,186,2.47
42.5,-80,2018,186,1.54
41,-81.875,2018,187,9
