-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,PRECTOTCORR
41,-83.75,2018,179,0.09
41,-83.125,2018,179,0.24
41,-82.5,2018,179,0.34
41.5,-83.75,2018,179,0.13
41.5,-83.125,2018,179,0.37
41.5,-82.5,2018,179,1.61
42,-83.75,2018,179,0.05
42,-83.125,2018,179,1.46
42,-82.5,2018,179,6.42
42.5,-83.75,2018,179,0.08
42.5,-83.125,2018,179,3.02
42.5,-82.5,2018,179,12.23
41,-83.75,2018,180,0
41,-83.125,2018,180,0
41,-82.5,2018,180,0
41.5,-83.75,2018,180,0
41.5,-83.125,2018,180,0.02
41.5,-82.5,2018,180,0.06
42,-83.75,2018,180,0.01
42,-83.125,2018,180,0.09
42,-82.5,2018,180,0.3
42.5,-83.75,2018,180,0.01
42.5,-83.125,2018,180,0.22
42.5,-82.5,2018,180,0.79
41,-83.75,2018,181,0
41,-83.125,2018,181,0
41,-82.5,2018,181,0.01
41.5,-83.75,2018,181,0
41.5,-83.125,2018,181,0.04
41.5,-82.5,2018,181,0.18
42,-83.75,2018,181,0.01
42,-83.125,2018,181,0.22
42,-82.5,2018,181,1.07
42.5,-83.75,2018,181,0.02
42.5,-83.125,2018,181,0.52
42.5,-82.5,2018,181,2.69
41,-83.75,2018,182,0.23
41,-83.125,2018,182,0.19
41,-82.5,2018,182,0.06
41.5,-83.75,2018,182,0.51
41.5,-83.125,2018,182,0.43
41.5,-82.5,2018,182,0.15
42,-83.75,2018,182,0.32
42,-83.125,2018,182,0.33
42,-82.5,2018,182,0.11
42.5,-83.75,2018,182,0.21
42.5,-83.125,2018,182,0.29
42.5,-82.5,2018,182,0.1
41,-83.75,2018,183,0.9
41,-83.125,2018,183,3.44
41,-82.5,2018,183,3.99
41.5,-83.75,2018,183,0.4
41.5,-83.125,2018,183,1.21
41.5,-82.5,2018,183,2.16
42,-83.75,2018,183,0.32
42,-83.125,2018,183,0.69
42,-82.5,2018,183,1.13
42.5,-83.75,2018,183,0.21
42.5,-83.125,2018,183,0.55
42.5,-82.5,2018,183,0.83
41,-83.75,2018,184,3.59
41,-83.125,2018,184,4.76
