-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,QV2M,Scaling Factor,,2018 QV2M Avg
41,-81.875,2018,179,13.92,1.507278602,,9.235187166
41,-81.25,2018,179,13.35,1.445558142,,
41,-80.625,2018,179,13.49,1.460717553,,
41,-80,2018,179,13.9,1.505112972,,
41.5,-81.875,2018,179,13.75,1.488870745,,
41.5,-81.25,2018,179,12.86,1.392500203,,
41.5,-80.625,2018,179,13.11,1.41957058,,
41.5,-80,2018,179,13.43,1.454220663,,
42,-81.875,2018,179,13.38,1.448806587,,
42,-81.25,2018,179,13.11,1.41957058,,
42,-80.625,2018,179,13.07,1.41523932,,
42,-80,2018,179,13.24,1.433647176,,
42.5,-81.875,2018,179,13.04,1.411990874,,
42.5,-81.25,2018,179,12.87,1.393583018,,
42.5,-80.625,2018,179,13,1.407659614,,
42.5,-80,2018,179,13.54,1.466131629,,
41,-81.875,2018,180,14.9,1.613394481,,
41,-81.25,2018,180,13.85,1.499698896,,
41,-80.625,2018,180,13.45,1.456386293,,
41,-80,2018,180,14,1.515941123,,
41.5,-81.875,2018,180,15.65,1.694605612,,
41.5,-81.25,2018,180,14.3,1.548425575,,
41.5,-80.625,2018,180,13.53,1.465048814,,
41.5,-80,2018,180,13.52,1.463965998,,
42,-81.875,2018,180,15.54,1.682694646,,
42,-81.25,2018,180,15.27,1.653458639,,
42,-80.625,2018,180,13.89,1.504030157,,
42,-80,2018,180,13,1.407659614,,
42.5,-81.875,2018,180,15.28,1.654541454,,
42.5,-81.25,2018,180,14.81,1.603649145,,
42.5,-80.625,2018,180,14.3,1.548425575,,
42.5,-80,2018,180,13.65,1.478042595,,
41,-81.875,2018,181,15.81,1.711930654,,
41,-81.25,2018,181,14.49,1.568999062,,
41,-80.625,2018,181,13.95,1.510527047,,
41,-80,2018,181,14.32,1.550591205,,
41.5,-81.875,2018,181,16.53,1.78989334,,
41.5,-81.25,2018,181,15.36,1.663203975,,
41.5,-80.625,2018,181,14.71,1.592820994,,
41.5,-80,2018,181,14.96,1.619891371,,
