-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,QV2M,Scaling Factor,,2018 QV2M Avg
41,-83.75,2018,179,14.14,1.54794709,,9.134679144
41,-83.125,2018,179,14.29,1.564368028,,
41,-82.5,2018,179,14.27,1.56217857,,
41.5,-83.75,2018,179,14.16,1.550136548,,
41.5,-83.125,2018,179,14.36,1.572031132,,
41.5,-82.5,2018,179,14.2,1.554515465,,
42,-83.75,2018,179,14.26,1.56108384,,
42,-83.125,2018,179,14.36,1.572031132,,
42,-82.5,2018,179,13.76,1.50634738,,
42.5,-83.75,2018,179,14.21,1.555610194,,
42.5,-83.125,2018,179,14.05,1.538094527,,
42.5,-82.5,2018,179,13.47,1.474600234,,
41,-83.75,2018,180,16.03,1.754850909,,
41,-83.125,2018,180,15.77,1.72638795,,
41,-82.5,2018,180,15.43,1.689167157,,
41.5,-83.75,2018,180,16.2,1.773461305,,
41.5,-83.125,2018,180,16.24,1.777840222,,
41.5,-82.5,2018,180,16.09,1.761419284,,
42,-83.75,2018,180,16.17,1.770177118,,
42,-83.125,2018,180,16.27,1.78112441,,
42,-82.5,2018,180,15.91,1.741714159,,
42.5,-83.75,2018,180,15.8,1.729672137,,
42.5,-83.125,2018,180,15.74,1.723103762,,
42.5,-82.5,2018,180,15.55,1.702303907,,
41,-83.75,2018,181,17.65,1.93219704,,
41,-83.125,2018,181,17.05,1.866513287,,
41,-82.5,2018,181,16.69,1.827103036,,
41.5,-83.75,2018,181,18.02,1.97270202,,
41.5,-83.125,2018,181,17.66,1.933291769,,
41.5,-82.5,2018,181,17.29,1.892786788,,
42,-83.75,2018,181,18.13,1.984744041,,
42,-83.125,2018,181,17.97,1.967228374,,
42,-82.5,2018,181,17.5,1.915776102,,
42.5,-83.75,2018,181,18.17,1.989122958,,
42.5,-83.125,2018,181,18.04,1.974891478,,
42.5,-82.5,2018,181,17.97,1.967228374,,
41,-83.75,2018,182,18.1,1.981459854,,
41,-83.125,2018,182,17.34,1.898260434,,
41,-82.5,2018,182,16.6,1.817250473,,
41.5,-83.75,2018,182,18.43,2.017585917,,
41.5,-83.125,2018,182,17.93,1.962849457,,
41.5,-82.5,2018,182,17.2,1.882934226,,
42,-83.75,2018,182,18.46,2.020870105,,
42,-83.125,2018,182,18.27,2.00007025,,
42,-82.5,2018,182,17.53,1.919060289,,
42.5,-83.75,2018,182,18.43,2.017585917,,
42.5,-83.125,2018,182,18.34,2.007733354,,
42.5,-82.5,2018,182,17.83,1.951902165,,
41,-83.75,2018,183,17.97,1.967228374,,
41,-83.125,2018,183,18.23,1.995691333,,
41,-82.5,2018,183,18.4,2.01430173,,
41.5,-83.75,2018,183,17.08,1.869797475,,
41.5,-83.125,2018,183,17.75,1.943144332,,
41.5,-82.5,2018,183,17.99,1.969417832,,
42,-83.75,2018,183,15.71,1.719819575,,
42,-83.125,2018,183,16.64,1.82162939,,
42,-82.5,2018,183,17.25,1.888407872,,
42.5,-83.75,2018,183,14.66,1.604873008,,
42.5,-83.125,2018,183,15.53,1.700114449,,
42.5,-82.5,2018,183,16.45,1.800829535,,
41,-83.75,2018,184,18.05,1.975986208,,
41,-83.125,2018,184,18.23,1.995691333,,
41,-82.5,2018,184,18.11,1.982554583,,
41.5,-83.75,2018,184,17.9,1.95956527,,
41.5,-83.125,2018,184,18.08,1.979270395,,
41.5,-82.5,2018,184,17.97,1.967228374,,
42,-83.75,2018,184,15.92,1.742808888,,
42,-83.125,2018,184,16.23,1.776745493,,
42,-82.5,2018,184,15.94,1.744998346,,
42.5,-83.75,2018,184,14.87,1.627862322,,
42.5,-83.125,2018,184,14.46,1.582978424,,
42.5,-82.5,2018,184,13.97,1.529336694,,
41,-83.75,2018,185,17.7,1.937670686,,
41,-83.125,2018,185,17.7,1.937670686,,
41,-82.5,2018,185,17.25,1.888407872,,
41.5,-83.75,2018,185,18.03,1.973796749,,
41.5,-83.125,2018,185,17.96,1.966133645,,
41.5,-82.5,2018,185,17.57,1.923439206,,
42,-83.75,2018,185,17.92,1.961754728,,
42,-83.125,2018,185,18.02,1.97270202,,
42,-82.5,2018,185,17.51,1.916870831,,
42.5,-83.75,2018,185,17.17,1.879650038,,
42.5,-83.125,2018,185,17.01,1.862134371,,
42.5,-82.5,2018,185,16.78,1.836955599,,
41,-83.75,2018,186,18.56,2.031817397,,
41,-83.125,2018,186,18.63,2.039480501,,
41,-82.5,2018,186,18.57,2.032912126,,
41.5,-83.75,2018,186,18.6,2.036196314,,
41.5,-83.125,2018,186,18.84,2.062469814,,
41.5,-82.5,2018,186,18.96,2.075606565,,
42,-83.75,2018,186,18.13,1.984744041,,
42,-83.125,2018,186,18.61,2.037291043,,
42,-82.5,2018,186,18.69,2.046048876,,
42.5,-83.75,2018,186,17.81,1.949712707,,
42.5,-83.125,2018,186,18.11,1.982554583,,
42.5,-82.5,2018,186,18.23,1.995691333,,
41,-83.75,2018,187,10.71,1.172454974,,
41,-83.125,2018,187,10.67,1.168076057,,
41,-82.5,2018,187,11.28,1.234854539,,
41.5,-83.75,2018,187,9.82,1.075024075,,
41.5,-83.125,2018,187,10.29,1.126476348,,
41.5,-82.5,2018,187,11.25,1.231570351,,
42,-83.75,2018,187,9.05,0.9907299268,,
42,-83.125,2018,187,9.88,1.08159245,,
42,-82.5,2018,187,10.44,1.142897286,,
42.5,-83.75,2018,187,8.5,0.9305198207,,
42.5,-83.125,2018,187,8.7,0.9524144048,,
42.5,-82.5,2018,187,9.1,0.9962035728,,
41,-83.75,2018,188,9.46,1.035613824,,
41,-83.125,2018,188,9.5,1.039992741,,
41,-82.5,2018,188,9.5,1.039992741,,
41.5,-83.75,2018,188,9.26,1.01371924,,
41.5,-83.125,2018,188,9.69,1.060792596,,
41.5,-82.5,2018,188,9.98,1.092539742,,
42,-83.75,2018,188,8.69,0.9513196756,,
42,-83.125,2018,188,9.54,1.044371658,,
42,-82.5,2018,188,9.57,1.047655845,,
42.5,-83.75,2018,188,8.34,0.9130041535,,
42.5,-83.125,2018,188,8.72,0.9546038632,,
42.5,-82.5,2018,188,8.78,0.9611722384,,
41,-83.75,2018,189,10.3,1.127571077,,
41,-83.125,2018,189,10.4,1.138518369,,
41,-82.5,2018,189,10.27,1.124286889,,
41.5,-83.75,2018,189,10.75,1.176833891,,
41.5,-83.125,2018,189,10.96,1.199823204,,
41.5,-82.5,2018,189,10.62,1.162602411,,
42,-83.75,2018,189,10.23,1.119907972,,
42,-83.125,2018,189,10.73,1.174644433,,
42,-82.5,2018,189,10.71,1.172454974,,
42.5,-83.75,2018,189,10.33,1.130855265,,
42.5,-83.125,2018,189,10.93,1.196539017,,
42.5,-82.5,2018,189,10.89,1.1921601,,
41,-83.75,2018,190,13.2,1.445042545,,
41,-83.125,2018,190,13.3,1.455989837,,
41,-82.5,2018,190,13.21,1.446137274,,
41.5,-83.75,2018,190,12.97,1.419863774,,
41.5,-83.125,2018,190,13.57,1.485547526,,
41.5,-82.5,2018,190,14.21,1.555610194,,
42,-83.75,2018,190,12.33,1.349801105,,
42,-83.125,2018,190,13.54,1.482263338,,
42,-82.5,2018,190,14.23,1.557799653,,
42.5,-83.75,2018,190,11.9,1.302727749,,
42.5,-83.125,2018,190,12.51,1.36950623,,
42.5,-82.5,2018,190,13.04,1.427526878,,
41,-83.75,2018,191,15.65,1.713251199,,
41,-83.125,2018,191,15.06,1.648662177,,
41,-82.5,2018,191,14.62,1.600494092,,
41.5,-83.75,2018,191,14.92,1.633335968,,
41.5,-83.125,2018,191,14.45,1.581883695,,
41.5,-82.5,2018,191,14.42,1.578599508,,
42,-83.75,2018,191,13.04,1.427526878,,
42,-83.125,2018,191,13.29,1.454895108,,
42,-82.5,2018,191,13.37,1.463652942,,
42.5,-83.75,2018,191,11.62,1.272075331,,
42.5,-83.125,2018,191,11.72,1.283022623,,
42.5,-82.5,2018,191,11.77,1.288496269,,
41,-83.75,2018,192,10.99,1.203107392,,
