-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD10M
41,-81.875,2018,179,306.4
41,-81.25,2018,179,303.6
41,-80.625,2018,179,297.2
41,-80,2018,179,295.2
41.5,-81.875,2018,179,299.7
41.5,-81.25,2018,179,296.9
41.5,-80.625,2018,179,295.6
41.5,-80,2018,179,292.3
42,-81.875,2018,179,284.5
42,-81.25,2018,179,277.2
42,-80.625,2018,179,270.1
42,-80,2018,179,268.7
42.5,-81.875,2018,179,293.2
42.5,-81.25,2018,179,278.5
42.5,-80.625,2018,179,266.3
42.5,-80,2018,179,256.5
41,-81.875,2018,180,218.1
41,-81.25,2018,180,224.4
41,-80.625,2018,180,219.7
41,-80,2018,180,218.1
41.5,-81.875,2018,180,226.9
41.5,-81.25,2018,180,236.6
41.5,-80.625,2018,180,225.8
41.5,-80,2018,180,223.4
42,-81.875,2018,180,223.8
42,-81.25,2018,180,234.1
42,-80.625,2018,180,231
42,-80,2018,180,229.9
42.5,-81.875,2018,180,213.3
42.5,-81.25,2018,180,218.5
42.5,-80.625,2018,180,225.9
42.5,-80,2018,180,228.2
41,-81.875,2018,181,205.7
41,-81.25,2018,181,204.2
41,-80.625,2018,181,205.6
41,-80,2018,181,203
41.5,-81.875,2018,181,209.2
41.5,-81.25,2018,181,212
41.5,-80.625,2018,181,210.1
41.5,-80,2018,181,206.4
42,-81.875,2018,181,212.5
42,-81.25,2018,181,215.3
42,-80.625,2018,181,214.6
42,-80,2018,181,209.8
42.5,-81.875,2018,181,215
42.5,-81.25,2018,181,218.3
42.5,-80.625,2018,181,222.9
42.5,-80,2018,181,216.5
41,-81.875,2018,182,187
41,-81.25,2018,182,184.6
41,-80.625,2018,182,183.8
41,-80,2018,182,184.3
41.5,-81.875,2018,182,191.9
41.5,-81.25,2018,182,190.9
41.5,-80.625,2018,182,182
41.5,-80,2018,182,181.3
42,-81.875,2018,182,197.1
42,-81.25,2018,182,199.4
42,-80.625,2018,182,189.7
42,-80,2018,182,185.3
42.5,-81.875,2018,182,196.8
42.5,-81.25,2018,182,204.1
42.5,-80.625,2018,182,203.4
42.5,-80,2018,182,197.5
41,-81.875,2018,183,206.1
41,-81.25,2018,183,202.3
41,-80.625,2018,183,198.6
41,-80,2018,183,190.1
41.5,-81.875,2018,183,213.2
41.5,-81.25,2018,183,213.2
41.5,-80.625,2018,183,199.8
41.5,-80,2018,183,189
42,-81.875,2018,183,223.2
42,-81.25,2018,183,224.3
42,-80.625,2018,183,215.4
42,-80,2018,183,200.8
42.5,-81.875,2018,183,248.5
42.5,-81.25,2018,183,234.7
42.5,-80.625,2018,183,231.8
42.5,-80,2018,183,217.8
41,-81.875,2018,184,110.6
41,-81.25,2018,184,121
41,-80.625,2018,184,131.5
41,-80,2018,184,148.8
41.5,-81.875,2018,184,78.2
41.5,-81.25,2018,184,90.2
41.5,-80.625,2018,184,107.8
41.5,-80,2018,184,117.6
42,-81.875,2018,184,69.6
42,-81.25,2018,184,63.6
42,-80.625,2018,184,70.1
42,-80,2018,184,75.4
42.5,-81.875,2018,184,88.7
42.5,-81.25,2018,184,75.5
42.5,-80.625,2018,184,70.8
42.5,-80,2018,184,66.3
41,-81.875,2018,185,234.6
41,-81.25,2018,185,248
41,-80.625,2018,185,221.9
41,-80,2018,185,160.9
41.5,-81.875,2018,185,207.5
41.5,-81.25,2018,185,278.4
41.5,-80.625,2018,185,114.7
41.5,-80,2018,185,144
42,-81.875,2018,185,129.7
42,-81.25,2018,185,116.3
42,-80.625,2018,185,100.3
42,-80,2018,185,125.6
42.5,-81.875,2018,185,120.9
42.5,-81.25,2018,185,116.6
42.5,-80.625,2018,185,101.2
42.5,-80,2018,185,106.3
41,-81.875,2018,186,240.2
41,-81.25,2018,186,239
41,-80.625,2018,186,233.1
41,-80,2018,186,210.7
41.5,-81.875,2018,186,236.3
41.5,-81.25,2018,186,230.6
41.5,-80.625,2018,186,220.5
41.5,-80,2018,186,207.9
42,-81.875,2018,186,238.5
42,-81.25,2018,186,228
42,-80.625,2018,186,225.7
42,-80,2018,186,217.2
42.5,-81.875,2018,186,247.5
42.5,-81.25,2018,186,235.7
42.5,-80.625,2018,186,235.9
42.5,-80,2018,186,228.7
41,-81.875,2018,187,3
41,-81.25,2018,187,356.1
41,-80.625,2018,187,348.7
41,-80,2018,187,344.8
41.5,-81.875,2018,187,6.7
41.5,-81.25,2018,187,359.5
41.5,-80.625,2018,187,349.9
41.5,-80,2018,187,346.3
42,-81.875,2018,187,3.5
42,-81.25,2018,187,1.8
42,-80.625,2018,187,358.9
42,-80,2018,187,354.9
42.5,-81.875,2018,187,356.4
42.5,-81.25,2018,187,356
42.5,-80.625,2018,187,357.4
42.5,-80,2018,187,356.2
41,-81.875,2018,188,72.6
41,-81.25,2018,188,78.6
41,-80.625,2018,188,80.4
41,-80,2018,188,78.4
41.5,-81.875,2018,188,66.1
41.5,-81.25,2018,188,72.9
41.5,-80.625,2018,188,83.8
41.5,-80,2018,188,83.4
42,-81.875,2018,188,68.5
42,-81.25,2018,188,68.2
42,-80.625,2018,188,73.5
42,-80,2018,188,77.3
42.5,-81.875,2018,188,90.4
42.5,-81.25,2018,188,80
42.5,-80.625,2018,188,75.5
42.5,-80,2018,188,71.3
41,-81.875,2018,189,145.8
41,-81.25,2018,189,147.2
41,-80.625,2018,189,137.8
41,-80,2018,189,139.3
41.5,-81.875,2018,189,143.3
41.5,-81.25,2018,189,148.3
41.5,-80.625,2018,189,145.4
41.5,-80,2018,189,148
42,-81.875,2018,189,147.6
42,-81.25,2018,189,146.9
42,-80.625,2018,189,158.5
42,-80,2018,189,162.9
42.5,-81.875,2018,189,169
42.5,-81.25,2018,189,169.8
42.5,-80.625,2018,189,177.7
42.5,-80,2018,189,182.6
41,-81.875,2018,190,254
41,-81.25,2018,190,253.4
41,-80.625,2018,190,245.5
41,-80,2018,190,229.4
41.5,-81.875,2018,190,246.1
41.5,-81.25,2018,190,246.7
41.5,-80.625,2018,190,240.7
41.5,-80,2018,190,230.7
42,-81.875,2018,190,242.5
42,-81.25,2018,190,234.9
42,-80.625,2018,190,229.7
42,-80,2018,190,224.3
42.5,-81.875,2018,190,246
42.5,-81.25,2018,190,238
42.5,-80.625,2018,190,232.8
42.5,-80,2018,190,224.7
41,-81.875,2018,191,312.9
41,-81.25,2018,191,303.4
41,-80.625,2018,191,298.3
41,-80,2018,191,297.6
41.5,-81.875,2018,191,321.9
41.5,-81.25,2018,191,304.9
41.5,-80.625,2018,191,299.7
41.5,-80,2018,191,294.8
42,-81.875,2018,191,331.1
42,-81.25,2018,191,311.6
42,-80.625,2018,191,298.4
42,-80,2018,191,285
42.5,-81.875,2018,191,337.2
42.5,-81.25,2018,191,321.8
42.5,-80.625,2018,191,307.2
42.5,-80,2018,191,292.2
41,-81.875,2018,192,17.6
41,-81.25,2018,192,16.3
41,-80.625,2018,192,16.5
41,-80,2018,192,15.6
41.5,-81.875,2018,192,22.1
41.5,-81.25,2018,192,19.2
41.5,-80.625,2018,192,19.2
41.5,-80,2018,192,18.2
42,-81.875,2018,192,19.5
42,-81.25,2018,192,18.8
42,-80.625,2018,192,33.1
42,-80,2018,192,26.4
42.5,-81.875,2018,192,7.3
42.5,-81.25,2018,192,16.8
42.5,-80.625,2018,192,38
42.5,-80,2018,192,33.8
41,-81.875,2018,193,73.9
41,-81.25,2018,193,84
41,-80.625,2018,193,82.7
41,-80,2018,193,79.8
41.5,-81.875,2018,193,75.1
41.5,-81.25,2018,193,85.3
41.5,-80.625,2018,193,94.1
41.5,-80,2018,193,91.1
42,-81.875,2018,193,88.6
42,-81.25,2018,193,92.3
42,-80.625,2018,193,99
42,-80,2018,193,93.3
42.5,-81.875,2018,193,130.7
42.5,-81.25,2018,193,125.3
42.5,-80.625,2018,193,112.7
42.5,-80,2018,193,95.9
41,-81.875,2018,194,180.8
41,-81.25,2018,194,182.8
41,-80.625,2018,194,172.3
41,-80,2018,194,156.4
41.5,-81.875,2018,194,183.2
41.5,-81.25,2018,194,190
41.5,-80.625,2018,194,157.4
41.5,-80,2018,194,156.1
42,-81.875,2018,194,186.7
42,-81.25,2018,194,192.4
42,-80.625,2018,194,172.7
42,-80,2018,194,168.2
42.5,-81.875,2018,194,201.7
42.5,-81.25,2018,194,198.4
42.5,-80.625,2018,194,197.4
42.5,-80,2018,194,191.8
41,-81.875,2018,195,223
41,-81.25,2018,195,222.6
41,-80.625,2018,195,205.4
41,-80,2018,195,195.2
41.5,-81.875,2018,195,219.9
41.5,-81.25,2018,195,225.4
41.5,-80.625,2018,195,212.8
41.5,-80,2018,195,195
42,-81.875,2018,195,219.9
42,-81.25,2018,195,220
42,-80.625,2018,195,219.2
42,-80,2018,195,209.2
42.5,-81.875,2018,195,240.5
42.5,-81.25,2018,195,232.2
42.5,-80.625,2018,195,231.7
42.5,-80,2018,195,224.6
41,-81.875,2018,196,241.7
41,-81.25,2018,196,244.6
41,-80.625,2018,196,223.5
41,-80,2018,196,214.4
41.5,-81.875,2018,196,151.5
41.5,-81.25,2018,196,292
41.5,-80.625,2018,196,329.3
41.5,-80,2018,196,231.6
42,-81.875,2018,196,132.9
42,-81.25,2018,196,293.6
42,-80.625,2018,196,276.9
42,-80,2018,196,255
42.5,-81.875,2018,196,242.4
42.5,-81.25,2018,196,231.8
42.5,-80.625,2018,196,233.9
42.5,-80,2018,196,239.6
41,-81.875,2018,197,217.2
41,-81.25,2018,197,212.8
41,-80.625,2018,197,208.6
41,-80,2018,197,200.7
41.5,-81.875,2018,197,219.5
41.5,-81.25,2018,197,218.5
41.5,-80.625,2018,197,211.9
41.5,-80,2018,197,202.9
42,-81.875,2018,197,218.5
42,-81.25,2018,197,215.1
42,-80.625,2018,197,213.1
42,-80,2018,197,209.5
42.5,-81.875,2018,197,222.1
42.5,-81.25,2018,197,217.3
42.5,-80.625,2018,197,218.3
42.5,-80,2018,197,216.2
41,-81.875,2018,198,336.9
41,-81.25,2018,198,330.4
