-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD10M
42,-79.375,2018,179,281
42,-78.75,2018,179,287.5
42,-78.125,2018,179,289.1
42.5,-79.375,2018,179,256.6
42.5,-78.75,2018,179,277.4
42.5,-78.125,2018,179,282.2
43,-79.375,2018,179,270.9
43,-78.75,2018,179,272.8
43,-78.125,2018,179,277.2
43.5,-79.375,2018,179,298.1
43.5,-78.75,2018,179,280.2
43.5,-78.125,2018,179,263.8
42,-79.375,2018,180,246.5
42,-78.75,2018,180,265.5
42,-78.125,2018,180,277.3
42.5,-79.375,2018,180,230.6
42.5,-78.75,2018,180,243.1
42.5,-78.125,2018,180,256.9
43,-79.375,2018,180,236.2
43,-78.75,2018,180,243.6
43,-78.125,2018,180,259.6
43.5,-79.375,2018,180,238.1
43.5,-78.75,2018,180,245.7
43.5,-78.125,2018,180,250.5
42,-79.375,2018,181,211.7
42,-78.75,2018,181,220.9
42,-78.125,2018,181,230
42.5,-79.375,2018,181,209.7
42.5,-78.75,2018,181,214.7
42.5,-78.125,2018,181,223.3
43,-79.375,2018,181,221.9
43,-78.75,2018,181,220
43,-78.125,2018,181,225.2
43.5,-79.375,2018,181,229.7
43.5,-78.75,2018,181,228.1
43.5,-78.125,2018,181,232.4
42,-79.375,2018,182,191.8
42,-78.75,2018,182,202.5
42,-78.125,2018,182,212.5
42.5,-79.375,2018,182,195
42.5,-78.75,2018,182,199.5
42.5,-78.125,2018,182,211.7
43,-79.375,2018,182,208
43,-78.75,2018,182,208.8
43,-78.125,2018,182,217.8
43.5,-79.375,2018,182,216.3
43.5,-78.75,2018,182,221.2
43.5,-78.125,2018,182,237.1
42,-79.375,2018,183,193.4
42,-78.75,2018,183,201.5
42,-78.125,2018,183,212.3
42.5,-79.375,2018,183,203.9
42.5,-78.75,2018,183,203.9
42.5,-78.125,2018,183,213.1
43,-79.375,2018,183,222.2
43,-78.75,2018,183,216.2
43,-78.125,2018,183,218.8
43.5,-79.375,2018,183,238.1
43.5,-78.75,2018,183,231.4
43.5,-78.125,2018,183,231.2
42,-79.375,2018,184,80.4
42,-78.75,2018,184,66.1
42,-78.125,2018,184,45.3
42.5,-79.375,2018,184,68.4
42.5,-78.75,2018,184,70
42.5,-78.125,2018,184,38.6
43,-79.375,2018,184,57.7
43,-78.75,2018,184,53.9
43,-78.125,2018,184,43.5
43.5,-79.375,2018,184,58.9
43.5,-78.75,2018,184,52.4
43.5,-78.125,2018,184,37.8
42,-79.375,2018,185,144.9
42,-78.75,2018,185,137.5
42,-78.125,2018,185,125
42.5,-79.375,2018,185,130
42.5,-78.75,2018,185,145.5
42.5,-78.125,2018,185,150.3
43,-79.375,2018,185,93.2
43,-78.75,2018,185,97
43,-78.125,2018,185,113.3
43.5,-79.375,2018,185,84.1
43.5,-78.75,2018,185,84.5
43.5,-78.125,2018,185,79.9
42,-79.375,2018,186,214.3
42,-78.75,2018,186,214.9
42,-78.125,2018,186,214.7
42.5,-79.375,2018,186,221.6
42.5,-78.75,2018,186,218.8
42.5,-78.125,2018,186,219.6
43,-79.375,2018,186,231
43,-78.75,2018,186,230
43,-78.125,2018,186,232.4
43.5,-79.375,2018,186,231.4
43.5,-78.75,2018,186,234.1
43.5,-78.125,2018,186,242.3
42,-79.375,2018,187,339.6
42,-78.75,2018,187,327.9
42,-78.125,2018,187,320.9
42.5,-79.375,2018,187,346.1
42.5,-78.75,2018,187,327.3
42.5,-78.125,2018,187,317.2
43,-79.375,2018,187,339.3
43,-78.75,2018,187,327.5
43,-78.125,2018,187,314.4
43.5,-79.375,2018,187,333.8
43.5,-78.75,2018,187,325.7
43.5,-78.125,2018,187,314
42,-79.375,2018,188,86.8
42,-78.75,2018,188,88.3
42,-78.125,2018,188,83.9
42.5,-79.375,2018,188,71
42.5,-78.75,2018,188,83.3
42.5,-78.125,2018,188,82.4
43,-79.375,2018,188,58.4
43,-78.75,2018,188,55.4
43,-78.125,2018,188,65.6
43.5,-79.375,2018,188,83.5
43.5,-78.75,2018,188,57.9
43.5,-78.125,2018,188,56.1
42,-79.375,2018,189,166.7
42,-78.75,2018,189,172.8
42,-78.125,2018,189,181.1
42.5,-79.375,2018,189,182.9
42.5,-78.75,2018,189,184.3
42.5,-78.125,2018,189,195.3
43,-79.375,2018,189,203.4
43,-78.75,2018,189,205.6
43,-78.125,2018,189,207.1
43.5,-79.375,2018,189,210.3
43.5,-78.75,2018,189,212.9
43.5,-78.125,2018,189,211.7
42,-79.375,2018,190,226.2
42,-78.75,2018,190,229.5
42,-78.125,2018,190,236
42.5,-79.375,2018,190,218.6
42.5,-78.75,2018,190,222.5
42.5,-78.125,2018,190,230.8
43,-79.375,2018,190,227.5
43,-78.75,2018,190,225.3
43,-78.125,2018,190,233.9
43.5,-79.375,2018,190,236.9
43.5,-78.75,2018,190,231.3
43.5,-78.125,2018,190,234.3
42,-79.375,2018,191,281.4
42,-78.75,2018,191,282.3
42,-78.125,2018,191,281.4
42.5,-79.375,2018,191,275.2
42.5,-78.75,2018,191,276.9
42.5,-78.125,2018,191,276.6
43,-79.375,2018,191,302.2
43,-78.75,2018,191,291.4
43,-78.125,2018,191,285.8
43.5,-79.375,2018,191,316.2
43.5,-78.75,2018,191,297.6
43.5,-78.125,2018,191,277.5
42,-79.375,2018,192,17
42,-78.75,2018,192,14.8
42,-78.125,2018,192,16.4
42.5,-79.375,2018,192,21.6
42.5,-78.75,2018,192,21.1
42.5,-78.125,2018,192,23.8
43,-79.375,2018,192,28.8
43,-78.75,2018,192,32.4
43,-78.125,2018,192,35
43.5,-79.375,2018,192,19.1
43.5,-78.75,2018,192,60
43.5,-78.125,2018,192,45.8
42,-79.375,2018,193,97.4
42,-78.75,2018,193,86.3
42,-78.125,2018,193,72.7
42.5,-79.375,2018,193,109.8
42.5,-78.75,2018,193,108.3
42.5,-78.125,2018,193,80.4
43,-79.375,2018,193,310.4
43,-78.75,2018,193,313.6
43,-78.125,2018,193,96
43.5,-79.375,2018,193,276.7
43.5,-78.75,2018,193,237.6
43.5,-78.125,2018,193,226.7
42,-79.375,2018,194,174.2
42,-78.75,2018,194,179.3
42,-78.125,2018,194,186
42.5,-79.375,2018,194,191.6
42.5,-78.75,2018,194,192.6
42.5,-78.125,2018,194,196.9
43,-79.375,2018,194,212.1
43,-78.75,2018,194,208.6
43,-78.125,2018,194,205.9
43.5,-79.375,2018,194,211.2
43.5,-78.75,2018,194,203.1
43.5,-78.125,2018,194,164.3
42,-79.375,2018,195,214.9
42,-78.75,2018,195,224.4
42,-78.125,2018,195,234.8
42.5,-79.375,2018,195,221.9
42.5,-78.75,2018,195,228.8
42.5,-78.125,2018,195,236.6
43,-79.375,2018,195,237.6
43,-78.75,2018,195,238.7
43,-78.125,2018,195,249.6
43.5,-79.375,2018,195,246.4
43.5,-78.75,2018,195,242.8
43.5,-78.125,2018,195,247.5
42,-79.375,2018,196,251.7
42,-78.75,2018,196,250.9
42,-78.125,2018,196,253.8
42.5,-79.375,2018,196,251.2
42.5,-78.75,2018,196,252.3
42.5,-78.125,2018,196,257.5
43,-79.375,2018,196,249.4
43,-78.75,2018,196,274.3
43,-78.125,2018,196,302
43.5,-79.375,2018,196,103.7
43.5,-78.75,2018,196,203.1
43.5,-78.125,2018,196,264.8
42,-79.375,2018,197,206.9
42,-78.75,2018,197,208.6
42,-78.125,2018,197,216.7
42.5,-79.375,2018,197,214.8
42.5,-78.75,2018,197,213.7
42.5,-78.125,2018,197,219.4
43,-79.375,2018,197,223.4
43,-78.75,2018,197,224.6
43,-78.125,2018,197,231.9
43.5,-79.375,2018,197,224.5
43.5,-78.75,2018,197,218.7
43.5,-78.125,2018,197,212.3
42,-79.375,2018,198,310.1
42,-78.75,2018,198,304.5
42,-78.125,2018,198,297.4
42.5,-79.375,2018,198,309.7
42.5,-78.75,2018,198,306.9
42.5,-78.125,2018,198,297.1
43,-79.375,2018,198,317.6
43,-78.75,2018,198,311.8
43,-78.125,2018,198,300.5
43.5,-79.375,2018,198,318.1
43.5,-78.75,2018,198,308.1
43.5,-78.125,2018,198,293.5
42,-79.375,2018,199,343.2
42,-78.75,2018,199,344.9
42,-78.125,2018,199,345.4
42.5,-79.375,2018,199,332.1
42.5,-78.75,2018,199,343.4
42.5,-78.125,2018,199,358.4
43,-79.375,2018,199,11.6
43,-78.75,2018,199,9.7
43,-78.125,2018,199,13.7
43.5,-79.375,2018,199,37.3
43.5,-78.75,2018,199,42.2
43.5,-78.125,2018,199,22.8
42,-79.375,2018,200,146
42,-78.75,2018,200,144.3
42,-78.125,2018,200,148.2
42.5,-79.375,2018,200,189.4
42.5,-78.75,2018,200,178
42.5,-78.125,2018,200,182.1
43,-79.375,2018,200,184.5
43,-78.75,2018,200,195.8
43,-78.125,2018,200,183.7
43.5,-79.375,2018,200,92
43.5,-78.75,2018,200,91.7
43.5,-78.125,2018,200,74.8
42,-79.375,2018,201,152.7
42,-78.75,2018,201,156.2
42,-78.125,2018,201,160.7
42.5,-79.375,2018,201,151.8
42.5,-78.75,2018,201,156.3
42.5,-78.125,2018,201,164
43,-79.375,2018,201,153.8
43,-78.75,2018,201,155.8
43,-78.125,2018,201,159.8
43.5,-79.375,2018,201,139.8
43.5,-78.75,2018,201,132.5
43.5,-78.125,2018,201,141.9
42,-79.375,2018,202,138.9
42,-78.75,2018,202,137
42,-78.125,2018,202,135.9
42.5,-79.375,2018,202,139.7
42.5,-78.75,2018,202,141.6
42.5,-78.125,2018,202,143.8
43,-79.375,2018,202,134.5
43,-78.75,2018,202,134.8
43,-78.125,2018,202,135.3
43.5,-79.375,2018,202,110
43.5,-78.75,2018,202,110.4
43.5,-78.125,2018,202,119.6
42,-79.375,2018,203,164
42,-78.75,2018,203,156.5
42,-78.125,2018,203,143.9
42.5,-79.375,2018,203,116.7
42.5,-78.75,2018,203,134.5
42.5,-78.125,2018,203,135.5
43,-79.375,2018,203,93.5
43,-78.75,2018,203,104.5
43,-78.125,2018,203,118.3
43.5,-79.375,2018,203,80.7
43.5,-78.75,2018,203,81.2
43.5,-78.125,2018,203,86.7
42,-79.375,2018,204,135.2
42,-78.75,2018,204,136.6
42,-78.125,2018,204,141.9
42.5,-79.375,2018,204,130.5
42.5,-78.75,2018,204,136.8
42.5,-78.125,2018,204,143.3
43,-79.375,2018,204,125.5
43,-78.75,2018,204,130.7
43,-78.125,2018,204,137.2
43.5,-79.375,2018,204,113.2
43.5,-78.75,2018,204,116.8
43.5,-78.125,2018,204,124.9
42,-79.375,2018,205,154.7
42,-78.75,2018,205,153.5
42,-78.125,2018,205,157.5
42.5,-79.375,2018,205,163.6
42.5,-78.75,2018,205,157.9
42.5,-78.125,2018,205,163.7
43,-79.375,2018,205,172.3
43,-78.75,2018,205,162
43,-78.125,2018,205,159.3
43.5,-79.375,2018,205,172.4
43.5,-78.75,2018,205,156.6
43.5,-78.125,2018,205,153.4
42,-79.375,2018,206,279
42,-78.75,2018,206,261
42,-78.125,2018,206,241.3
42.5,-79.375,2018,206,264.1
42.5,-78.75,2018,206,252.2
42.5,-78.125,2018,206,242.9
43,-79.375,2018,206,282.2
43,-78.75,2018,206,258
43,-78.125,2018,206,242.9
43.5,-79.375,2018,206,304.9
43.5,-78.75,2018,206,265.8
43.5,-78.125,2018,206,237.8
42,-79.375,2018,207,236
42,-78.75,2018,207,234.7
42,-78.125,2018,207,238.8
42.5,-79.375,2018,207,229.4
42.5,-78.75,2018,207,230.7
42.5,-78.125,2018,207,235.6
43,-79.375,2018,207,230.8
43,-78.75,2018,207,230
43,-78.125,2018,207,237.2
43.5,-79.375,2018,207,234.1
43.5,-78.75,2018,207,232
43.5,-78.125,2018,207,242.1
42,-79.375,2018,208,255.5
42,-78.75,2018,208,252.5
42,-78.125,2018,208,247.3
42.5,-79.375,2018,208,243.5
42.5,-78.75,2018,208,240.7
42.5,-78.125,2018,208,241.2
43,-79.375,2018,208,243.7
43,-78.75,2018,208,239.6
43,-78.125,2018,208,240.3
43.5,-79.375,2018,208,251.3
43.5,-78.75,2018,208,243
43.5,-78.125,2018,208,237.7
42,-79.375,2018,209,271.8
42,-78.75,2018,209,268
42,-78.125,2018,209,265.1
42.5,-79.375,2018,209,261.8
42.5,-78.75,2018,209,257.9
42.5,-78.125,2018,209,255
43,-79.375,2018,209,265.3
43,-78.75,2018,209,258.4
43,-78.125,2018,209,256.4
43.5,-79.375,2018,209,276.7
43.5,-78.75,2018,209,265.2
43.5,-78.125,2018,209,256.5
42,-79.375,2018,210,234.2
42,-78.75,2018,210,238.3
42,-78.125,2018,210,253.1
42.5,-79.375,2018,210,245
42.5,-78.75,2018,210,246.4
42.5,-78.125,2018,210,248.4
43,-79.375,2018,210,245.1
43,-78.75,2018,210,257.7
43,-78.125,2018,210,264.3
43.5,-79.375,2018,210,237.2
43.5,-78.75,2018,210,249.4
43.5,-78.125,2018,210,275.5
42,-79.375,2018,211,139.2
42,-78.75,2018,211,145
42,-78.125,2018,211,153.1
42.5,-79.375,2018,211,146.3
42.5,-78.75,2018,211,154.8
42.5,-78.125,2018,211,166
43,-79.375,2018,211,156.2
43,-78.75,2018,211,163.3
43,-78.125,2018,211,172.7
43.5,-79.375,2018,211,171.8
