-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,WS10M,MC Avg (μg/L),,2018 MC Avg
41,-83.75,2018,179,2.47,0.1405530151,,4.391341355
41,-83.125,2018,179,2.61,0.1696241506,,
41,-82.5,2018,179,2.94,0.2545704279,,
41.5,-83.75,2018,179,2.89,0.2401072091,,
41.5,-83.125,2018,179,2.94,0.2545704279,,
41.5,-82.5,2018,179,3.2,0.3398638572,,
42,-83.75,2018,179,3.27,0.3658907181,,
42,-83.125,2018,179,3.17,0.329121035,,
42,-82.5,2018,179,3.55,0.4841971622,,
42.5,-83.75,2018,179,3.46,0.4436015478,,
42.5,-83.125,2018,179,3.27,0.3658907181,,
42.5,-82.5,2018,179,3.46,0.4436015478,,
41,-83.75,2018,180,3.23,0.350852162,,
41,-83.125,2018,180,3.22,0.3471619174,,
41,-82.5,2018,180,2.9,0.2429521399,,
41.5,-83.75,2018,180,3.26,0.3620892006,,
41.5,-83.125,2018,180,3.47,0.4479887055,,
41.5,-82.5,2018,180,3.35,0.397325417,,
42,-83.75,2018,180,3.36,0.4013844022,,
42,-83.125,2018,180,3.51,0.4658443398,,
42,-82.5,2018,180,3.29,0.3735782367,,
42.5,-83.75,2018,180,3.58,0.4982928743,,
42.5,-83.125,2018,180,3.61,0.5126761501,,
42.5,-82.5,2018,180,3.37,0.4054726056,,
41,-83.75,2018,181,3.52,0.4703856219,,
41,-83.125,2018,181,3.66,0.5372965563,,
41,-82.5,2018,181,3.6,0.5078495635,,
41.5,-83.75,2018,181,3.81,0.6161659896,,
41.5,-83.125,2018,181,4.25,0.8944371052,,
41.5,-82.5,2018,181,4.66,1.224445704,,
42,-83.75,2018,181,4.13,0.8112098811,,
42,-83.125,2018,181,4.55,1.128658141,,
42,-82.5,2018,181,4.95,1.504344437,,
42.5,-83.75,2018,181,4.28,0.9161504689,,
42.5,-83.125,2018,181,4.34,0.9606905828,,
42.5,-82.5,2018,181,4.54,1.120221785,,
41,-83.75,2018,182,4.28,0.9161504689,,
41,-83.125,2018,182,4.17,0.838315514,,
41,-82.5,2018,182,3.78,0.5997780851,,
41.5,-83.75,2018,182,4.36,0.9758711619,,
41.5,-83.125,2018,182,4.52,1.103482928,,
41.5,-82.5,2018,182,4.52,1.103482928,,
42,-83.75,2018,182,4.55,1.128658141,,
42,-83.125,2018,182,4.64,1.206618194,,
42,-82.5,2018,182,4.59,1.162852989,,
42.5,-83.75,2018,182,4.78,1.335342536,,
42.5,-83.125,2018,182,4.58,1.154236585,,
42.5,-82.5,2018,182,4.4,1.006739671,,
41,-83.75,2018,183,2.36,0.1203298807,,
41,-83.125,2018,183,2.59,0.1652326056,,
41,-82.5,2018,183,3.02,0.2789762495,,
41.5,-83.75,2018,183,3.03,0.2821388677,,
41.5,-83.125,2018,183,2.88,0.2372859037,,
41.5,-82.5,2018,183,3.08,0.29833314,,
42,-83.75,2018,183,3.31,0.3813792099,,
42,-83.125,2018,183,3.39,0.4137371579,,
42,-82.5,2018,183,3.49,0.4568548732,,
42.5,-83.75,2018,183,3.32,0.3853225461,,
42.5,-83.125,2018,183,3.47,0.4479887055,,
42.5,-82.5,2018,183,3.68,0.5473745707,,
41,-83.75,2018,184,2.21,0.09618806964,,
41,-83.125,2018,184,1.65,0.03551107386,,
41,-82.5,2018,184,1.63,0.03406459947,,
41.5,-83.75,2018,184,3.41,0.4221200571,,
41.5,-83.125,2018,184,3.36,0.4013844022,,
41.5,-82.5,2018,184,3.16,0.3255940858,,
42,-83.75,2018,184,3.77,0.5943846156,,
42,-83.125,2018,184,4.2,0.8590602739,,
42,-82.5,2018,184,4.28,0.9161504689,,
42.5,-83.75,2018,184,3.13,0.315173538,,
42.5,-83.125,2018,184,3.15,0.3220939329,,
42.5,-82.5,2018,184,3.35,0.397325417,,
41,-83.75,2018,185,1.35,0.01791355191,,
41,-83.125,2018,185,1.24,0.01340637929,,
41,-82.5,2018,185,1.24,0.01340637929,,
41.5,-83.75,2018,185,1.42,0.02128368439,,
41.5,-83.125,2018,185,1.04,0.007359143014,,
41.5,-82.5,2018,185,1.03,0.007120631188,,
42,-83.75,2018,185,1.92,0.05953889165,,
42,-83.125,2018,185,1.71,0.04011070472,,
42,-82.5,2018,185,1.47,0.02394945679,,
42.5,-83.75,2018,185,2.19,0.09325196403,,
42.5,-83.125,2018,185,2.12,0.08347354191,,
42.5,-82.5,2018,185,2.08,0.07822391142,,
41,-83.75,2018,186,3.16,0.3255940858,,
41,-83.125,2018,186,3.03,0.2821388677,,
41,-82.5,2018,186,2.99,0.2696387518,,
41.5,-83.75,2018,186,3.73,0.5731531352,,
41.5,-83.125,2018,186,3.89,0.661411431,,
41.5,-82.5,2018,186,3.92,0.6789675906,,
42,-83.75,2018,186,4.25,0.8944371052,,
42,-83.125,2018,186,4.38,0.991220494,,
42,-82.5,2018,186,4.13,0.8112098811,,
42.5,-83.75,2018,186,4.48,1.070536757,,
42.5,-83.125,2018,186,4.37,0.9835246656,,
42.5,-82.5,2018,186,4.08,0.7782062457,,
41,-83.75,2018,187,5.46,2.101698758,,
41,-83.125,2018,187,5.75,2.50732659,,
41,-82.5,2018,187,5.96,2.833565797,,
41.5,-83.75,2018,187,5.63,2.333335467,,
41.5,-83.125,2018,187,6.67,4.159227248,,
41.5,-82.5,2018,187,7.65,6.637874694,,
42,-83.75,2018,187,5.97,2.849810781,,
42,-83.125,2018,187,7.43,6.009182735,,
42,-82.5,2018,187,8.3,8.765967394,,
42.5,-83.75,2018,187,5.54,2.208573483,,
42.5,-83.125,2018,187,6.23,3.295700933,,
42.5,-82.5,2018,187,7.16,5.296597387,,
41,-83.75,2018,188,3.89,0.661411431,,
41,-83.125,2018,188,3.97,0.7089558394,,
41,-82.5,2018,188,3.96,0.7028847809,,
41.5,-83.75,2018,188,3.74,0.5784099023,,
41.5,-83.125,2018,188,4.4,1.006739671,,
41.5,-82.5,2018,188,5.09,1.654440655,,
42,-83.75,2018,188,3.7,0.5575854532,,
42,-83.125,2018,188,4.47,1.062410147,,
42,-82.5,2018,188,4.87,1.423040675,,
42.5,-83.75,2018,188,3.11,0.3083588963,,
42.5,-83.125,2018,188,3.13,0.315173538,,
42.5,-82.5,2018,188,3.28,0.3697203563,,
41,-83.75,2018,189,1.89,0.05642587574,,
41,-83.125,2018,189,1.91,0.0584880764,,
41,-82.5,2018,189,1.95,0.06277136614,,
41.5,-83.75,2018,189,1.83,0.05054774336,,
41.5,-83.125,2018,189,2.29,0.1085881791,,
41.5,-82.5,2018,189,2.35,0.1186000757,,
42,-83.75,2018,189,2.25,0.1022553272,,
42,-83.125,2018,189,2.86,0.231713709,,
42,-82.5,2018,189,2.62,0.171850563,,
42.5,-83.75,2018,189,2.48,0.1425029279,,
42.5,-83.125,2018,189,2.64,0.1763652208,,
42.5,-82.5,2018,189,2.69,0.1880177411,,
41,-83.75,2018,190,3.36,0.4013844022,,
41,-83.125,2018,190,3.26,0.3620892006,,
41,-82.5,2018,190,3.24,0.3545700435,,
41.5,-83.75,2018,190,3.54,0.479561908,,
41.5,-83.125,2018,190,3.78,0.5997780851,,
41.5,-82.5,2018,190,3.92,0.6789675906,,
42,-83.75,2018,190,3.91,0.6730793995,,
42,-83.125,2018,190,4.13,0.8112098811,,
42,-82.5,2018,190,4.14,0.8179273287,,
42.5,-83.75,2018,190,4.12,0.8045315181,,
42.5,-83.125,2018,190,4.05,0.7588661569,,
42.5,-82.5,2018,190,4.03,0.7461630917,,
41,-83.75,2018,191,3.61,0.5126761501,,
41,-83.125,2018,191,3.65,0.5323070568,,
41,-82.5,2018,191,3.74,0.5784099023,,
41.5,-83.75,2018,191,3.32,0.3853225461,,
41.5,-83.125,2018,191,3.87,0.6498871451,,
41.5,-82.5,2018,191,4.49,1.078707203,,
42,-83.75,2018,191,3.69,0.5524633398,,
42,-83.125,2018,191,4.36,0.9758711619,,
42,-82.5,2018,191,4.7,1.260657905,,
42.5,-83.75,2018,191,3.84,0.6328678458,,
42.5,-83.125,2018,191,4.05,0.7588661569,,
42.5,-82.5,2018,191,4.49,1.078707203,,
41,-83.75,2018,192,3.22,0.3471619174,,
41,-83.125,2018,192,3.46,0.4436015478,,
41,-82.5,2018,192,3.75,0.5837006526,,
41.5,-83.75,2018,192,2.96,0.2605243318,,
41.5,-83.125,2018,192,3.51,0.4658443398,,
41.5,-82.5,2018,192,4.14,0.8179273287,,
42,-83.75,2018,192,2.93,0.2516298399,,
42,-83.125,2018,192,3.56,0.488863991,,
42,-82.5,2018,192,3.96,0.7028847809,,
42.5,-83.75,2018,192,2.84,0.2262346362,,
42.5,-83.125,2018,192,3.08,0.29833314,,
42.5,-82.5,2018,192,3.54,0.479561908,,
41,-83.75,2018,193,2.33,0.1151933071,,
41,-83.125,2018,193,2.3,0.1102136732,,
41,-82.5,2018,193,2.36,0.1203298807,,
41.5,-83.75,2018,193,2.04,0.07321202626,,
41.5,-83.125,2018,193,2.31,0.1118562891,,
41.5,-82.5,2018,193,2.6,0.1674182016,,
42,-83.75,2018,193,2.27,0.1053881374,,
42,-83.125,2018,193,2.63,0.1740975495,,
42,-82.5,2018,193,2.64,0.1763652208,,
42.5,-83.75,2018,193,2.4,0.1274277134,,
42.5,-83.125,2018,193,2.63,0.1740975495,,
42.5,-82.5,2018,193,2.87,0.2344881087,,
41,-83.75,2018,194,1.69,0.03853339005,,
41,-83.125,2018,194,1.79,0.04687835802,,
41,-82.5,2018,194,1.64,0.03478252274,,
41.5,-83.75,2018,194,1.93,0.06060297994,,
41.5,-83.125,2018,194,2.02,0.07079322965,,
41.5,-82.5,2018,194,2.1,0.0808186052,,
42,-83.75,2018,194,2.58,0.1630672523,,
42,-83.125,2018,194,2.41,0.1292473571,,
42,-82.5,2018,194,2.34,0.1168879198,,
42.5,-83.75,2018,194,3.19,0.3362558008,,
42.5,-83.125,2018,194,2.84,0.2262346362,,
42.5,-82.5,2018,194,2.83,0.2235297339,,
41,-83.75,2018,195,2.01,0.06960526828,,
41,-83.125,2018,195,2.05,0.07444306094,,
41,-82.5,2018,195,2.42,0.1310852884,,
41.5,-83.75,2018,195,2.6,0.1674182016,,
41.5,-83.125,2018,195,2.76,0.2052312667,,
41.5,-82.5,2018,195,2.82,0.2208477684,,
42,-83.75,2018,195,2.56,0.1587968333,,
42,-83.125,2018,195,2.63,0.1740975495,,
42,-82.5,2018,195,2.61,0.1696241506,,
42.5,-83.75,2018,195,2.27,0.1053881374,,
42.5,-83.125,2018,195,2.27,0.1053881374,,
42.5,-82.5,2018,195,2.46,0.1386220353,,
41,-83.75,2018,196,2.26,0.1038133805,,
41,-83.125,2018,196,2.01,0.06960526828,,
41,-82.5,2018,196,1.78,0.04599130828,,
41.5,-83.75,2018,196,2.14,0.08618953209,,
41.5,-83.125,2018,196,1.64,0.03478252274,,
41.5,-82.5,2018,196,1.29,0.01534102819,,
42,-83.75,2018,196,1.61,0.03266027169,,
42,-83.125,2018,196,1.74,0.04256145757,,
42,-82.5,2018,196,1.42,0.02128368439,,
42.5,-83.75,2018,196,1.46,0.02339843411,,
42.5,-83.125,2018,196,1.46,0.02339843411,,
42.5,-82.5,2018,196,1.41,0.02077689907,,
41,-83.75,2018,197,2.32,0.113516132,,
41,-83.125,2018,197,2.51,0.1484673463,,
41,-82.5,2018,197,2.94,0.2545704279,,
41.5,-83.75,2018,197,2.51,0.1484673463,,
41.5,-83.125,2018,197,2.97,0.26353788,,
41.5,-82.5,2018,197,3.67,0.5423190186,,
42,-83.75,2018,197,3.1,0.3049909354,,
42,-83.125,2018,197,3.36,0.4013844022,,
42,-82.5,2018,197,3.75,0.5837006526,,
42.5,-83.75,2018,197,3.37,0.4054726056,,
42.5,-83.125,2018,197,3.26,0.3620892006,,
42.5,-82.5,2018,197,3.28,0.3697203563,,
41,-83.75,2018,198,3.97,0.7089558394,,
41,-83.125,2018,198,3.83,0.6272654616,,
41,-82.5,2018,198,4.03,0.7461630917,,
41.5,-83.75,2018,198,4.11,0.7978921062,,
41.5,-83.125,2018,198,4.3,0.9308313237,,
41.5,-82.5,2018,198,4.96,1.51473295,,
42,-83.75,2018,198,4.48,1.070536757,,
42,-83.125,2018,198,4.9,1.453155831,,
42,-82.5,2018,198,5.35,1.960784895,,
42.5,-83.75,2018,198,4.2,0.8590602739,,
42.5,-83.125,2018,198,4.21,0.8660550585,,
42.5,-82.5,2018,198,4.73,1.288309015,,
41,-83.75,2018,199,2.51,0.1484673463,,
41,-83.125,2018,199,2.76,0.2052312667,,
41,-82.5,2018,199,2.91,0.2458208117,,
41.5,-83.75,2018,199,2.41,0.1292473571,,
41.5,-83.125,2018,199,3.04,0.2853267411,,
41.5,-82.5,2018,199,3.24,0.3545700435,,
42,-83.75,2018,199,2.22,0.09768034813,,
42,-83.125,2018,199,3.02,0.2789762495,,
42,-82.5,2018,199,3.13,0.315173538,,
42.5,-83.75,2018,199,2.07,0.07694890319,,
42.5,-83.125,2018,199,2.32,0.113516132,,
42.5,-82.5,2018,199,2.91,0.2458208117,,
41,-83.75,2018,200,3.15,0.3220939329,,
41,-83.125,2018,200,2.76,0.2052312667,,
41,-82.5,2018,200,2.49,0.1444718817,,
41.5,-83.75,2018,200,3.08,0.29833314,,
41.5,-83.125,2018,200,3.26,0.3620892006,,
41.5,-82.5,2018,200,3.1,0.3049909354,,
42,-83.75,2018,200,3.66,0.5372965563,,
42,-83.125,2018,200,4.06,0.7652746553,,
42,-82.5,2018,200,3.53,0.4749581029,,
42.5,-83.75,2018,200,3.85,0.6385055014,,
42.5,-83.125,2018,200,3.57,0.4935625199,,
42.5,-82.5,2018,200,3.18,0.3326749,,
41,-83.75,2018,201,5.91,2.753321117,,
41,-83.125,2018,201,5.78,2.552216341,,
41,-82.5,2018,201,5.4,2.023980281,,
41.5,-83.75,2018,201,5.89,2.721677801,,
41.5,-83.125,2018,201,6.39,3.593366231,,
41.5,-82.5,2018,201,6.77,4.375734027,,
42,-83.75,2018,201,5.98,2.866121476,,
42,-83.125,2018,201,6.88,4.622959942,,
42,-82.5,2018,201,6.65,4.116853061,,
42.5,-83.75,2018,201,6.17,3.188716913,,
42.5,-83.125,2018,201,5.77,2.537190513,,
42.5,-82.5,2018,201,5.22,1.803017621,,
41,-83.75,2018,202,3.19,0.3362558008,,
41,-83.125,2018,202,3.23,0.350852162,,
41,-82.5,2018,202,3.88,0.6556313928,,
41.5,-83.75,2018,202,3.22,0.3471619174,,
41.5,-83.125,2018,202,3.71,0.5627410385,,
41.5,-82.5,2018,202,5.18,1.756337753,,
42,-83.75,2018,202,3.56,0.488863991,,
42,-83.125,2018,202,4.38,0.991220494,,
42,-82.5,2018,202,6.08,3.032876746,,
42.5,-83.75,2018,202,3.7,0.5575854532,,
42.5,-83.125,2018,202,4.27,0.9088717606,,
42.5,-82.5,2018,202,5.68,2.404758014,,
41,-83.75,2018,203,4.16,0.8314800114,,
41,-83.125,2018,203,4.21,0.8660550585,,
41,-82.5,2018,203,4.21,0.8660550585,,
41.5,-83.75,2018,203,4.11,0.7978921062,,
41.5,-83.125,2018,203,4.54,1.120221785,,
41.5,-82.5,2018,203,4.98,1.535661918,,
42,-83.75,2018,203,4.24,0.8872808879,,
42,-83.125,2018,203,4.84,1.393369305,,
42,-82.5,2018,203,5.08,1.643383093,,
42.5,-83.75,2018,203,4.07,0.7717213073,,
42.5,-83.125,2018,203,4.16,0.8314800114,,
42.5,-82.5,2018,203,4.39,0.9989587837,,
41,-83.75,2018,204,1.3,0.01575035646,,
41,-83.125,2018,204,1.24,0.01340637929,,
41,-82.5,2018,204,1.15,0.01036867332,,
41.5,-83.75,2018,204,0.89,0.0043267667,,
41.5,-83.125,2018,204,1.63,0.03406459947,,
41.5,-82.5,2018,204,1.54,0.02806656179,,
42,-83.75,2018,204,1.09,0.008637099324,,
42,-83.125,2018,204,1.35,0.01791355191,,
42,-82.5,2018,204,1.63,0.03406459947,,
42.5,-83.75,2018,204,1.49,0.02507891429,,
42.5,-83.125,2018,204,1.35,0.01791355191,,
42.5,-82.5,2018,204,1.64,0.03478252274,,
41,-83.75,2018,205,1.87,0.0544156015,,
41,-83.125,2018,205,2,0.06843146555,,
41,-82.5,2018,205,2.04,0.07321202626,,
41.5,-83.75,2018,205,1.85,0.05245648061,,
41.5,-83.125,2018,205,1.57,0.02997515038,,
41.5,-82.5,2018,205,1.76,0.04425290171,,
42,-83.75,2018,205,1.87,0.0544156015,,
42,-83.125,2018,205,1.63,0.03406459947,,
42,-82.5,2018,205,1.81,0.04868862346,,
42.5,-83.75,2018,205,2.2,0.094711976,,
42.5,-83.125,2018,205,2.16,0.08896738944,,
42.5,-82.5,2018,205,2.28,0.1069797021,,
41,-83.75,2018,206,3.22,0.3471619174,,
41,-83.125,2018,206,2.81,0.2181886257,,
41,-82.5,2018,206,2.5,0.146459985,,
41.5,-83.75,2018,206,3.31,0.3813792099,,
41.5,-83.125,2018,206,2.65,0.178653688,,
41.5,-82.5,2018,206,2.62,0.171850563,,
42,-83.75,2018,206,3.31,0.3813792099,,
42,-83.125,2018,206,2.64,0.1763652208,,
42,-82.5,2018,206,2.5,0.146459985,,
42.5,-83.75,2018,206,3.14,0.3186204567,,
42.5,-83.125,2018,206,2.77,0.2077780033,,
42.5,-82.5,2018,206,2.74,0.2002041036,,
41,-83.75,2018,207,4.26,0.9016340177,,
41,-83.125,2018,207,4.22,0.8730899993,,
41,-82.5,2018,207,4.26,0.9016340177,,
41.5,-83.75,2018,207,4.84,1.393369305,,
41.5,-83.125,2018,207,5.18,1.756337753,,
41.5,-82.5,2018,207,5.62,2.319233054,,
42,-83.75,2018,207,5.19,1.767926665,,
42,-83.125,2018,207,5.61,2.305190986,,
42,-82.5,2018,207,5.76,2.522227313,,
42.5,-83.75,2018,207,5.14,1.710518563,,
42.5,-83.125,2018,207,5.01,1.567437386,,
42.5,-82.5,2018,207,4.83,1.383576802,,
41,-83.75,2018,208,3.71,0.5627410385,,
41,-83.125,2018,208,3.52,0.4703856219,,
41,-82.5,2018,208,3.34,0.3932955275,,
41.5,-83.75,2018,208,4.08,0.7782062457,,
41.5,-83.125,2018,208,4.34,0.9606905828,,
41.5,-82.5,2018,208,4.48,1.070536757,,
42,-83.75,2018,208,4.41,1.014563294,,
42,-83.125,2018,208,4.79,1.344892763,,
42,-82.5,2018,208,4.77,1.325840339,,
42.5,-83.75,2018,208,4.34,0.9606905828,,
42.5,-83.125,2018,208,4.23,0.8801652309,,
42.5,-82.5,2018,208,4.18,0.8451906359,,
41,-83.75,2018,209,2.4,0.1274277134,,
41,-83.125,2018,209,2.48,0.1425029279,,
41,-82.5,2018,209,2.73,0.1977234512,,
41.5,-83.75,2018,209,2.94,0.2545704279,,
41.5,-83.125,2018,209,3.3,0.3774644807,,
41.5,-82.5,2018,209,3.7,0.5575854532,,
42,-83.75,2018,209,3.26,0.3620892006,,
42,-83.125,2018,209,3.46,0.4436015478,,
42,-82.5,2018,209,3.74,0.5784099023,,
42.5,-83.75,2018,209,3.33,0.3892946113,,
42.5,-83.125,2018,209,3.32,0.3853225461,,
42.5,-82.5,2018,209,3.62,0.5175350664,,
41,-83.75,2018,210,1.02,0.006887635275,,
41,-83.125,2018,210,1.51,0.02624550576,,
41,-82.5,2018,210,1.98,0.06612593939,,
41.5,-83.75,2018,210,1.95,0.06277136614,,
41.5,-83.125,2018,210,2.15,0.08757067639,,
41.5,-82.5,2018,210,2.7,0.1904118584,,
42,-83.75,2018,210,2.04,0.07321202626,,
42,-83.125,2018,210,2.3,0.1102136732,,
42,-82.5,2018,210,2.54,0.154606066,,
42.5,-83.75,2018,210,1.33,0.01702462881,,
42.5,-83.125,2018,210,1.7,0.0393164573,,
42.5,-82.5,2018,210,1.94,0.06168043884,,
41,-83.75,2018,211,1.43,0.02179914417,,
41,-83.125,2018,211,1.61,0.03266027169,,
41,-82.5,2018,211,1.9,0.05745043682,,
41.5,-83.75,2018,211,1.02,0.006887635275,,
41.5,-83.125,2018,211,1.5,0.02565752432,,
41.5,-82.5,2018,211,1.75,0.04340135634,,
42,-83.75,2018,211,1.66,0.03625034433,,
42,-83.125,2018,211,1.59,0.0312973632,,
42,-82.5,2018,211,1.55,0.02869291334,,
42.5,-83.75,2018,211,1.44,0.02232336467,,
42.5,-83.125,2018,211,1.36,0.01837008786,,
42.5,-82.5,2018,211,1.5,0.02565752432,,
41,-83.75,2018,212,3.22,0.3471619174,,
41,-83.125,2018,212,4.04,0.7524956798,,
41,-82.5,2018,212,4.42,1.022429789,,
41.5,-83.75,2018,212,3.68,0.5473745707,,
41.5,-83.125,2018,212,4.38,0.991220494,,
41.5,-82.5,2018,212,5,1.556794436,,
42,-83.75,2018,212,3.71,0.5627410385,,
42,-83.125,2018,212,4.05,0.7588661569,,
42,-82.5,2018,212,4.56,1.137139301,,
42.5,-83.75,2018,212,3.29,0.3735782367,,
42.5,-83.125,2018,212,3.24,0.3545700435,,
42.5,-82.5,2018,212,3.2,0.3398638572,,
41,-83.75,2018,213,2.03,0.07199544911,,
41,-83.125,2018,213,2.51,0.1484673463,,
41,-82.5,2018,213,3.56,0.488863991,,
41.5,-83.75,2018,213,2.57,0.1609220315,,
41.5,-83.125,2018,213,3.18,0.3326749,,
41.5,-82.5,2018,213,4.62,1.188974917,,
42,-83.75,2018,213,3.32,0.3853225461,,
42,-83.125,2018,213,3.8,0.6106686433,,
42,-82.5,2018,213,4.9,1.453155831,,
42.5,-83.75,2018,213,3.59,0.5030551803,,
42.5,-83.125,2018,213,3.63,0.5224264386,,
42.5,-82.5,2018,213,3.91,0.6730793995,,
41,-83.75,2018,214,2.37,0.1220774407,,
41,-83.125,2018,214,2.19,0.09325196403,,
41,-82.5,2018,214,2.09,0.07951377848,,
41.5,-83.75,2018,214,3.05,0.2885399871,,
41.5,-83.125,2018,214,2.97,0.26353788,,
41.5,-82.5,2018,214,3.08,0.29833314,,
42,-83.75,2018,214,3.85,0.6385055014,,
42,-83.125,2018,214,3.81,0.6161659896,,
42,-82.5,2018,214,3.7,0.5575854532,,
42.5,-83.75,2018,214,4.22,0.8730899993,,
42.5,-83.125,2018,214,3.93,0.6848920935,,
42.5,-82.5,2018,214,3.81,0.6161659896,,
41,-83.75,2018,215,2.84,0.2262346362,,
41,-83.125,2018,215,2.94,0.2545704279,,
41,-82.5,2018,215,2.66,0.1809630623,,
41.5,-83.75,2018,215,2.87,0.2344881087,,
41.5,-83.125,2018,215,2.97,0.26353788,,
41.5,-82.5,2018,215,3.07,0.2950430686,,
42,-83.75,2018,215,2.88,0.2372859037,,
42,-83.125,2018,215,2.91,0.2458208117,,
42,-82.5,2018,215,3.21,0.3434991893,,
42.5,-83.75,2018,215,2.36,0.1203298807,,
42.5,-83.125,2018,215,2.46,0.1386220353,,
42.5,-82.5,2018,215,3.02,0.2789762495,,
41,-83.75,2018,216,1.68,0.03776141037,,
41,-83.125,2018,216,1.8,0.04777743148,,
41,-82.5,2018,216,2.15,0.08757067639,,
41.5,-83.75,2018,216,1.61,0.03266027169,,
41.5,-83.125,2018,216,1.66,0.03625034433,,
41.5,-82.5,2018,216,2.35,0.1186000757,,
42,-83.75,2018,216,2.05,0.07444306094,,
42,-83.125,2018,216,2.3,0.1102136732,,
42,-82.5,2018,216,2.43,0.1329416145,,
42.5,-83.75,2018,216,2.14,0.08618953209,,
42.5,-83.125,2018,216,1.99,0.06727172226,,
42.5,-82.5,2018,216,1.89,0.05642587574,,
41,-83.75,2018,217,3.77,0.5943846156,,
41,-83.125,2018,217,3.74,0.5784099023,,
41,-82.5,2018,217,3.59,0.5030551803,,
41.5,-83.75,2018,217,4.1,0.7912915122,,
41.5,-83.125,2018,217,4.24,0.8872808879,,
41.5,-82.5,2018,217,4.34,0.9606905828,,
42,-83.75,2018,217,4.52,1.103482928,,
42,-83.125,2018,217,4.55,1.128658141,,
42,-82.5,2018,217,4.55,1.128658141,,
42.5,-83.75,2018,217,4.92,1.473481055,,
42.5,-83.125,2018,217,4.52,1.103482928,,
42.5,-82.5,2018,217,4.41,1.014563294,,
41,-83.75,2018,218,4.36,0.9758711619,,
41,-83.125,2018,218,4.53,1.111830094,,
41,-82.5,2018,218,4.32,0.9456776662,,
41.5,-83.75,2018,218,4.28,0.9161504689,,
41.5,-83.125,2018,218,4.55,1.128658141,,
41.5,-82.5,2018,218,4.92,1.473481055,,
42,-83.75,2018,218,3.61,0.5126761501,,
42,-83.125,2018,218,4.09,0.7847296031,,
42,-82.5,2018,218,4.46,1.054327232,,
42.5,-83.75,2018,218,3.59,0.5030551803,,
42.5,-83.125,2018,218,3.47,0.4479887055,,
42.5,-82.5,2018,218,3.73,0.5731531352,,
41,-83.75,2018,219,2.11,0.0821384926,,
41,-83.125,2018,219,2.62,0.171850563,,
41,-82.5,2018,219,3.2,0.3398638572,,
41.5,-83.75,2018,219,2.11,0.0821384926,,
41.5,-83.125,2018,219,2.77,0.2077780033,,
41.5,-82.5,2018,219,3.7,0.5575854532,,
42,-83.75,2018,219,2.38,0.1238428619,,
42,-83.125,2018,219,3.29,0.3735782367,,
42,-82.5,2018,219,3.93,0.6848920935,,
42.5,-83.75,2018,219,1.96,0.06387585983,,
42.5,-83.125,2018,219,2.44,0.1348164427,,
42.5,-82.5,2018,219,2.78,0.210346994,,
41,-83.75,2018,220,4,0.7273913402,,
41,-83.125,2018,220,4.13,0.8112098811,,
41,-82.5,2018,220,4.04,0.7524956798,,
41.5,-83.75,2018,220,3.52,0.4703856219,,
41.5,-83.125,2018,220,4.01,0.7336110538,,
41.5,-82.5,2018,220,4.31,0.9382337411,,
42,-83.75,2018,220,3.37,0.4054726056,,
42,-83.125,2018,220,3.44,0.4349184635,,
42,-82.5,2018,220,3.87,0.6498871451,,
