-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data,,,,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,,,,
Location: Regional,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,
parameter(s):,,,,,,,
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s),,,,,,,
-END HEADER-,,,,,,,
LAT,LON,YEAR,DOY,WS2M,MC Avg (μg/L),,2018 MC Avg
41,-81.875,2018,179,2.23,0.6945373737,,2.481580882
41,-81.25,2018,179,0.88,0.02915157002,,
41,-80.625,2018,179,0.1,0.00001753783733,,
41,-80,2018,179,0.1,0.00001753783733,,
41.5,-81.875,2018,179,2.91,1.721278444,,
41.5,-81.25,2018,179,0.69,0.01271895518,,
41.5,-80.625,2018,179,0.22,0.0002580104992,,
41.5,-80,2018,179,0.08,0.000008194319497,,
42,-81.875,2018,179,3.6,3.556047595,,
42,-81.25,2018,179,3.92,4.754244645,,
42,-80.625,2018,179,2.07,0.538809092,,
42,-80,2018,179,1.15,0.07260318501,,
42.5,-81.875,2018,179,2.85,1.603234353,,
42.5,-81.25,2018,179,3.77,4.161980506,,
42.5,-80.625,2018,179,4.15,5.774575278,,
42.5,-80,2018,179,3.19,2.354519365,,
41,-81.875,2018,180,1.49,0.175606753,,
41,-81.25,2018,180,0.58,0.007035022577,,
41,-80.625,2018,180,0.17,0.0001071042882,,
41,-80,2018,180,0.19,0.0001565041351,,
41.5,-81.875,2018,180,2.1,0.5659053927,,
41.5,-81.25,2018,180,0.44,0.002742519122,,
41.5,-80.625,2018,180,0.23,0.00030023959,,
41.5,-80,2018,180,0.2,0.0001864182053,,
42,-81.875,2018,180,2.05,0.5212627654,,
42,-81.25,2018,180,1.85,0.3673090521,,
42,-80.625,2018,180,1.12,0.06634519804,,
42,-80,2018,180,0.73,0.01541370314,,
42.5,-81.875,2018,180,2.05,0.5212627654,,
42.5,-81.25,2018,180,1.91,0.4095432947,,
42.5,-80.625,2018,180,2.3,0.7717345759,,
42.5,-80,2018,180,1.96,0.4472694555,,
41,-81.875,2018,181,1.87,0.3810271442,,
41,-81.25,2018,181,0.62,0.008831443578,,
41,-80.625,2018,181,0.04,0.0000007709045481,,
41,-80,2018,181,0.11,0.00002427309155,,
41.5,-81.875,2018,181,3.07,2.06594092,,
41.5,-81.25,2018,181,0.52,0.00484783064,,
41.5,-80.625,2018,181,0.14,0.00005524241284,,
41.5,-80,2018,181,0.04,0.0000007709045481,,
42,-81.875,2018,181,3.92,4.754244645,,
42,-81.25,2018,181,3.33,2.725905988,,
42,-80.625,2018,181,1.7,0.2753004108,,
42,-80,2018,181,0.87,0.0280373323,,
42.5,-81.875,2018,181,3.24,2.482758756,,
42.5,-81.25,2018,181,3.76,4.124455181,,
