-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,PRECTOTCORR
42,-79.375,2025,179,4.52
42,-78.75,2025,179,2.32
42,-78.125,2025,179,2.15
42.5,-79.375,2025,179,5.42
42.5,-78.75,2025,179,2
42.5,-78.125,2025,179,1.14
43,-79.375,2025,179,2.06
43,-78.75,2025,179,1.81
43,-78.125,2025,179,1.39
43.5,-79.375,2025,179,0.88
43.5,-78.75,2025,179,1.5
43.5,-78.125,2025,179,2.13
42,-79.375,2025,180,0.01
42,-78.75,2025,180,0.04
42,-78.125,2025,180,0.13
42.5,-79.375,2025,180,0.01
42.5,-78.75,2025,180,0.01
42.5,-78.125,2025,180,0.04
43,-79.375,2025,180,0.01
43,-78.75,2025,180,0.04
43,-78.125,2025,180,0.01
43.5,-79.375,2025,180,0.07
43.5,-78.75,2025,180,0.25
43.5,-78.125,2025,180,0.32
42,-79.375,2025,181,7.44
42,-78.75,2025,181,4.31
42,-78.125,2025,181,5.13
42.5,-79.375,2025,181,3.01
42.5,-78.75,2025,181,4.75
42.5,-78.125,2025,181,3.2
43,-79.375,2025,181,3.66
43,-78.75,2025,181,5.53
43,-78.125,2025,181,4.33
43.5,-79.375,2025,181,3.39
43.5,-78.75,2025,181,3.03
43.5,-78.125,2025,181,1.5
42,-79.375,2025,182,1.71
42,-78.75,2025,182,1.54
42,-78.125,2025,182,2.44
42.5,-79.375,2025,182,5.51
42.5,-78.75,2025,182,2.42
42.5,-78.125,2025,182,3.17
43,-79.375,2025,182,2.76
43,-78.75,2025,182,3.24
43,-78.125,2025,182,4.63
43.5,-79.375,2025,182,1.27
43.5,-78.75,2025,182,3.99
43.5,-78.125,2025,182,5.21
42,-79.375,2025,183,0.07
42,-78.75,2025,183,0.02
42,-78.125,2025,183,0.01
42.5,-79.375,2025,183,0.08
42.5,-78.75,2025,183,0.06
42.5,-78.125,2025,183,0.02
43,-79.375,2025,183,0.31
43,-78.75,2025,183,0.29
43,-78.125,2025,183,0.15
43.5,-79.375,2025,183,0.45
43.5,-78.75,2025,183,1.11
43.5,-78.125,2025,183,1.2
42,-79.375,2025,184,1.48
42,-78.75,2025,184,0.87
42,-78.125,2025,184,0.72
42.5,-79.375,2025,184,2.86
42.5,-78.75,2025,184,2.86
42.5,-78.125,2025,184,2.25
43,-79.375,2025,184,2.04
43,-78.75,2025,184,3.26
43,-78.125,2025,184,3.14
43.5,-79.375,2025,184,0.8
43.5,-78.75,2025,184,2.57
43.5,-78.125,2025,184,2.97
42,-79.375,2025,185,0.01
42,-78.75,2025,185,0
42,-78.125,2025,185,0
42.5,-79.375,2025,185,0.09
42.5,-78.75,2025,185,0.03
42.5,-78.125,2025,185,0.05
43,-79.375,2025,185,0.17
43,-78.75,2025,185,0.1
43,-78.125,2025,185,0.14
43.5,-79.375,2025,185,0.38
43.5,-78.75,2025,185,0.45
43.5,-78.125,2025,185,0.32
42,-79.375,2025,186,0.16
42,-78.75,2025,186,0.08
42,-78.125,2025,186,0.05
42.5,-79.375,2025,186,0.52
42.5,-78.75,2025,186,0.02
42.5,-78.125,2025,186,0.03
43,-79.375,2025,186,0.74
43,-78.75,2025,186,0.08
43,-78.125,2025,186,0.01
43.5,-79.375,2025,186,0.77
43.5,-78.75,2025,186,0.31
43.5,-78.125,2025,186,0.24
42,-79.375,2025,187,0
42,-78.75,2025,187,0
42,-78.125,2025,187,0
42.5,-79.375,2025,187,0
42.5,-78.75,2025,187,0
42.5,-78.125,2025,187,0
43,-79.375,2025,187,0.01
43,-78.75,2025,187,0
43,-78.125,2025,187,0
43.5,-79.375,2025,187,0.05
43.5,-78.75,2025,187,0
43.5,-78.125,2025,187,0
42,-79.375,2025,188,3.27
42,-78.75,2025,188,3.77
42,-78.125,2025,188,3.7
42.5,-79.375,2025,188,1.31
42.5,-78.75,2025,188,3.05
42.5,-78.125,2025,188,2.76
43,-79.375,2025,188,0.62
43,-78.75,2025,188,1.91
43,-78.125,2025,188,2.35
43.5,-79.375,2025,188,0.62
43.5,-78.75,2025,188,0.62
43.5,-78.125,2025,188,0.36
42,-79.375,2025,189,1.17
42,-78.75,2025,189,2.37
42,-78.125,2025,189,2.82
42.5,-79.375,2025,189,1.2
42.5,-78.75,2025,189,2.27
42.5,-78.125,2025,189,2.13
43,-79.375,2025,189,0.69
43,-78.75,2025,189,1.79
43,-78.125,2025,189,1.78
43.5,-79.375,2025,189,1.07
43.5,-78.75,2025,189,2.17
43.5,-78.125,2025,189,2.69
42,-79.375,2025,190,0.55
42,-78.75,2025,190,0.23
42,-78.125,2025,190,0.2
42.5,-79.375,2025,190,0.46
42.5,-78.75,2025,190,0.2
42.5,-78.125,2025,190,0.41
43,-79.375,2025,190,1.04
