-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,QV2M
41,-81.875,2025,179,16.99
41,-81.25,2025,179,16.97
41,-80.625,2025,179,17.19
41,-80,2025,179,17.3
41.5,-81.875,2025,179,16.52
41.5,-81.25,2025,179,16.11
41.5,-80.625,2025,179,16.49
41.5,-80,2025,179,16.65
42,-81.875,2025,179,15.63
42,-81.25,2025,179,15.51
42,-80.625,2025,179,15.27
42,-80,2025,179,15.43
42.5,-81.875,2025,179,13.88
42.5,-81.25,2025,179,13.95
42.5,-80.625,2025,179,14.06
42.5,-80,2025,179,14.2
41,-81.875,2025,180,13.91
41,-81.25,2025,180,13.24
41,-80.625,2025,180,13.52
41,-80,2025,180,14.04
41.5,-81.875,2025,180,13.46
41.5,-81.25,2025,180,11.67
41.5,-80.625,2025,180,12.37
41.5,-80,2025,180,12.67
42,-81.875,2025,180,12.94
42,-81.25,2025,180,12.71
42,-80.625,2025,180,11.32
42,-80,2025,180,11.25
42.5,-81.875,2025,180,11.55
42.5,-81.25,2025,180,11.56
42.5,-80.625,2025,180,11.03
42.5,-80,2025,180,11.14
41,-81.875,2025,181,17.07
41,-81.25,2025,181,16.64
41,-80.625,2025,181,16.88
41,-80,2025,181,17.14
41.5,-81.875,2025,181,17.19
41.5,-81.25,2025,181,16.41
41.5,-80.625,2025,181,16.49
41.5,-80,2025,181,16.52
42,-81.875,2025,181,16.68
42,-81.25,2025,181,16.04
42,-80.625,2025,181,15.78
42,-80,2025,181,15.86
42.5,-81.875,2025,181,15.48
42.5,-81.25,2025,181,15.34
42.5,-80.625,2025,181,15.02
42.5,-80,2025,181,15.17
41,-81.875,2025,182,15.53
41,-81.25,2025,182,15.24
41,-80.625,2025,182,15.53
41,-80,2025,182,16.08
41.5,-81.875,2025,182,16.22
41.5,-81.25,2025,182,15.21
41.5,-80.625,2025,182,15.31
41.5,-80,2025,182,15.63
42,-81.875,2025,182,16.15
42,-81.25,2025,182,16.23
42,-80.625,2025,182,15.45
42,-80,2025,182,15.43
42.5,-81.875,2025,182,14.26
42.5,-81.25,2025,182,14.78
42.5,-80.625,2025,182,14.64
42.5,-80,2025,182,15.08
41,-81.875,2025,183,12.89
41,-81.25,2025,183,12.13
41,-80.625,2025,183,12.13
41,-80,2025,183,12.37
41.5,-81.875,2025,183,13.38
41.5,-81.25,2025,183,11.85
41.5,-80.625,2025,183,11.85
41.5,-80,2025,183,11.85
42,-81.875,2025,183,13.66
42,-81.25,2025,183,13.37
42,-80.625,2025,183,12.2
42,-80,2025,183,11.87
42.5,-81.875,2025,183,12.15
42.5,-81.25,2025,183,12.73
42.5,-80.625,2025,183,12.13
42.5,-80,2025,183,12.52
41,-81.875,2025,184,12.78
41,-81.25,2025,184,12.12
41,-80.625,2025,184,11.95
41,-80,2025,184,12.47
41.5,-81.875,2025,184,13.69
41.5,-81.25,2025,184,12.29
41.5,-80.625,2025,184,11.74
41.5,-80,2025,184,11.66
42,-81.875,2025,184,13.67
42,-81.25,2025,184,13.63
42,-80.625,2025,184,12.17
42,-80,2025,184,11.58
42.5,-81.875,2025,184,11.2
42.5,-81.25,2025,184,11.68
42.5,-80.625,2025,184,11.25
42.5,-80,2025,184,11.84
41,-81.875,2025,185,12.1
41,-81.25,2025,185,11.07
41,-80.625,2025,185,10.56
41,-80,2025,185,10.98
41.5,-81.875,2025,185,11.98
41.5,-81.25,2025,185,10.56
41.5,-80.625,2025,185,10.18
41.5,-80,2025,185,10.05
42,-81.875,2025,185,11.55
42,-81.25,2025,185,10.57
42,-80.625,2025,185,10.23
42,-80,2025,185,9.4
42.5,-81.875,2025,185,10.71
42.5,-81.25,2025,185,9.92
42.5,-80.625,2025,185,9.12
42.5,-80,2025,185,8.76
41,-81.875,2025,186,13.15
41,-81.25,2025,186,12.7
41,-80.625,2025,186,12.95
41,-80,2025,186,13.71
41.5,-81.875,2025,186,14.55
41.5,-81.25,2025,186,12.96
41.5,-80.625,2025,186,13.13
41.5,-80,2025,186,13.54
42,-81.875,2025,186,15.64
42,-81.25,2025,186,14.99
42,-80.625,2025,186,13.67
42,-80,2025,186,13.37
42.5,-81.875,2025,186,13.79
42.5,-81.25,2025,186,14.56
42.5,-80.625,2025,186,13.78
42.5,-80,2025,186,13.82
41,-81.875,2025,187,14.88
41,-81.25,2025,187,13.56
41,-80.625,2025,187,13.51
41,-80,2025,187,14.94
41.5,-81.875,2025,187,16.23
41.5,-81.25,2025,187,14.07
41.5,-80.625,2025,187,14.02
41.5,-80,2025,187,14.96
42,-81.875,2025,187,17.29
42,-81.25,2025,187,16.27
42,-80.625,2025,187,14.71
42,-80,2025,187,14.74
42.5,-81.875,2025,187,15.87
42.5,-81.25,2025,187,16.12
42.5,-80.625,2025,187,14.95
42.5,-80,2025,187,15.18
41,-81.875,2025,188,16.81
41,-81.25,2025,188,16.03
41,-80.625,2025,188,15.89
41,-80,2025,188,16.54
41.5,-81.875,2025,188,16.46
41.5,-81.25,2025,188,15.9
41.5,-80.625,2025,188,15.56
41.5,-80,2025,188,16.16
42,-81.875,2025,188,15.34
42,-81.25,2025,188,15.61
42,-80.625,2025,188,15.36
42,-80,2025,188,15.53
42.5,-81.875,2025,188,12.96
42.5,-81.25,2025,188,14.03
42.5,-80.625,2025,188,14.51
42.5,-80,2025,188,15.5
41,-81.875,2025,189,12.89
41,-81.25,2025,189,12.4
41,-80.625,2025,189,12.81
41,-80,2025,189,13.94
41.5,-81.875,2025,189,12.01
41.5,-81.25,2025,189,11.18
41.5,-80.625,2025,189,11.47
41.5,-80,2025,189,12.48
42,-81.875,2025,189,11.27
42,-81.25,2025,189,11.47
42,-80.625,2025,189,11.17
42,-80,2025,189,11.64
42.5,-81.875,2025,189,10.32
42.5,-81.25,2025,189,10.69
42.5,-80.625,2025,189,11.07
42.5,-80,2025,189,11.96
41,-81.875,2025,190,12.57
41,-81.25,2025,190,11.95
41,-80.625,2025,190,11.83
41,-80,2025,190,12.23
41.5,-81.875,2025,190,12.72
41.5,-81.25,2025,190,11.82
41.5,-80.625,2025,190,11.44
41.5,-80,2025,190,11.58
42,-81.875,2025,190,13.06
42,-81.25,2025,190,12.41
42,-80.625,2025,190,12.05
42,-80,2025,190,11.58
42.5,-81.875,2025,190,13.26
42.5,-81.25,2025,190,12.36
42.5,-80.625,2025,190,12.09
42.5,-80,2025,190,12.05
41,-81.875,2025,191,14.67
41,-81.25,2025,191,14.3
41,-80.625,2025,191,14.26
41,-80,2025,191,14.12
41.5,-81.875,2025,191,14.68
41.5,-81.25,2025,191,14.06
41.5,-80.625,2025,191,14.02
41.5,-80,2025,191,14.16
42,-81.875,2025,191,14.82
42,-81.25,2025,191,14.83
42,-80.625,2025,191,14.32
42,-80,2025,191,14.02
42.5,-81.875,2025,191,13.53
42.5,-81.25,2025,191,14.26
42.5,-80.625,2025,191,13.84
42.5,-80,2025,191,14.47
41,-81.875,2025,192,14.77
41,-81.25,2025,192,14.1
41,-80.625,2025,192,13.94
41,-80,2025,192,14.56
41.5,-81.875,2025,192,15.82
41.5,-81.25,2025,192,14.58
41.5,-80.625,2025,192,14.42
41.5,-80,2025,192,14.63
42,-81.875,2025,192,16.3
42,-81.25,2025,192,15.74
42,-80.625,2025,192,14.82
42,-80,2025,192,14.61
42.5,-81.875,2025,192,13.93
42.5,-81.25,2025,192,14.71
42.5,-80.625,2025,192,14.28
42.5,-80,2025,192,15.08
41,-81.875,2025,193,16.21
41,-81.25,2025,193,15.08
41,-80.625,2025,193,14.68
41,-80,2025,193,15.3
41.5,-81.875,2025,193,17.34
41.5,-81.25,2025,193,15.49
41.5,-80.625,2025,193,14.8
41.5,-80,2025,193,15.34
42,-81.875,2025,193,18.23
42,-81.25,2025,193,17.61
42,-80.625,2025,193,15.92
42,-80,2025,193,15.62
42.5,-81.875,2025,193,17.1
42.5,-81.25,2025,193,17.2
42.5,-80.625,2025,193,16.5
42.5,-80,2025,193,16.55
41,-81.875,2025,194,16.18
41,-81.25,2025,194,15.73
41,-80.625,2025,194,15.52
41,-80,2025,194,15.85
41.5,-81.875,2025,194,16.88
41.5,-81.25,2025,194,15.86
41.5,-80.625,2025,194,15.71
41.5,-80,2025,194,15.81
42,-81.875,2025,194,17.39
42,-81.25,2025,194,17.65
42,-80.625,2025,194,16.76
42,-80,2025,194,16.24
42.5,-81.875,2025,194,15.75
42.5,-81.25,2025,194,16.78
42.5,-80.625,2025,194,16.86
42.5,-80,2025,194,17.29
41,-81.875,2025,195,14.88
41,-81.25,2025,195,15.22
41,-80.625,2025,195,15.4
41,-80,2025,195,16.31
41.5,-81.875,2025,195,14.57
41.5,-81.25,2025,195,14.69
41.5,-80.625,2025,195,14.99
41.5,-80,2025,195,15.38
42,-81.875,2025,195,14.7
42,-81.25,2025,195,15.81
42,-80.625,2025,195,15.51
42,-80,2025,195,15.03
42.5,-81.875,2025,195,13.25
42.5,-81.25,2025,195,14.59
42.5,-80.625,2025,195,15
42.5,-80,2025,195,15.82
41,-81.875,2025,196,13.21
41,-81.25,2025,196,13.84
41,-80.625,2025,196,14.15
41,-80,2025,196,14.88
41.5,-81.875,2025,196,12.26
41.5,-81.25,2025,196,12.62
41.5,-80.625,2025,196,13.73
41.5,-80,2025,196,14.25
42,-81.875,2025,196,12.08
42,-81.25,2025,196,12.64
42,-80.625,2025,196,12.97
42,-80,2025,196,13.97
42.5,-81.875,2025,196,10.64
42.5,-81.25,2025,196,11.14
42.5,-80.625,2025,196,11.79
42.5,-80,2025,196,14.22
41,-81.875,2025,197,16.77
41,-81.25,2025,197,16.45
41,-80.625,2025,197,16.43
41,-80,2025,197,16.73
41.5,-81.875,2025,197,17.3
41.5,-81.25,2025,197,16.55
41.5,-80.625,2025,197,16.28
41.5,-80,2025,197,16.38
42,-81.875,2025,197,17.76
42,-81.25,2025,197,17.45
42,-80.625,2025,197,16.67
42,-80,2025,197,16.47
42.5,-81.875,2025,197,16.25
42.5,-81.25,2025,197,16.37
42.5,-80.625,2025,197,15.94
42.5,-80,2025,197,16.64
41,-81.875,2025,198,15.62
41,-81.25,2025,198,15.37
41,-80.625,2025,198,15.42
41,-80,2025,198,15.73
41.5,-81.875,2025,198,15.82
41.5,-81.25,2025,198,15.13
41.5,-80.625,2025,198,15.06
41.5,-80,2025,198,15.21
42,-81.875,2025,198,15.78
42,-81.25,2025,198,16.06
42,-80.625,2025,198,15.69
42,-80,2025,198,15.26
42.5,-81.875,2025,198,14.07
42.5,-81.25,2025,198,15.01
42.5,-80.625,2025,198,14.97
42.5,-80,2025,198,15.51
41,-81.875,2025,199,11.95
41,-81.25,2025,199,11.71
41,-80.625,2025,199,11.75
41,-80,2025,199,11.78
41.5,-81.875,2025,199,11.17
41.5,-81.25,2025,199,10.19
41.5,-80.625,2025,199,10.15
41.5,-80,2025,199,10.25
42,-81.875,2025,199,10.69
42,-81.25,2025,199,10.62
42,-80.625,2025,199,9.68
42,-80,2025,199,9.28
42.5,-81.875,2025,199,8.61
42.5,-81.25,2025,199,9.56
42.5,-80.625,2025,199,9.07
42.5,-80,2025,199,9.27
41,-81.875,2025,200,12.4
41,-81.25,2025,200,11.88
41,-80.625,2025,200,12.5
41,-80,2025,200,13.39
41.5,-81.875,2025,200,12.4
41.5,-81.25,2025,200,10.82
41.5,-80.625,2025,200,11.22
41.5,-80,2025,200,12.34
42,-81.875,2025,200,11.39
42,-81.25,2025,200,10.99
42,-80.625,2025,200,10.73
42,-80,2025,200,11.44
42.5,-81.875,2025,200,9.79
42.5,-81.25,2025,200,10.01
42.5,-80.625,2025,200,9.84
42.5,-80,2025,200,10.87
41,-81.875,2025,201,15.76
41,-81.25,2025,201,15.05
41,-80.625,2025,201,14.71
41,-80,2025,201,14.81
41.5,-81.875,2025,201,15.35
41.5,-81.25,2025,201,14.23
41.5,-80.625,2025,201,13.54
41.5,-80,2025,201,13.67
42,-81.875,2025,201,14.71
42,-81.25,2025,201,14.51
42,-80.625,2025,201,13.56
42,-80,2025,201,13.12
42.5,-81.875,2025,201,12.42
42.5,-81.25,2025,201,12.92
42.5,-80.625,2025,201,12.51
42.5,-80,2025,201,13.11
41,-81.875,2025,202,9.65
41,-81.25,2025,202,9.4
41,-80.625,2025,202,9.54
41,-80,2025,202,9.98
41.5,-81.875,2025,202,10.59
41.5,-81.25,2025,202,9.62
41.5,-80.625,2025,202,9.4
41.5,-80,2025,202,9.5
42,-81.875,2025,202,10.85
42,-81.25,2025,202,10.85
42,-80.625,2025,202,10.11
42,-80,2025,202,9.71
42.5,-81.875,2025,202,9.05
42.5,-81.25,2025,202,9.69
42.5,-80.625,2025,202,9.52
42.5,-80,2025,202,9.69
41,-81.875,2025,203,7.68
41,-81.25,2025,203,7
41,-80.625,2025,203,6.89
41,-80,2025,203,7.55
41.5,-81.875,2025,203,8.87
41.5,-81.25,2025,203,7.32
41.5,-80.625,2025,203,6.75
41.5,-80,2025,203,7
42,-81.875,2025,203,9.57
42,-81.25,2025,203,9.36
42,-80.625,2025,203,8.02
42,-80,2025,203,7.47
42.5,-81.875,2025,203,8.47
42.5,-81.25,2025,203,8.91
42.5,-80.625,2025,203,8.22
42.5,-80,2025,203,8.32
41,-81.875,2025,204,9.24
41,-81.25,2025,204,9.23
41,-80.625,2025,204,9.46
41,-80,2025,204,10.48
41.5,-81.875,2025,204,10.12
41.5,-81.25,2025,204,9.01
41.5,-80.625,2025,204,8.6
41.5,-80,2025,204,9.54
42,-81.875,2025,204,10.55
42,-81.25,2025,204,10.67
42,-80.625,2025,204,9.67
42,-80,2025,204,9.48
42.5,-81.875,2025,204,9.34
42.5,-81.25,2025,204,10.04
42.5,-80.625,2025,204,9.93
42.5,-80,2025,204,10.8
41,-81.875,2025,205,13.84
41,-81.25,2025,205,13.63
41,-80.625,2025,205,13.99
41,-80,2025,205,14.22
41.5,-81.875,2025,205,14.99
41.5,-81.25,2025,205,13.73
41.5,-80.625,2025,205,13.72
41.5,-80,2025,205,13.61
42,-81.875,2025,205,15.94
