-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
T2M     MERRA-2 Temperature at 2 Meters (C),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,T2M
42,-79.375,2025,179,22.08
42,-78.75,2025,179,21.47
42,-78.125,2025,179,21.25
42.5,-79.375,2025,179,22.33
42.5,-78.75,2025,179,22.01
42.5,-78.125,2025,179,21.57
43,-79.375,2025,179,23.38
43,-78.75,2025,179,23.26
43,-78.125,2025,179,23.28
43.5,-79.375,2025,179,21.11
43.5,-78.75,2025,179,20.51
43.5,-78.125,2025,179,19.93
42,-79.375,2025,180,21.68
42,-78.75,2025,180,20.81
42,-78.125,2025,180,20.96
42.5,-79.375,2025,180,21.14
42.5,-78.75,2025,180,20.57
42.5,-78.125,2025,180,20.36
43,-79.375,2025,180,22.08
43,-78.75,2025,180,21.79
43,-78.125,2025,180,21.57
43.5,-79.375,2025,180,20.61
43.5,-78.75,2025,180,18.71
43.5,-78.125,2025,180,17.91
42,-79.375,2025,181,22.52
42,-78.75,2025,181,21.82
42,-78.125,2025,181,21.82
42.5,-79.375,2025,181,23.05
42.5,-78.75,2025,181,22.59
42.5,-78.125,2025,181,22.17
43,-79.375,2025,181,23.51
43,-78.75,2025,181,23.94
43,-78.125,2025,181,24.23
43.5,-79.375,2025,181,21.94
43.5,-78.75,2025,181,20.28
43.5,-78.125,2025,181,19.7
42,-79.375,2025,182,22.5
42,-78.75,2025,182,21.84
42,-78.125,2025,182,21.57
42.5,-79.375,2025,182,22.84
42.5,-78.75,2025,182,22.48
42.5,-78.125,2025,182,22.29
43,-79.375,2025,182,23.89
43,-78.75,2025,182,23.78
43,-78.125,2025,182,23.97
43.5,-79.375,2025,182,22.72
43.5,-78.75,2025,182,21.45
43.5,-78.125,2025,182,20.49
42,-79.375,2025,183,21.34
42,-78.75,2025,183,20.22
42,-78.125,2025,183,20.09
42.5,-79.375,2025,183,22.13
42.5,-78.75,2025,183,20.9
42.5,-78.125,2025,183,20.56
43,-79.375,2025,183,23.39
43,-78.75,2025,183,23.06
43,-78.125,2025,183,23.13
43.5,-79.375,2025,183,22.7
43.5,-78.75,2025,183,21.45
43.5,-78.125,2025,183,20.52
42,-79.375,2025,184,19.99
42,-78.75,2025,184,19.03
42,-78.125,2025,184,18.94
42.5,-79.375,2025,184,21.84
42.5,-78.75,2025,184,19.99
42.5,-78.125,2025,184,19.32
43,-79.375,2025,184,22.67
43,-78.75,2025,184,21.83
43,-78.125,2025,184,21.33
43.5,-79.375,2025,184,21.44
43.5,-78.75,2025,184,20.99
43.5,-78.125,2025,184,20.38
42,-79.375,2025,185,19.27
42,-78.75,2025,185,17.7
42,-78.125,2025,185,17.93
42.5,-79.375,2025,185,20.81
42.5,-78.75,2025,185,19.01
42.5,-78.125,2025,185,18.68
43,-79.375,2025,185,21.41
43,-78.75,2025,185,21
43,-78.125,2025,185,20.43
43.5,-79.375,2025,185,20.17
43.5,-78.75,2025,185,19.41
43.5,-78.125,2025,185,19.3
42,-79.375,2025,186,22.63
42,-78.75,2025,186,21.31
42,-78.125,2025,186,21.21
42.5,-79.375,2025,186,23.69
42.5,-78.75,2025,186,22.57
42.5,-78.125,2025,186,22.16
43,-79.375,2025,186,24.71
43,-78.75,2025,186,24.7
43,-78.125,2025,186,24.7
43.5,-79.375,2025,186,23.45
43.5,-78.75,2025,186,21.6
43.5,-78.125,2025,186,20.66
42,-79.375,2025,187,24.43
42,-78.75,2025,187,23.44
42,-78.125,2025,187,23.29
42.5,-79.375,2025,187,25.6
42.5,-78.75,2025,187,24.87
