-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD10M
41,-81.875,2025,179,249.5
41,-81.25,2025,179,247.4
41,-80.625,2025,179,232.8
41,-80,2025,179,216.1
41.5,-81.875,2025,179,269.7
41.5,-81.25,2025,179,263.8
41.5,-80.625,2025,179,255.3
41.5,-80,2025,179,238.9
42,-81.875,2025,179,278.2
42,-81.25,2025,179,262.4
42,-80.625,2025,179,258.5
42,-80,2025,179,247.5
42.5,-81.875,2025,179,293.9
42.5,-81.25,2025,179,282.8
42.5,-80.625,2025,179,268.8
42.5,-80,2025,179,254.6
41,-81.875,2025,180,159.5
41,-81.25,2025,180,164.4
41,-80.625,2025,180,132.6
41,-80,2025,180,282.5
41.5,-81.875,2025,180,109.7
41.5,-81.25,2025,180,124
41.5,-80.625,2025,180,112.5
41.5,-80,2025,180,139.8
42,-81.875,2025,180,106.7
42,-81.25,2025,180,87.8
42,-80.625,2025,180,92.5
42,-80,2025,180,87.6
42.5,-81.875,2025,180,142.4
42.5,-81.25,2025,180,125.3
42.5,-80.625,2025,180,113
42.5,-80,2025,180,111.6
41,-81.875,2025,181,205.1
41,-81.25,2025,181,197.4
41,-80.625,2025,181,186.6
41,-80,2025,181,176.1
41.5,-81.875,2025,181,202.8
41.5,-81.25,2025,181,197.8
41.5,-80.625,2025,181,181.5
41.5,-80,2025,181,175
42,-81.875,2025,181,199.6
42,-81.25,2025,181,195
42,-80.625,2025,181,175.9
42,-80,2025,181,172.4
42.5,-81.875,2025,181,198.6
42.5,-81.25,2025,181,195.2
42.5,-80.625,2025,181,195.5
42.5,-80,2025,181,187.6
41,-81.875,2025,182,271.8
41,-81.25,2025,182,262.3
41,-80.625,2025,182,254.8
41,-80,2025,182,251.8
41.5,-81.875,2025,182,272.3
41.5,-81.25,2025,182,262.7
41.5,-80.625,2025,182,258.2
41.5,-80,2025,182,251.4
42,-81.875,2025,182,280.2
42,-81.25,2025,182,263.9
42,-80.625,2025,182,260.6
42,-80,2025,182,255.8
42.5,-81.875,2025,182,294.9
42.5,-81.25,2025,182,283.8
42.5,-80.625,2025,182,271.7
42.5,-80,2025,182,260.5
41,-81.875,2025,183,322.3
41,-81.25,2025,183,318.5
41,-80.625,2025,183,331.3
41,-80,2025,183,329.9
41.5,-81.875,2025,183,309.2
41.5,-81.25,2025,183,309.9
41.5,-80.625,2025,183,320.9
41.5,-80,2025,183,321.1
42,-81.875,2025,183,276.3
42,-81.25,2025,183,267
42,-80.625,2025,183,276.5
42,-80,2025,183,281.5
42.5,-81.875,2025,183,273.7
42.5,-81.25,2025,183,261.4
42.5,-80.625,2025,183,255.7
42.5,-80,2025,183,252.3
41,-81.875,2025,184,318.2
41,-81.25,2025,184,311
41,-80.625,2025,184,307.1
41,-80,2025,184,302.4
41.5,-81.875,2025,184,320.9
41.5,-81.25,2025,184,311
41.5,-80.625,2025,184,308.5
41.5,-80,2025,184,301.1
42,-81.875,2025,184,327.9
42,-81.25,2025,184,312.6
42,-80.625,2025,184,306.7
42,-80,2025,184,297.3
42.5,-81.875,2025,184,332.3
42.5,-81.25,2025,184,325.3
42.5,-80.625,2025,184,313.6
42.5,-80,2025,184,303.1
41,-81.875,2025,185,106.2
41,-81.25,2025,185,56.5
41,-80.625,2025,185,83.4
41,-80,2025,185,96.5
41.5,-81.875,2025,185,112.1
41.5,-81.25,2025,185,78.6
41.5,-80.625,2025,185,77.6
41.5,-80,2025,185,96.5
42,-81.875,2025,185,115.9
42,-81.25,2025,185,93.9
42,-80.625,2025,185,88
42,-80,2025,185,81.1
42.5,-81.875,2025,185,139.5
42.5,-81.25,2025,185,123
42.5,-80.625,2025,185,108.5
42.5,-80,2025,185,100.7
41,-81.875,2025,186,205.7
41,-81.25,2025,186,203.7
41,-80.625,2025,186,198.5
41,-80,2025,186,180.9
41.5,-81.875,2025,186,203.2
41.5,-81.25,2025,186,202.8
41.5,-80.625,2025,186,202.2
41.5,-80,2025,186,193.6
42,-81.875,2025,186,200.7
42,-81.25,2025,186,197.1
42,-80.625,2025,186,199.7
42,-80,2025,186,198.6
42.5,-81.875,2025,186,207.2
42.5,-81.25,2025,186,202.6
42.5,-80.625,2025,186,207.5
42.5,-80,2025,186,204.3
41,-81.875,2025,187,207.2
