-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD10M
41,-83.75,2025,179,276.6
41,-83.125,2025,179,263.2
41,-82.5,2025,179,250.2
41.5,-83.75,2025,179,298.8
41.5,-83.125,2025,179,295.6
41.5,-82.5,2025,179,282.9
42,-83.75,2025,179,306.2
42,-83.125,2025,179,305.2
42,-82.5,2025,179,293.5
42.5,-83.75,2025,179,304.1
42.5,-83.125,2025,179,303
42.5,-82.5,2025,179,299.7
41,-83.75,2025,180,158.3
41,-83.125,2025,180,163
41,-82.5,2025,180,162.1
41.5,-83.75,2025,180,155.6
41.5,-83.125,2025,180,143.8
41.5,-82.5,2025,180,126.7
42,-83.75,2025,180,157.3
42,-83.125,2025,180,139.4
42,-82.5,2025,180,124.8
42.5,-83.75,2025,180,170.9
42.5,-83.125,2025,180,158.7
42.5,-82.5,2025,180,149.7
41,-83.75,2025,181,228.5
41,-83.125,2025,181,215.5
41,-82.5,2025,181,210.6
41.5,-83.75,2025,181,241.4
41.5,-83.125,2025,181,222.1
41.5,-82.5,2025,181,210.6
42,-83.75,2025,181,243.7
42,-83.125,2025,181,223.1
42,-82.5,2025,181,204.6
42.5,-83.75,2025,181,236.7
42.5,-83.125,2025,181,222.6
42.5,-82.5,2025,181,201.6
41,-83.75,2025,182,312.2
41,-83.125,2025,182,297
41,-82.5,2025,182,282.3
41.5,-83.75,2025,182,306.4
41.5,-83.125,2025,182,301.4
41.5,-82.5,2025,182,288.9
42,-83.75,2025,182,306.2
42,-83.125,2025,182,303.8
42,-82.5,2025,182,293.5
42.5,-83.75,2025,182,302.9
42.5,-83.125,2025,182,301.8
42.5,-82.5,2025,182,298.2
41,-83.75,2025,183,303
41,-83.125,2025,183,307.8
41,-82.5,2025,183,321.6
41.5,-83.75,2025,183,297.1
41.5,-83.125,2025,183,305.8
41.5,-82.5,2025,183,317
42,-83.75,2025,183,289.2
42,-83.125,2025,183,296.2
42,-82.5,2025,183,297.9
42.5,-83.75,2025,183,281.8
42.5,-83.125,2025,183,284.1
42.5,-82.5,2025,183,284.5
41,-83.75,2025,184,319.4
41,-83.125,2025,184,322.5
41,-82.5,2025,184,322
41.5,-83.75,2025,184,327
41.5,-83.125,2025,184,337.6
41.5,-82.5,2025,184,332.3
42,-83.75,2025,184,330
42,-83.125,2025,184,341.9
42,-82.5,2025,184,337.8
42.5,-83.75,2025,184,330.7
42.5,-83.125,2025,184,342.8
42.5,-82.5,2025,184,340.5
41,-83.75,2025,185,216.6
41,-83.125,2025,185,218
41,-82.5,2025,185,163.3
41.5,-83.75,2025,185,228.4
41.5,-83.125,2025,185,195.7
41.5,-82.5,2025,185,130.3
42,-83.75,2025,185,222.6
42,-83.125,2025,185,156
42,-82.5,2025,185,132.2
42.5,-83.75,2025,185,210.3
42.5,-83.125,2025,185,169.6
42.5,-82.5,2025,185,146.5
41,-83.75,2025,186,208.1
41,-83.125,2025,186,207.1
41,-82.5,2025,186,209.6
41.5,-83.75,2025,186,218.2
41.5,-83.125,2025,186,216.2
41.5,-82.5,2025,186,211.7
42,-83.75,2025,186,221.5
42,-83.125,2025,186,218.9
42,-82.5,2025,186,209.3
42.5,-83.75,2025,186,221.2
42.5,-83.125,2025,186,221.2
42.5,-82.5,2025,186,213
41,-83.75,2025,187,216.6
41,-83.125,2025,187,210.9
41,-82.5,2025,187,208.5
41.5,-83.75,2025,187,222
41.5,-83.125,2025,187,216.4
41.5,-82.5,2025,187,210.7
42,-83.75,2025,187,224.7
42,-83.125,2025,187,220.4
42,-82.5,2025,187,212.4
42.5,-83.75,2025,187,226.8
42.5,-83.125,2025,187,223.9
42.5,-82.5,2025,187,214.7
41,-83.75,2025,188,325.5
41,-83.125,2025,188,319.6
41,-82.5,2025,188,296.3
41.5,-83.75,2025,188,357.8
41.5,-83.125,2025,188,352.3
41.5,-82.5,2025,188,329.9
42,-83.75,2025,188,357.4
42,-83.125,2025,188,355.4
42,-82.5,2025,188,340.1
42.5,-83.75,2025,188,354.4
42.5,-83.125,2025,188,352.8
42.5,-82.5,2025,188,344.2
41,-83.75,2025,189,325.8
41,-83.125,2025,189,347.4
41,-82.5,2025,189,5.3
41.5,-83.75,2025,189,327
41.5,-83.125,2025,189,31.4
41.5,-82.5,2025,189,16.7
42,-83.75,2025,189,321.7
42,-83.125,2025,189,72.9
42,-82.5,2025,189,13.4
42.5,-83.75,2025,189,268.9
42.5,-83.125,2025,189,338.1
42.5,-82.5,2025,189,355
41,-83.75,2025,190,224.5
41,-83.125,2025,190,198
41,-82.5,2025,190,169.4
41.5,-83.75,2025,190,190.7
41.5,-83.125,2025,190,157.7
41.5,-82.5,2025,190,147.6
42,-83.75,2025,190,196.7
42,-83.125,2025,190,166.2
42,-82.5,2025,190,160.6
42.5,-83.75,2025,190,243.6
42.5,-83.125,2025,190,227.2
42.5,-82.5,2025,190,204.7
41,-83.75,2025,191,300.4
41,-83.125,2025,191,279.6
41,-82.5,2025,191,250
41.5,-83.75,2025,191,313.4
41.5,-83.125,2025,191,327.4
41.5,-82.5,2025,191,276.3
42,-83.75,2025,191,306.2
42,-83.125,2025,191,315.1
42,-82.5,2025,191,280.7
42.5,-83.75,2025,191,296
42.5,-83.125,2025,191,292.4
42.5,-82.5,2025,191,284.3
41,-83.75,2025,192,211.8
41,-83.125,2025,192,214.1
41,-82.5,2025,192,216.2
41.5,-83.75,2025,192,212.1
41.5,-83.125,2025,192,210.6
41.5,-82.5,2025,192,206
42,-83.75,2025,192,205.1
42,-83.125,2025,192,194.6
42,-82.5,2025,192,187.1
42.5,-83.75,2025,192,196.3
42.5,-83.125,2025,192,190.5
42.5,-82.5,2025,192,181.2
41,-83.75,2025,193,200.6
41,-83.125,2025,193,197.7
41,-82.5,2025,193,198.1
41.5,-83.75,2025,193,206.7
41.5,-83.125,2025,193,201.6
41.5,-82.5,2025,193,198.2
42,-83.75,2025,193,212.1
42,-83.125,2025,193,204.7
42,-82.5,2025,193,199
42.5,-83.75,2025,193,213.1
42.5,-83.125,2025,193,207.8
42.5,-82.5,2025,193,200
41,-83.75,2025,194,270.7
41,-83.125,2025,194,258.1
41,-82.5,2025,194,241.5
41.5,-83.75,2025,194,275.9
41.5,-83.125,2025,194,277.8
41.5,-82.5,2025,194,258
42,-83.75,2025,194,282
42,-83.125,2025,194,287.6
42,-82.5,2025,194,267.9
42.5,-83.75,2025,194,295
42.5,-83.125,2025,194,299.7
42.5,-82.5,2025,194,294.8
41,-83.75,2025,195,342.1
41,-83.125,2025,195,337.4
41,-82.5,2025,195,336.4
