-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD2M     MERRA-2 Wind Direction at 2 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD2M
42,-79.375,2025,179,254.8
42,-78.75,2025,179,253
42,-78.125,2025,179,180
42.5,-79.375,2025,179,243.7
42.5,-78.75,2025,179,246.9
42.5,-78.125,2025,179,242.2
43,-79.375,2025,179,260.2
43,-78.75,2025,179,259.1
43,-78.125,2025,179,251.8
43.5,-79.375,2025,179,271.4
43.5,-78.75,2025,179,263.7
43.5,-78.125,2025,179,258
42,-79.375,2025,180,207
42,-78.75,2025,180,198.2
42,-78.125,2025,180,213
42.5,-79.375,2025,180,92.5
42.5,-78.75,2025,180,168.7
42.5,-78.125,2025,180,213.8
43,-79.375,2025,180,208.2
43,-78.75,2025,180,280.1
43,-78.125,2025,180,302.9
43.5,-79.375,2025,180,201.3
43.5,-78.75,2025,180,255.1
43.5,-78.125,2025,180,286
42,-79.375,2025,181,172.4
42,-78.75,2025,181,188.8
42,-78.125,2025,181,191.4
42.5,-79.375,2025,181,182.8
42.5,-78.75,2025,181,186.1
42.5,-78.125,2025,181,192.6
43,-79.375,2025,181,200.2
43,-78.75,2025,181,194.8
43,-78.125,2025,181,191.7
43.5,-79.375,2025,181,193.3
43.5,-78.75,2025,181,168.7
43.5,-78.125,2025,181,149.7
42,-79.375,2025,182,257.2
42,-78.75,2025,182,247.4
42,-78.125,2025,182,180
42.5,-79.375,2025,182,252.1
42.5,-78.75,2025,182,251.4
42.5,-78.125,2025,182,258.7
43,-79.375,2025,182,261
43,-78.75,2025,182,258.6
43,-78.125,2025,182,254.6
43.5,-79.375,2025,182,273.5
43.5,-78.75,2025,182,263.8
43.5,-78.125,2025,182,256.7
42,-79.375,2025,183,295.5
42,-78.75,2025,183,282
42,-78.125,2025,183,274.3
42.5,-79.375,2025,183,251.3
42.5,-78.75,2025,183,256.1
42.5,-78.125,2025,183,260
43,-79.375,2025,183,252.5
43,-78.75,2025,183,251.2
43,-78.125,2025,183,254.9
43.5,-79.375,2025,183,268.4
43.5,-78.75,2025,183,256.8
43.5,-78.125,2025,183,251.6
42,-79.375,2025,184,290
42,-78.75,2025,184,294.3
42,-78.125,2025,184,0
42.5,-79.375,2025,184,292.1
42.5,-78.75,2025,184,298.5
42.5,-78.125,2025,184,299.4
43,-79.375,2025,184,308.4
43,-78.75,2025,184,303.8
43,-78.125,2025,184,295.5
43.5,-79.375,2025,184,314
43.5,-78.75,2025,184,302
43.5,-78.125,2025,184,283.7
42,-79.375,2025,185,78.4
42,-78.75,2025,185,105
42,-78.125,2025,185,186.2
42.5,-79.375,2025,185,85.4
42.5,-78.75,2025,185,61.8
42.5,-78.125,2025,185,173.4
43,-79.375,2025,185,89.9
43,-78.75,2025,185,23.5
43,-78.125,2025,185,47
43.5,-79.375,2025,185,97.7
43.5,-78.75,2025,185,355.1
43.5,-78.125,2025,185,355.2
42,-79.375,2025,186,193.6
42,-78.75,2025,186,185
42,-78.125,2025,186,177.7
42.5,-79.375,2025,186,198.1
42.5,-78.75,2025,186,202.6
42.5,-78.125,2025,186,180
43,-79.375,2025,186,213.1
43,-78.75,2025,186,208.4
43,-78.125,2025,186,210.1
43.5,-79.375,2025,186,214.7
43.5,-78.75,2025,186,200.2
43.5,-78.125,2025,186,183.4
42,-79.375,2025,187,180.6
42,-78.75,2025,187,188.5
42,-78.125,2025,187,180
42.5,-79.375,2025,187,194.3
42.5,-78.75,2025,187,198.8
42.5,-78.125,2025,187,203.5
43,-79.375,2025,187,212.1
43,-78.75,2025,187,211.6
43,-78.125,2025,187,211
43.5,-79.375,2025,187,221.4
43.5,-78.75,2025,187,224.6
43.5,-78.125,2025,187,231.3
42,-79.375,2025,188,233.3
42,-78.75,2025,188,219
42,-78.125,2025,188,180
42.5,-79.375,2025,188,229.6
42.5,-78.75,2025,188,226.9
42.5,-78.125,2025,188,230.2
43,-79.375,2025,188,240.6
43,-78.75,2025,188,238
43,-78.125,2025,188,238.3
43.5,-79.375,2025,188,266.3
43.5,-78.75,2025,188,245.6
43.5,-78.125,2025,188,237.9
42,-79.375,2025,189,276.2
42,-78.75,2025,189,275.9
42,-78.125,2025,189,267.7
42.5,-79.375,2025,189,260.2
42.5,-78.75,2025,189,267.5
42.5,-78.125,2025,189,274.8
43,-79.375,2025,189,256.6
43,-78.75,2025,189,284
43,-78.125,2025,189,236.5
43.5,-79.375,2025,189,190.9
43.5,-78.75,2025,189,95.8
43.5,-78.125,2025,189,63
42,-79.375,2025,190,259.8
42,-78.75,2025,190,248.9
42,-78.125,2025,190,305.4
42.5,-79.375,2025,190,235.3
42.5,-78.75,2025,190,215.6
42.5,-78.125,2025,190,251.9
43,-79.375,2025,190,228.6
43,-78.75,2025,190,223.1
43,-78.125,2025,190,237
43.5,-79.375,2025,190,217.4
43.5,-78.75,2025,190,220.1
43.5,-78.125,2025,190,232.1
42,-79.375,2025,191,209.5
42,-78.75,2025,191,215.1
42,-78.125,2025,191,235
42.5,-79.375,2025,191,222.4
42.5,-78.75,2025,191,226.7
42.5,-78.125,2025,191,237.1
43,-79.375,2025,191,234.4
43,-78.75,2025,191,241.6
