-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WS2M
42,-79.375,2025,179,0.22
42,-78.75,2025,179,0.04
42,-78.125,2025,179,0
42.5,-79.375,2025,179,1.82
42.5,-78.75,2025,179,0.48
42.5,-78.125,2025,179,0.01
43,-79.375,2025,179,3.88
43,-78.75,2025,179,1.8
43,-78.125,2025,179,0.04
43.5,-79.375,2025,179,4.06
43.5,-78.75,2025,179,4.83
43.5,-78.125,2025,179,4.78
42,-79.375,2025,180,0.24
42,-78.75,2025,180,0.16
42,-78.125,2025,180,0.15
42.5,-79.375,2025,180,0.95
42.5,-78.75,2025,180,0.32
42.5,-78.125,2025,180,0.19
43,-79.375,2025,180,1.09
43,-78.75,2025,180,0.54
43,-78.125,2025,180,0.17
43.5,-79.375,2025,180,1.43
43.5,-78.75,2025,180,1.71
43.5,-78.125,2025,180,2.11
42,-79.375,2025,181,0.17
42,-78.75,2025,181,0.1
42,-78.125,2025,181,0.14
42.5,-79.375,2025,181,1.13
42.5,-78.75,2025,181,0.3
42.5,-78.125,2025,181,0.04
43,-79.375,2025,181,1.92
43,-78.75,2025,181,0.9
43,-78.125,2025,181,0.03
43.5,-79.375,2025,181,1.66
43.5,-78.75,2025,181,1.31
43.5,-78.125,2025,181,1.61
42,-79.375,2025,182,0.17
42,-78.75,2025,182,0.02
42,-78.125,2025,182,0
42.5,-79.375,2025,182,1.5
42.5,-78.75,2025,182,0.34
42.5,-78.125,2025,182,0.01
43,-79.375,2025,182,2.8
43,-78.75,2025,182,1.26
43,-78.125,2025,182,0.03
43.5,-79.375,2025,182,3
43.5,-78.75,2025,182,3.49
43.5,-78.125,2025,182,3.73
42,-79.375,2025,183,0.29
42,-78.75,2025,183,0.15
42,-78.125,2025,183,0.04
42.5,-79.375,2025,183,1.48
42.5,-78.75,2025,183,0.4
42.5,-78.125,2025,183,0.01
43,-79.375,2025,183,2.73
43,-78.75,2025,183,1.26
43,-78.125,2025,183,0.03
43.5,-79.375,2025,183,2.85
43.5,-78.75,2025,183,3.52
43.5,-78.125,2025,183,4.07
42,-79.375,2025,184,0.24
42,-78.75,2025,184,0.04
42,-78.125,2025,184,0
42.5,-79.375,2025,184,1.93
42.5,-78.75,2025,184,0.45
42.5,-78.125,2025,184,0.01
43,-79.375,2025,184,3.12
43,-78.75,2025,184,1.43
43,-78.125,2025,184,0.04
43.5,-79.375,2025,184,3.37
43.5,-78.75,2025,184,3.91
43.5,-78.125,2025,184,4.4
42,-79.375,2025,185,0.28
42,-78.75,2025,185,0.2
42,-78.125,2025,185,0.17
42.5,-79.375,2025,185,1.22
42.5,-78.75,2025,185,0.4
42.5,-78.125,2025,185,0.16
43,-79.375,2025,185,1.21
43,-78.75,2025,185,0.65
43,-78.125,2025,185,0.14
43.5,-79.375,2025,185,1.84
43.5,-78.75,2025,185,1.91
43.5,-78.125,2025,185,1.84
42,-79.375,2025,186,0.19
42,-78.75,2025,186,0.05
42,-78.125,2025,186,0.13
42.5,-79.375,2025,186,1.79
42.5,-78.75,2025,186,0.4
42.5,-78.125,2025,186,0.04
43,-79.375,2025,186,2.92
43,-78.75,2025,186,1.31
43,-78.125,2025,186,0.04
43.5,-79.375,2025,186,2.71
43.5,-78.75,2025,186,2.45
43.5,-78.125,2025,186,2.37
42,-79.375,2025,187,0.2
42,-78.75,2025,187,0.03
42,-78.125,2025,187,0
42.5,-79.375,2025,187,1.84
42.5,-78.75,2025,187,0.42
42.5,-78.125,2025,187,0.01
43,-79.375,2025,187,3.55
43,-78.75,2025,187,1.55
43,-78.125,2025,187,0.03
43.5,-79.375,2025,187,4.16
43.5,-78.75,2025,187,4.14
43.5,-78.125,2025,187,3.45
42,-79.375,2025,188,0.21
42,-78.75,2025,188,0.03
42,-78.125,2025,188,0
42.5,-79.375,2025,188,2.32
42.5,-78.75,2025,188,0.44
42.5,-78.125,2025,188,0.01
43,-79.375,2025,188,3.23
43,-78.75,2025,188,1.45
43,-78.125,2025,188,0.03
43.5,-79.375,2025,188,3.59
43.5,-78.75,2025,188,4.05
43.5,-78.125,2025,188,3.84
42,-79.375,2025,189,0.28
42,-78.75,2025,189,0.14
42,-78.125,2025,189,0.01
42.5,-79.375,2025,189,1.63
42.5,-78.75,2025,189,0.33
42.5,-78.125,2025,189,0.03
43,-79.375,2025,189,1.82
43,-78.75,2025,189,0.74
43,-78.125,2025,189,0.06
43.5,-79.375,2025,189,1.92
43.5,-78.75,2025,189,1.68
43.5,-78.125,2025,189,2.28
42,-79.375,2025,190,0.28
42,-78.75,2025,190,0.22
42,-78.125,2025,190,0.15
42.5,-79.375,2025,190,1.22
42.5,-78.75,2025,190,0.37
42.5,-78.125,2025,190,0.12
43,-79.375,2025,190,1.86
43,-78.75,2025,190,0.94
43,-78.125,2025,190,0.16
43.5,-79.375,2025,190,1.52
43.5,-78.75,2025,190,1.95
43.5,-78.125,2025,190,1.46
42,-79.375,2025,191,0.17
