-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2025 through 06/28/2026 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WS10M
41,-83.75,2025,179,3.05
41,-83.125,2025,179,3.29
41,-82.5,2025,179,3.34
41.5,-83.75,2025,179,3.33
41.5,-83.125,2025,179,3.77
41.5,-82.5,2025,179,4.08
42,-83.75,2025,179,3.46
42,-83.125,2025,179,3.98
42,-82.5,2025,179,4.13
42.5,-83.75,2025,179,3.45
42.5,-83.125,2025,179,3.74
42.5,-82.5,2025,179,4.15
41,-83.75,2025,180,2.4
41,-83.125,2025,180,2.39
41,-82.5,2025,180,1.81
41.5,-83.75,2025,180,2.21
41.5,-83.125,2025,180,2.32
41.5,-82.5,2025,180,2.29
42,-83.75,2025,180,2.23
42,-83.125,2025,180,2.71
42,-82.5,2025,180,2.71
42.5,-83.75,2025,180,2.23
42.5,-83.125,2025,180,2.49
42.5,-82.5,2025,180,2.65
41,-83.75,2025,181,3.5
41,-83.125,2025,181,3.95
41,-82.5,2025,181,4.05
41.5,-83.75,2025,181,3.07
41.5,-83.125,2025,181,3.61
41.5,-82.5,2025,181,3.75
42,-83.75,2025,181,3.16
42,-83.125,2025,181,3.52
42,-82.5,2025,181,3.26
42.5,-83.75,2025,181,3.34
42.5,-83.125,2025,181,3.29
42.5,-82.5,2025,181,3.34
41,-83.75,2025,182,2.82
41,-83.125,2025,182,2.71
41,-82.5,2025,182,2.73
41.5,-83.75,2025,182,3.57
41.5,-83.125,2025,182,3.63
41.5,-82.5,2025,182,3.68
42,-83.75,2025,182,4.18
42,-83.125,2025,182,4.41
42,-82.5,2025,182,4.15
42.5,-83.75,2025,182,4.32
42.5,-83.125,2025,182,4.3
42.5,-82.5,2025,182,4.2
41,-83.75,2025,183,2.51
41,-83.125,2025,183,2.47
41,-82.5,2025,183,2.38
41.5,-83.75,2025,183,2.92
41.5,-83.125,2025,183,2.79
41.5,-82.5,2025,183,2.54
42,-83.75,2025,183,3.41
42,-83.125,2025,183,3.25
42,-82.5,2025,183,2.77
42.5,-83.75,2025,183,3.65
42.5,-83.125,2025,183,3.47
42.5,-82.5,2025,183,3.12
41,-83.75,2025,184,2.64
41,-83.125,2025,184,2.76
41,-82.5,2025,184,2.9
41.5,-83.75,2025,184,2.96
41.5,-83.125,2025,184,3.27
41.5,-82.5,2025,184,3.64
42,-83.75,2025,184,3.32
42,-83.125,2025,184,3.74
42,-82.5,2025,184,3.95
42.5,-83.75,2025,184,3.18
42.5,-83.125,2025,184,3.58
42.5,-82.5,2025,184,3.98
41,-83.75,2025,185,1.8
41,-83.125,2025,185,2.01
41,-82.5,2025,185,1.78
41.5,-83.75,2025,185,1.91
41.5,-83.125,2025,185,1.55
41.5,-82.5,2025,185,2.32
42,-83.75,2025,185,1.86
42,-83.125,2025,185,1.74
42,-82.5,2025,185,3
42.5,-83.75,2025,185,2.32
42.5,-83.125,2025,185,2.22
42.5,-82.5,2025,185,2.85
41,-83.75,2025,186,3.5
41,-83.125,2025,186,3.59
41,-82.5,2025,186,3.19
41.5,-83.75,2025,186,3.74
41.5,-83.125,2025,186,3.83
41.5,-82.5,2025,186,3.82
42,-83.75,2025,186,3.8
42,-83.125,2025,186,3.9
42,-82.5,2025,186,3.97
42.5,-83.75,2025,186,3.95
42.5,-83.125,2025,186,3.81
42.5,-82.5,2025,186,3.73
41,-83.75,2025,187,5.06
41,-83.125,2025,187,5.24
41,-82.5,2025,187,4.92
41.5,-83.75,2025,187,5.39
41.5,-83.125,2025,187,5.61
41.5,-82.5,2025,187,5.73
42,-83.75,2025,187,5.3
42,-83.125,2025,187,5.51
42,-82.5,2025,187,5.79
42.5,-83.75,2025,187,5.5
42.5,-83.125,2025,187,5.32
42.5,-82.5,2025,187,5.34
41,-83.75,2025,188,2.18
41,-83.125,2025,188,2.64
41,-82.5,2025,188,3.3
41.5,-83.75,2025,188,2.25
41.5,-83.125,2025,188,2.72
41.5,-82.5,2025,188,3.68
42,-83.75,2025,188,2.87
42,-83.125,2025,188,3.28
42,-82.5,2025,188,4.1
42.5,-83.75,2025,188,3.26
42.5,-83.125,2025,188,3.54
42.5,-82.5,2025,188,4.24
41,-83.75,2025,189,1.31
41,-83.125,2025,189,1.53
41,-82.5,2025,189,2.12
41.5,-83.75,2025,189,1.23
41.5,-83.125,2025,189,1.62
41.5,-82.5,2025,189,2.21
42,-83.75,2025,189,1.07
42,-83.125,2025,189,1.42
42,-82.5,2025,189,2
42.5,-83.75,2025,189,1.47
42.5,-83.125,2025,189,1.15
42.5,-82.5,2025,189,1.63
41,-83.75,2025,190,1.68
41,-83.125,2025,190,1.73
41,-82.5,2025,190,1.83
41.5,-83.75,2025,190,1.46
41.5,-83.125,2025,190,1.55
41.5,-82.5,2025,190,1.81
42,-83.75,2025,190,1.17
42,-83.125,2025,190,1.3
42,-82.5,2025,190,1.53
42.5,-83.75,2025,190,1.86
42.5,-83.125,2025,190,2.02
42.5,-82.5,2025,190,2.23
41,-83.75,2025,191,1.6
41,-83.125,2025,191,1.66
41,-82.5,2025,191,1.65
41.5,-83.75,2025,191,2.12
41.5,-83.125,2025,191,1.32
41.5,-82.5,2025,191,1.1
42,-83.75,2025,191,2.28
42,-83.125,2025,191,1.49
42,-82.5,2025,191,1.03
42.5,-83.75,2025,191,2.26
42.5,-83.125,2025,191,2
42.5,-82.5,2025,191,1.9
41,-83.75,2025,192,3.66
41,-83.125,2025,192,3.55
41,-82.5,2025,192,3.16
41.5,-83.75,2025,192,3.56
41.5,-83.125,2025,192,3.16
41.5,-82.5,2025,192,2.96
42,-83.75,2025,192,3.46
42,-83.125,2025,192,3.09
42,-82.5,2025,192,2.64
42.5,-83.75,2025,192,3.34
42.5,-83.125,2025,192,3.02
42.5,-82.5,2025,192,2.85
41,-83.75,2025,193,4.24
41,-83.125,2025,193,4.68
41,-82.5,2025,193,4.63
41.5,-83.75,2025,193,4.36
41.5,-83.125,2025,193,4.8
41.5,-82.5,2025,193,5.32
42,-83.75,2025,193,4.29
42,-83.125,2025,193,4.77
42,-82.5,2025,193,5.3
42.5,-83.75,2025,193,4.28
42.5,-83.125,2025,193,4.4
42.5,-82.5,2025,193,4.82
